top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return
100,0.5,0.0031698665861292843,0.009509599758387853,-0.0020422945904674528
100,0.75,0.0026678978211485058,0.008003693463445517,-0.0009374509337871303
100,1.0,0.002295481449513421,0.006886444348540264,-0.0009345668774911893
100,1.25,0.002023675972551749,0.0060710279176552475,-0.0014477944844446975
100,1.5,0.0018256527754246937,0.005476958326274081,-0.0018924448891851282
65,0.5,0.0018222367261956473,0.005466710178586942,-0.0017687895545274602
65,0.75,0.0016724430489599492,0.005017329146879848,-0.0024918109757123635
60,0.5,0.0016390208105518847,0.004917062431655654,-0.0027515465365796094
70,0.5,0.0016226810318838,0.0048680430956514,-0.0013486691504633324
55,0.5,0.0016147640359069607,0.004844292107720882,-0.0030413017918310406
70,0.75,0.0015944383144260406,0.004783314943278122,-0.002053458110911584
65,1.0,0.0015382681314259083,0.004614804394277725,-0.0031035562306161754
70,1.0,0.0015350493699743015,0.004605148109922905,-0.0026637754445401297
80,0.75,0.0014941280551053302,0.004482384165315991,-0.001394014909937609
60,0.75,0.0014923066363152066,0.0044769199089456195,-0.003256950965517927
80,1.0,0.0014856646410487684,0.004456993923146305,-0.001973867728917899
80,0.5,0.001474566036173008,0.004423698108519024,-0.000731651210862085
70,1.25,0.0014635984143101732,0.00439079524293052,-0.0031974116418740225
80,1.25,0.0014599820909368913,0.004379946272810674,-0.00249039004923486
55,0.75,0.0014278840722191108,0.0042836522166573325,-0.003548476129951063
65,1.25,0.0014250461365010543,0.004275138409503163,-0.0036280250699518317
80,1.5,0.0014233087131448878,0.004269926139434664,-0.0029572089639961583
70,1.5,0.001389831751148844,0.0041694952534465325,-0.00367118191734495
60,1.0,0.0013835079423066253,0.004150523826919876,-0.0037100666040120397
65,1.5,0.0013304659032748597,0.003991397709824579,-0.004088687700466625
55,1.0,0.0012993461082263797,0.003898038324679139,-0.004028360049352529
60,1.25,0.0012971363992054106,0.0038914091976162317,-0.004132886440665308
60,1.5,0.0012244627088408263,0.0036733881265224788,-0.00453493890020329
55,1.25,0.0012093485789076578,0.0036280457367229733,-0.004481798809608886
50,0.5,0.0011967635592737376,0.0035902906778212127,-0.0033073387450040783
55,1.5,0.0011413463726028,0.0034240391178084004,-0.004911348927642263
50,0.75,0.00113985338102882,0.0034195601430864597,-0.003891427958196596
40,1.25,0.0011136476012504545,0.0033409428037513636,-0.006031147949163727
50,1.0,0.0011086593433458686,0.0033259780300376055,-0.004425551909060021
45,0.5,0.00108927013992174,0.00326781041976522,-0.0038612546107396604
40,1.0,0.001086417992597315,0.003259253977791945,-0.00560969018827524
50,1.25,0.0010850759749493992,0.0032552279248481975,-0.004914708161411041
45,1.0,0.0010839584574911913,0.003251875372473574,-0.00500363468255554
45,0.75,0.0010832735191148902,0.003249820557344671,-0.0044774463665285535
40,1.5,0.0010761242760021622,0.0032283728280064865,-0.006465398703457036
45,1.25,0.0010754337064723986,0.0032263011194171957,-0.005476152874333628
50,1.5,0.0010576955086222955,0.003173086525866887,-0.005367953738136182
45,1.5,0.0010485659078494807,0.003145697723548442,-0.005917723779827408
40,0.75,0.0009748659590476909,0.0029245978771430727,-0.0051963024828084545
40,0.5,0.0007598078204739135,0.0022794234614217403,-0.0047674336423590875
