top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
80,0.5,-0.0018605508990628555,-0.005581652697188567,-0.014540516609860075,0.014187286757188845,-0.021366617873939026
50,1.0,-0.0015106834948556299,-0.004532050484566889,-0.014075883307658209,0.017631765786159576,-0.02175768482766969
50,0.75,-0.0013582969003308187,-0.004074890700992456,-0.01423888826012655,0.017615558083560388,-0.021762630489703505
50,0.5,-0.0012930189230298816,-0.003879056769089645,-0.01462345879447044,0.017397586426593045,-0.022005632966807888
50,1.25,-0.0017384764047628,-0.0052154292142884,-0.014136459070179672,0.017525223862605542,-0.022008763826854412
100,0.5,-0.0031235488096375444,-0.009370646428912633,-0.01441278118022378,0.013038768505183485,-0.022099898966675545
80,0.75,-0.0019742677602632708,-0.005922803280789812,-0.014954225605527574,0.015080916445236426,-0.02220681412162359
100,0.75,-0.0028041169594902244,-0.008412350878470674,-0.014687090081697031,0.013756654802700748,-0.02230603622213252
55,1.25,-0.0017443894828634982,-0.0052331684485904945,-0.014485304724915049,0.017398492906545184,-0.02231916672506936
55,1.0,-0.0016470545571736148,-0.004941163671520844,-0.014622597830043188,0.017408952485520806,-0.022362785757149083
100,1.0,-0.0025704571944807145,-0.007711371583442143,-0.01485665670589121,0.014350394077706647,-0.02244975182756925
50,1.5,-0.0020392183128759337,-0.006117654938627801,-0.01436626701239472,0.01734544349544941,-0.022476390548677946
45,1.0,-0.0016096307401590678,-0.004828892220477204,-0.014659809413758704,0.01774196856684769,-0.02247912915231446
45,0.75,-0.0014644931699602098,-0.0043934795098806295,-0.014725114198397532,0.01801295015162335,-0.022494139921425915
40,1.0,-0.0015539618517735586,-0.004661885555320676,-0.014808141467734237,0.0175699560130067,-0.02251158792406014
40,1.25,-0.0019579460880264506,-0.005873838264079351,-0.014531111607580971,0.017222403543285067,-0.022516898935757194
55,1.5,-0.0019341869799341823,-0.0058025609398025466,-0.014533765088044194,0.017322730573090226,-0.022530907768559955
45,1.25,-0.0018758032168149572,-0.0056274096504448715,-0.014553099048934467,0.017460815611642932,-0.02254018772982445
45,0.5,-0.0014327158167736578,-0.004298147450320974,-0.014733498248675578,0.018291532831654134,-0.022568250556528183
100,1.25,-0.002409192635352704,-0.007227577906058113,-0.01496595631445851,0.014843902616484725,-0.02257051486558087
80,1.0,-0.002027251374357572,-0.006081754123072717,-0.015157543104712567,0.01570792397527877,-0.02268256787041771
100,1.5,-0.0023054180760123124,-0.006916254228036937,-0.015040707564173986,0.015253878843778977,-0.022684983235508938
45,1.5,-0.0022580309755002755,-0.006774092926500826,-0.014426245079737318,0.017167384237033276,-0.02269286053819924
60,1.25,-0.0018228000166404766,-0.00546840004992143,-0.014836504850362753,0.0172752830218357,-0.022705653924645724
55,0.75,-0.0016694448968531683,-0.005008334690559505,-0.014974731095475084,0.01734165551908405,-0.022713755424007668
40,0.75,-0.0013662413745127815,-0.004098724123538344,-0.01510040964501462,0.01787249350167319,-0.022722023745113017
60,1.5,-0.0019328723529832548,-0.005798617058949764,-0.014773301607750845,0.017261344414862805,-0.022747644505936082
60,1.0,-0.0017872042673350182,-0.005361612802005054,-0.01504263007475521,0.01723053262197189,-0.02286052075978039
80,1.25,-0.0020542898955086077,-0.006162869686525824,-0.015237126790173992,0.016144471704185304,-0.022941981782147458
65,1.5,-0.00198427978667202,-0.00595283936001606,-0.015037019797226589,0.017156686622188035,-0.02302613990166442
40,1.5,-0.002532734266650722,-0.007598202799952165,-0.014613217576969526,0.016856415866243864,-0.0230456973968056
80,1.5,-0.002079766320664501,-0.006239298961993503,-0.01525622795541598,0.01644436760311022,-0.023091522937169057
65,1.25,-0.0019517898985090948,-0.005855369695527284,-0.015194887278241767,0.0171146153294454,-0.023136792542056753
40,0.5,-0.0014405069694962056,-0.0043215209084886165,-0.015377977261105458,0.01810205925543069,-0.023154204970002406
60,0.75,-0.0018322709311736525,-0.0054968127935209575,-0.015394597495924804,0.017118270912911234,-0.02321826324661739
70,1.5,-0.0020585778695496985,-0.006175733608649096,-0.015272245305974645,0.016992165834913253,-0.02327808121774398
70,1.25,-0.002063203398189733,-0.006189610194569199,-0.01543997260212869,0.016880586228482996,-0.023411381180287474
65,1.0,-0.0020022292370047725,-0.006006687711014317,-0.015491062045043774,0.017012292296562134,-0.02344759358584529
55,0.5,-0.001860078781968268,-0.005580236345904804,-0.015575267618160027,0.017190524441276427,-0.023452029954575043
70,1.0,-0.002126325978689763,-0.006378977936069289,-0.015673357807315103,0.016691086395805275,-0.02364156402453671
60,0.5,-0.0019644597531861415,-0.005893379259558424,-0.01588525565911146,0.016932040080218827,-0.02377592944037419
70,0.75,-0.002244067855522744,-0.006732203566568232,-0.015927996396245835,0.01639754108763404,-0.023911203632440495
65,0.75,-0.002150204297272426,-0.006450612891817278,-0.015938070130671583,0.016838702075532407,-0.02398182015438035
70,0.5,-0.0024036304914874865,-0.007210891474462459,-0.016108630085863336,0.015957119490705857,-0.024097252399097872
65,0.5,-0.0024109573098920326,-0.007232871929676098,-0.016542254810116182,0.016581610927986684,-0.024756775944803557
