stock_code,weight
000921,0.02
600601,0.02
688120,0.02
688037,0.02
688017,0.02
002430,0.02
000783,0.02
603806,0.02
600096,0.02
601155,0.02
000831,0.02
603699,0.02
002738,0.02
600535,0.02
603379,0.02
601216,0.02
600153,0.02
002444,0.02
603338,0.02
601333,0.02
603298,0.02
603290,0.02
002064,0.02
603233,0.02
600312,0.02
002568,0.02
601997,0.02
600566,0.02
688018,0.02
688361,0.02
688347,0.02
688777,0.02
600699,0.02
000034,0.02
600688,0.02
600816,0.02
600685,0.02
300012,0.02
002340,0.02
600663,0.02
688475,0.02
300529,0.02
002372,0.02
002851,0.02
600378,0.02
300567,0.02
002202,0.02
300679,0.02
600606,0.02
600885,0.02
