policy,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,mean_excess_return,sum_excess_return,min_excess_return
concentrate_130,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0012614815921541702,0.0037844447764625103,-0.020859478888292003
concentrate_115,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0012109335773133427,0.003632800731940028,-0.02078701744305244
base,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0010454400617363215,0.0031363201852089642,-0.02065464423808748
drop_low_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0010435199109355558,0.0031305597328066675,-0.02065464423808748
growth_tilt_025,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.0009437896626486864,0.002831368987946059,-0.021172065397969647
mid_size_025,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0006744595727463179,0.0020233787182389537,-0.021059034434706317
value_tilt_025,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0004320798817605114,0.0012962396452815342,-0.021674178421644937
mid_size_050,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0003000679194233996,0.0009002037582701988,-0.021467769778121017
value_mid_size,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.00010717519878059023,0.0003215255963417707,-0.02200332626031439
value_tilt_050,1.0,0.5,0.0,0.0,1.0,0.0,1.0,-8.725070937125785e-05,-0.0002617521281137736,-0.022423710918494183
drop_smallest_10pct,1.0,0.0,0.0,0.1,1.0,0.0,1.0,-0.00015880019396640374,-0.0004764005818992112,-0.020643345576501722
flatten_085,0.85,0.0,0.0,0.0,1.0,0.0,1.0,-0.0002851882166070944,-0.0008555646498212832,-0.022466233203654498
flatten_075,0.75,0.0,0.0,0.0,1.0,0.0,1.0,-0.0012258066362979038,-0.0036774199088937115,-0.023765569971230388
drop_biggest_10pct,1.0,0.0,0.0,0.0,0.9,0.0,1.0,-0.001865830100100982,-0.005597490300302946,-0.02284364078662085
drop_high_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.0,0.9,-0.014171926756223148,-0.042515780268669444,-0.03976796665615573
