policy,n_windows,required_windows,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,min_flow_rank,max_flow_rank,flow_tilt,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
growth_tilt_025,3,3,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.011334267408994613,-0.03400280222698384,-0.018269139231684273,0.005762573949894479,-0.03248469361562612
flatten_075,3,3,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.01014979299552181,-0.030449378986565433,-0.0190672505298516,0.007330667214177961,-0.03288237713246239
drop_low_pb_10pct,3,3,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,1.0,0.0,-0.01150742968723314,-0.03452228906169942,-0.018735866118524527,0.005934252313975926,-0.03321042196274563
flatten_085,3,3,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.010631702295339905,-0.031895106886019715,-0.019472908928380953,0.0071760801220415405,-0.03369265128474163
base,3,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.011318686059623079,-0.033956058178869236,-0.020030818929259467,0.006928280294984106,-0.034813645136374596
mid_size_025,3,3,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.011378877942863247,-0.03413663382858974,-0.020187474603477598,0.0070434395752068685,-0.03508807233394428
mid_size_050,3,3,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.011438293678371155,-0.034314881035113466,-0.020332698789909204,0.007152818757913902,-0.03534740184723731
concentrate_115,3,3,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.01195931033112565,-0.03587793099337695,-0.02054506168448987,0.006681007389919016,-0.03584487571057503
concentrate_130,3,3,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.012553106187928334,-0.037659318563785,-0.021032865255239827,0.006453669813991703,-0.03681280635016401
value_tilt_025,3,3,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.011269297629140829,-0.03380789288742249,-0.021806234568770816,0.008157907790722438,-0.03715448609327286
drop_smallest_10pct,3,3,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.0,-0.011122829957927025,-0.033368489873781076,-0.021989838895118505,0.00837934759244203,-0.037302342649266546
value_mid_size,3,3,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.011318857563747375,-0.03395657269124212,-0.02193265832685623,0.008257082275711664,-0.03738005702845944
value_tilt_050,3,3,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.011182213775141447,-0.03354664132542434,-0.023584185965756357,0.009435642753220626,-0.039484221117508114
drop_biggest_10pct,3,3,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,1.0,0.0,-0.012459947136595872,-0.03737984140978762,-0.023282531798287806,0.009745336023197824,-0.04061514694648259
drop_high_pb_10pct,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,1.0,0.0,-0.01281991506649996,-0.03845974519949988,-0.03320618413856699,0.014618411979529818,-0.05333530519483186
