policy,n_windows,required_windows,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,min_flow_rank,max_flow_rank,flow_tilt,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
concentrate_130,3,3,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.013685866553011641,0.041057599659034924,0.006356707217170562,0.005187586986806948,0.01744878027677873
mid_size_050,3,3,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01366925119564996,0.04100775358694988,0.005827479067145959,0.005569506549336919,0.01671197698812746
growth_tilt_025,3,3,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.014136570013935036,0.04240971004180511,0.0055318852954709605,0.006109956333572566,0.016613477142619713
concentrate_115,3,3,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.013841379957236053,0.04152413987170816,0.00525984702247953,0.0060681017091334215,0.016067176125148873
mid_size_025,3,3,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.013648496401460668,0.040945489204382006,0.005015330893190874,0.006140607772761552,0.015593523408270764
drop_smallest_10pct,3,3,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.0,0.014115622629554514,0.04234686788866354,0.0044522838808036536,0.006879130619328611,0.015128341200693863
drop_low_pb_10pct,3,3,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,1.0,0.0,0.013760283202923787,0.04128084960877136,0.004306796068885746,0.006748855036586952,0.014692651753516056
base,3,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01364216895463684,0.04092650686391052,0.004227623831744368,0.006707194212974173,0.01451619567989412
flatten_085,3,3,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.012594670520576952,0.037784011561730856,0.0041854290172302355,0.006058867924745007,0.013750665575434685
value_mid_size,3,3,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01254668958034723,0.03764006874104169,0.004097398343888489,0.005979030816756677,0.01365457251585738
flatten_075,3,3,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011770058191957202,0.03531017457587161,0.0038868234524412834,0.005768393883014468,0.01277268470289125
value_tilt_025,3,3,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01232948263763254,0.03698844791289762,0.003545157345900267,0.006247472060376781,0.012750903953344416
value_tilt_050,3,3,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01112799662377373,0.03338398987132119,0.002820148291847041,0.00591601217091195,0.010990138830164796
drop_biggest_10pct,3,3,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,1.0,0.0,0.00637504630953966,0.01912513892861898,0.003060545509224827,0.0023443850952306732,0.00826339927114915
drop_high_pb_10pct,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,1.0,0.0,0.009759165152264718,0.029277495456794155,0.0005888420718577758,0.007328319609371614,0.006683847419436687
