top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
100,0.5,-0.006746677148123006,-0.020240031444369016,-0.0265932526726005,0.014459551283021668,-0.03840077276978109
100,0.75,-0.007178531736135567,-0.0215355952084067,-0.027786202088630862,0.015035825558564517,-0.04022727277026401
100,1.0,-0.007572550162165312,-0.022717650486495936,-0.02869843670908928,0.015425002656853416,-0.04166973780115329
80,0.5,-0.00730092434142147,-0.02190277302426441,-0.02939715666951867,0.016193438411772853,-0.04236578445506064
100,1.25,-0.007938403359220764,-0.023815210077662293,-0.029416745599594465,0.01569057451198563,-0.0428468500380102
80,0.75,-0.007845168814513004,-0.023535506443539012,-0.03022444563464742,0.016355322163169688,-0.04379397720626982
100,1.5,-0.00828103235472698,-0.024843097064180936,-0.029992462565208614,0.01587080783838577,-0.04382827766337061
70,0.5,-0.007978441553314296,-0.02393532465994289,-0.030730273497409977,0.01662213238348368,-0.044526461384943566
80,1.0,-0.00833241723943684,-0.02499725171831052,-0.03079522991774969,0.016394987322078638,-0.04486589271991405
65,0.5,-0.008389281073960399,-0.025167843221881196,-0.03091691700292057,0.016357922728999923,-0.04503147103203094
60,0.5,-0.008698986595651343,-0.02609695978695403,-0.03100389786477177,0.016057435750676568,-0.04532298697315991
70,0.75,-0.008509011480389817,-0.025527034441169452,-0.03108831139283527,0.01642953308714791,-0.04534765945372685
80,1.25,-0.008767755990053597,-0.02630326797016079,-0.031209201536969225,0.01637871516716473,-0.045709507835530475
65,0.75,-0.008837041044137559,-0.026511123132412676,-0.031319653498568134,0.016282378010960493,-0.045855526846541865
70,1.0,-0.008967118956211441,-0.026901356868634322,-0.0314345972855956,0.016334303181657808,-0.04611872235538727
55,0.5,-0.0085749002951995,-0.0257247008855985,-0.03179216021919308,0.016603714403410012,-0.046178360555586086
60,0.75,-0.009109880640825728,-0.027329641922477183,-0.03156045516828347,0.01618365654937757,-0.04633461560139135
80,1.5,-0.009159155717333577,-0.02747746715200073,-0.03152195877499463,0.016338961691397133,-0.0463997510843172
65,1.0,-0.009271353308965046,-0.027814059926895136,-0.03169319714428738,0.016251884252046173,-0.046652709941468584
70,1.25,-0.00937991437407672,-0.028139743122230162,-0.031737729865250336,0.016276343567714315,-0.04681436448802706
60,1.0,-0.00956229333910935,-0.02868688001732805,-0.03200216370802335,0.01623314926417719,-0.047246059289594716
55,0.75,-0.009257910311039315,-0.027773730933117944,-0.032238099859756966,0.016497556490401074,-0.04727015494243666
50,0.5,-0.00918974704547539,-0.02756924113642617,-0.03236485549930443,0.016478133313672018,-0.04732194920456503
65,1.25,-0.009684698500682922,-0.029054095502048766,-0.03200265631625561,0.016227213605455742,-0.04736687957884804
70,1.5,-0.009757738208786991,-0.029273214626360976,-0.0319865236216539,0.016231111560053073,-0.04742515087645946
65,1.5,-0.010070161133199718,-0.030210483399599156,-0.03223920155183953,0.01619768188112109,-0.047978551343431625
60,1.25,-0.01000620737494764,-0.03001862212484292,-0.032320468523338655,0.01623148201759295,-0.048007694604443825
55,1.0,-0.009877514884111142,-0.029632544652333427,-0.03256005351987344,0.016391404131250217,-0.04817455984992216
50,0.75,-0.009946359284990247,-0.029839077854970742,-0.032856188874102965,0.016425287011807597,-0.04855139861322587
60,1.5,-0.010416274085106926,-0.031248822255320777,-0.032528715771964645,0.016201837886571903,-0.048615633117371736
55,1.25,-0.010408963418865711,-0.031226890256597136,-0.03275981578562716,0.01629671422756755,-0.048872629184141515
50,1.0,-0.010559779602681599,-0.0316793388080448,-0.03309375447240964,0.016344963172494124,-0.04937427118546418
55,1.5,-0.01085254263577347,-0.03255762790732041,-0.03285567691613367,0.016217459940173654,-0.04938433053096791
45,0.5,-0.01039993094542292,-0.03119979283626876,-0.03360516246703478,0.016544172885851402,-0.04979555392250569
50,1.25,-0.011044321992001088,-0.033132965976003265,-0.03315891956253095,0.016266708033554626,-0.04989658936627615
50,1.5,-0.011424026912597552,-0.03427208073779266,-0.03311239868730964,0.01619924463920569,-0.050206161223629184
45,0.75,-0.010950080500597,-0.032850241501791,-0.033668077819395764,0.016439900671644025,-0.05037212355506818
45,1.0,-0.011379722391302685,-0.03413916717390805,-0.033573908748984,0.01635599944947168,-0.05067823094760177
45,1.25,-0.011712014658535988,-0.03513604397560796,-0.0333878255857981,0.016283189738641794,-0.05079895665285872
45,1.5,-0.011969817417398073,-0.03590945225219422,-0.033154653989376795,0.016216868239754264,-0.050800375290688864
40,1.5,-0.012349416359444101,-0.037048249078332304,-0.032848089519266085,0.016238713654396105,-0.05088105565774882
40,1.25,-0.01219209523835191,-0.03657628571505573,-0.033202522783549876,0.016343219525317743,-0.05111474485576299
40,1.0,-0.012011156348636058,-0.03603346904590817,-0.03358556807406533,0.01644976536582153,-0.051354142300738925
40,0.75,-0.011802373620774012,-0.035407120862322033,-0.03399279461293232,0.016554218172850885,-0.05158914459420415
40,0.5,-0.011550372705660348,-0.034651118116981044,-0.034417764776687454,0.016671194858428204,-0.05180305568279767
