top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
100,0.5,-0.006870508208942816,-0.02061152462682845,-0.02575750718148473,0.013485897899724887,-0.03734807965533126
100,0.75,-0.007355524360632327,-0.02206657308189698,-0.027304365369372502,0.014164836863168091,-0.03961758263211366
100,1.0,-0.007762034435375119,-0.023286103306125357,-0.028525369366839595,0.014699940178013245,-0.04143238286451935
80,0.5,-0.007598240783013002,-0.022794722349039006,-0.028994089298186948,0.015152241757653067,-0.04189561469637852
100,1.25,-0.008123585943277554,-0.02437075782983266,-0.029532351737749873,0.015139545699305337,-0.042954778675784296
70,0.5,-0.008017161550798528,-0.024051484652395587,-0.02965677708688219,0.015301978616468507,-0.04302963115344469
65,0.5,-0.008405093810028247,-0.025215281430084738,-0.029619987079344115,0.015002468938045122,-0.04327594501768815
80,0.75,-0.008096659546256933,-0.0242899786387708,-0.029877352684848063,0.015401892376274663,-0.04336467456280113
100,1.5,-0.008457719509418262,-0.025373158528254787,-0.030395186178849343,0.015515122250355897,-0.04428319847589217
70,0.75,-0.008512596638709556,-0.025537789916128668,-0.03068580850588537,0.01569233824134627,-0.04469072352906612
60,0.5,-0.008557306907716812,-0.025671920723150436,-0.0307046979021256,0.01567090674201901,-0.04474682216954907
80,1.0,-0.008529070540517937,-0.025587211621553814,-0.030752973536846195,0.01572257135407104,-0.044784944051288994
65,0.75,-0.0088463589788123,-0.026539076936436902,-0.03112885856349136,0.015785893116482673,-0.0455002801330726
80,1.25,-0.008921954230488145,-0.026765862691464436,-0.03159945297884076,0.016071652283246973,-0.04614648550846534
70,1.0,-0.008974101845616676,-0.026922305536850027,-0.03173762201360979,0.01614990764630014,-0.04636419153543151
55,0.5,-0.008977555712574043,-0.02693266713772213,-0.03218689828704238,0.01646153857628015,-0.046925992501314476
60,0.75,-0.009119026717966947,-0.027357080153900842,-0.03229479138858338,0.01645601619552114,-0.04717342377498272
80,1.5,-0.00929056478424513,-0.027871694352735392,-0.03240218826999834,0.01642139601712238,-0.047440241660236304
65,1.0,-0.009292442702192845,-0.027877328106578537,-0.03242690824718163,0.016445388246785583,-0.047475236835749425
70,1.25,-0.009406111376459185,-0.028218334129377555,-0.03273029665475474,0.016602702907541504,-0.047947354048853454
60,1.0,-0.009628124100039473,-0.028884372300118418,-0.03357134872020727,0.01708248637941538,-0.049178343053042126
65,1.25,-0.009727017931686571,-0.02918105379505971,-0.033526381068608946,0.016989049886359596,-0.04919956646052138
55,0.75,-0.009593578906897422,-0.028780736720692267,-0.033722827524166804,0.017210026345429365,-0.04933991565196451
70,1.5,-0.009814157271189118,-0.029442471813567357,-0.033631125848521334,0.017017239076568682,-0.04940131679650949
50,0.5,-0.009722515690223015,-0.029167547070669046,-0.034327487554750125,0.017614860858086688,-0.05021520454530348
65,1.5,-0.01014491967587137,-0.030434759027614108,-0.03445396120089675,0.017430400846740905,-0.05069952117312743
60,1.25,-0.01009375260430674,-0.030281257812920216,-0.03459769906785373,0.017571278181925373,-0.05084139903583435
55,1.0,-0.010098323742527731,-0.030294971227583192,-0.03485628992367318,0.01776308590394623,-0.05117169373258209
50,0.75,-0.01015287718535835,-0.030458631556075047,-0.03544571893451519,0.01821403831676268,-0.05197350953074048
60,1.5,-0.010527604903605138,-0.031582814710815414,-0.035432416973309,0.017947078678981192,-0.05224149941455755
55,1.25,-0.010545275606049878,-0.03163582681814964,-0.035719520636247226,0.0181612988248925,-0.05262125083100948
50,1.0,-0.010563690800587458,-0.031691072401762374,-0.036214777380341595,0.018564249736445965,-0.05327595558868514
45,0.5,-0.01042674332757655,-0.03128022998272965,-0.03643825016646984,0.018786435322394168,-0.05344024585688435
55,1.5,-0.010965155614686285,-0.032895466844058856,-0.036402901942710036,0.01844305744007239,-0.05382312766142166
40,0.5,-0.01034472652120416,-0.031034179563612478,-0.03688152595855752,0.019311207546548585,-0.05398517512105369
45,0.75,-0.010637940332810016,-0.03191382099843005,-0.036770886110457354,0.01895148782758268,-0.05404184718292131
50,1.25,-0.010971076479828338,-0.03291322943948501,-0.036791871624199404,0.018769149860864663,-0.054332150555330375
40,0.75,-0.010635676781261691,-0.03190703034378507,-0.037118079928950554,0.019297513854674486,-0.054507886559348316
45,1.0,-0.010954621521701837,-0.03286386456510551,-0.037105071371456716,0.01903503822012544,-0.05472195627020246
50,1.5,-0.011386131860360195,-0.03415839558108059,-0.03726751174943001,0.018890155532443862,-0.055265198046145554
40,1.0,-0.011104868038638934,-0.0333146041159168,-0.037432606862806625,0.019234196939135487,-0.055269443830142984
45,1.25,-0.011348994982976764,-0.03404698494893029,-0.03745092741831646,0.0190698510596171,-0.05547437027215921
40,1.25,-0.011667510787664736,-0.03500253236299421,-0.037804171831825745,0.019163757376524853,-0.05617899770127418
45,1.5,-0.011799315626792173,-0.03539794688037652,-0.037815136272219815,0.01908056119710591,-0.05629264831799906
40,1.5,-0.01227682884937012,-0.03683048654811036,-0.038222288397025475,0.019109584535788017,-0.0571874718339214
