feature,coverage,std,mean_ic,abs_mean_ic,std_ic,n_days,selected,drop_reason
s2_high_low_stress_5d_z,1.0,1.1217454586068416,-0.04468578799963606,0.04468578799963606,0.22978831429900784,229,True,
s2_high_low_stress_5d_rank,1.0,0.28858602257302884,-0.04466021189914292,0.04466021189914292,0.22979671788513828,229,False,corr_with:s2_high_low_stress_5d_z:0.998
s2_pullback_quality_20d_rank,1.0,0.2886843726696063,-0.04323652605744355,0.04323652605744355,0.1712534164521537,229,True,
s2_pullback_quality_20d_z,1.0,1.2431262947961443,-0.04322316044615517,0.04322316044615517,0.17121261773098953,229,False,corr_with:s2_pullback_quality_20d_rank:0.997
s2_excess_20d_vol_adj_rank,1.0,0.28867553665474494,-0.04085551318236981,0.04085551318236981,0.18892249650462703,229,True,
s2_excess_20d_vol_adj_z,1.0,1.1006037259690573,-0.04085511450623435,0.04085511450623435,0.18892184850933763,229,False,corr_with:s2_excess_20d_vol_adj_rank:0.998
s2_excess_5d_vol_adj_rank,1.0,0.2886921542369523,-0.03600463013069569,0.03600463013069569,0.17175686213256433,229,True,
s2_excess_5d_vol_adj_z,1.0,1.0976996668363055,-0.03599973886026871,0.03599973886026871,0.17175677617642693,229,False,corr_with:s2_excess_5d_vol_adj_rank:0.998
s2_reversal_risk_5d_rank,1.0,0.28869559868590366,0.03490032481342607,0.03490032481342607,0.15709531288144393,229,False,corr_with:s2_excess_5d_vol_adj_rank:-0.928
s2_reversal_risk_5d_z,1.0,1.5143930332286824,0.03473316603693732,0.03473316603693732,0.15692110781564883,229,False,corr_with:s2_excess_5d_vol_adj_rank:-0.925
s2_intraday_stability_20d_z,1.0,1.0716495139978803,0.03375676788499223,0.03375676788499223,0.24941996189238724,229,True,
s2_intraday_stability_20d_rank,1.0,0.2885999819457434,0.03375061605122702,0.03375061605122702,0.24942437740805232,229,False,corr_with:s2_intraday_stability_20d_z:0.999
s2_vol_compression_20d_z,1.0,0.981593296715763,0.0310669283431494,0.0310669283431494,0.13167335216200388,229,True,
s2_vol_compression_20d_rank,1.0,0.28867553665474494,0.0310669283431494,0.0310669283431494,0.13167335216200388,229,False,corr_with:s2_vol_compression_20d_z:0.998
s2_upside_downside_20d_rank,1.0,0.2886794951458966,-0.030967616392349632,0.030967616392349632,0.1563154901596644,229,False,corr_with:s2_pullback_quality_20d_rank:0.913
s2_upside_downside_20d_z,1.0,1.206402532271396,-0.030942366878211877,0.030942366878211877,0.15629713023452046,229,False,corr_with:s2_pullback_quality_20d_rank:0.913
s2_ret_20d_vol_adj_rank,1.0,0.288675460549802,-0.029734683213687534,0.029734683213687534,0.1574605400684448,229,False,corr_with:s2_pullback_quality_20d_rank:0.917
s2_ret_20d_vol_adj_z,1.0,1.1005310212639055,-0.02973258524482418,0.02973258524482418,0.15745699872310423,229,False,corr_with:s2_pullback_quality_20d_rank:0.917
s2_ret_5d_vol_adj_rank,1.0,0.2886947482810041,-0.028487305695697643,0.028487305695697643,0.14813855840968174,229,False,corr_with:s2_excess_5d_vol_adj_rank:0.931
s2_ret_5d_vol_adj_z,1.0,1.0881407708419066,-0.02848139374567544,0.02848139374567544,0.14814230675111117,229,False,corr_with:s2_excess_5d_vol_adj_rank:0.930
s2_ret_60d_vol_adj_rank,1.0,0.28867552080158854,-0.027996709112677348,0.027996709112677348,0.17330883413934356,229,True,
s2_ret_60d_vol_adj_z,1.0,1.0579679204709673,-0.027996385732641356,0.027996385732641356,0.17330974336394006,229,False,corr_with:s2_ret_60d_vol_adj_rank:0.999
s2_volume_price_confirm_5d_rank,1.0,0.288667187594527,-0.025754250881071285,0.025754250881071285,0.12334810401368793,229,True,
s2_turnover_price_confirm_5d_rank,1.0,0.2886673692746713,-0.025307742104474694,0.025307742104474694,0.12216953558920389,229,False,corr_with:s2_volume_price_confirm_5d_rank:0.995
s2_volume_price_confirm_5d_z,1.0,1.6575025795697986,-0.025192795152709797,0.025192795152709797,0.12287573521642679,229,False,corr_with:s2_volume_price_confirm_5d_rank:0.993
s2_turnover_price_confirm_5d_z,1.0,1.6566608207511253,-0.02474062536228891,0.02474062536228891,0.12173034211709444,229,False,corr_with:s2_volume_price_confirm_5d_rank:0.988
s2_amount_price_confirm_5d_rank,1.0,0.2886664783592427,-0.02388384616454625,0.02388384616454625,0.12357037120027668,229,False,corr_with:s2_volume_price_confirm_5d_rank:0.980
s2_amount_price_confirm_5d_z,1.0,1.645344323680223,-0.023128815987512374,0.023128815987512374,0.12309047766373006,229,False,corr_with:s2_volume_price_confirm_5d_rank:0.974
s2_trend_eff_20d_z,1.0,0.9813109206464472,-0.021545770806634414,0.021545770806634414,0.09978642898068248,229,True,
s2_trend_eff_20d_rank,1.0,0.2887029718585673,-0.021545532658500358,0.021545532658500358,0.09978687898358456,229,False,corr_with:s2_trend_eff_20d_z:0.997
s2_trend_eff_60d_rank,1.0,0.28867553572731214,-0.02046333874766918,0.02046333874766918,0.10518913242788779,229,True,
s2_trend_eff_60d_z,1.0,1.0611202542820937,-0.020454344633260253,0.020454344633260253,0.10518888100574629,229,False,corr_with:s2_trend_eff_60d_rank:0.998
s2_liquidity_trend_20d_rank,1.0,0.28865231218984655,-0.018250283949581215,0.018250283949581215,0.12428005588781173,229,True,
s2_liquidity_trend_20d_z,1.0,1.0400529192062964,-0.01824925169724117,0.01824925169724117,0.12428029492060462,229,False,corr_with:s2_liquidity_trend_20d_rank:0.998
s2_up_day_ratio_20d_z,1.0,1.243820449345937,-0.018216095802218082,0.018216095802218082,0.12416169433286056,229,True,
