top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
100,0.5,-0.01235589591566869,-0.03706768774700607,-0.01661257573392796,0.005059591939613019,-0.030739328828461206
100,0.75,-0.013260666048437694,-0.03978199814531308,-0.019198486690725828,0.006332476151415949,-0.0346755193921591
80,0.5,-0.013466481865836719,-0.04039944559751016,-0.020354231562627487,0.007180945304701009,-0.03633404428510956
100,1.0,-0.014175729084474181,-0.04252718725342254,-0.02186672098228077,0.007588880801148756,-0.03869855834715702
70,0.5,-0.014744453587369652,-0.04423336076210896,-0.02338671143639385,0.008595504202520369,-0.041139591494645626
80,0.75,-0.01478719225142891,-0.04436157675428673,-0.02388288070873303,0.008704542848852503,-0.041716662957260314
100,1.25,-0.015081960231856567,-0.0452458806955697,-0.024545465810879442,0.008830206851511216,-0.04271799844076493
65,0.5,-0.015982303434924076,-0.04794691030477223,-0.02577447289032309,0.009745142495004954,-0.0451675761984989
100,1.5,-0.015967625033135074,-0.04790287509940522,-0.027195828134547722,0.010054920538711952,-0.04668267535623198
80,1.0,-0.016042931375987873,-0.048128794127963614,-0.027364640789359868,0.010233385361482465,-0.0469892570418666
70,0.75,-0.016341364636411324,-0.04902409390923397,-0.027629599365132807,0.010395071340544421,-0.04760923897073467
60,0.5,-0.017448380268599902,-0.0523451408057997,-0.02869548133073047,0.010859196341186036,-0.049944580318745484
65,0.75,-0.017496391960599413,-0.05248917588179824,-0.030196342705308153,0.011527146535514178,-0.05172723595333753
80,1.25,-0.017210227833535947,-0.05163068350060784,-0.030739338029933033,0.011745392923806863,-0.052060453386801375
70,1.0,-0.017715521331253693,-0.053146563993761074,-0.03160607476587502,0.012135340782447502,-0.05356896537098534
55,0.5,-0.018805401213331543,-0.056416203639994625,-0.03163924549440953,0.011709445793422767,-0.054542952735439035
60,0.75,-0.018755268322884395,-0.05626580496865319,-0.033136869796106264,0.012694395788504526,-0.05633517664496724
80,1.5,-0.01828796437291271,-0.054863893118738134,-0.033984093452771716,0.01322923444220392,-0.0569022898804558
65,1.0,-0.018785510986283078,-0.05635653295884924,-0.03430140067419332,0.013315143069730886,-0.0577472117348822
70,1.25,-0.018917989137202332,-0.056753967411606994,-0.03534015011176656,0.013827087700619599,-0.059097619944185754
50,0.5,-0.01963707885390181,-0.05891123656170543,-0.03516497670183338,0.013127632771298676,-0.05939672702568972
55,0.75,-0.019856552118886005,-0.059569656356658014,-0.0363369168313082,0.013905109364125553,-0.06106025722763815
60,1.0,-0.019890232196813105,-0.05967069659043932,-0.03731596823690542,0.01459553773240025,-0.06231463864005861
65,1.25,-0.019916693873248303,-0.05975008161974491,-0.03814261143201133,0.01508373375390349,-0.06333861211912585
70,1.5,-0.01999269190886987,-0.05997807572660962,-0.038860663481674204,0.015471503255135449,-0.06426838152984149
45,0.5,-0.020375945235460807,-0.06112783570638242,-0.03901980689828168,0.015044662071005124,-0.06466138385859428
50,0.75,-0.020635278275449163,-0.06190583482634749,-0.039905963710876645,0.01561701050468176,-0.06600719566296442
55,1.0,-0.020854619324948104,-0.06256385797484432,-0.04067003127281569,0.01607497641839191,-0.06715089234420096
60,1.25,-0.02092073618703265,-0.06276220856109795,-0.04125322711125793,0.016490795227645384,-0.06794574162796646
65,1.5,-0.020939776958117648,-0.06281933087435294,-0.04176046474888543,0.01681316143604984,-0.06858484820962053
40,0.5,-0.020689152935694965,-0.06206745880708489,-0.04190250327529896,0.0171532309150015,-0.06859528703124446
45,0.75,-0.02137588722207552,-0.06412766166622656,-0.04374987684250126,0.01770129741362118,-0.07132121815934421
50,1.0,-0.02165854814460873,-0.0649756444338262,-0.04436707104282758,0.017973912425365533,-0.07231648853631424
55,1.25,-0.021830473120064708,-0.06549141936019412,-0.04473239959583055,0.018159517123098188,-0.07291870370897963
60,1.5,-0.021888465309842505,-0.06566539592952751,-0.04497414762007274,0.01833763359267124,-0.07328078468735018
40,0.75,-0.022192297989569957,-0.06657689396870987,-0.04801349570348648,0.0202670862573329,-0.07729927388312295
45,1.0,-0.02249887579426162,-0.06749662738278486,-0.04842714941740036,0.020214879137690597,-0.0780012329098537
50,1.25,-0.02269899839235202,-0.06809699517705606,-0.0485926559613148,0.020191448151188694,-0.07835866120658286
55,1.5,-0.022796715215799134,-0.0683901456473974,-0.04857275914157734,0.020140310619836954,-0.07841858307431941
50,1.5,-0.023748964517097498,-0.07124689355129249,-0.05260381986925229,0.022271194740758074,-0.08414770254561511
45,1.25,-0.02367731124092883,-0.07103193372278649,-0.05293717573357138,0.022566002401264152,-0.08451258781494267
40,1.0,-0.02363586418070236,-0.07090759254210707,-0.05349986366546841,0.023045345833944672,-0.08520159888805141
45,1.5,-0.024872816160796507,-0.07461844848238952,-0.05722257993511737,0.02474856409276936,-0.09075739352838315
40,1.25,-0.025036852771631948,-0.07511055831489584,-0.058478495261642414,0.025534063986278388,-0.09245227042847179
40,1.5,-0.02640221764855026,-0.07920665294565078,-0.06303300823393221,0.02777461043979383,-0.09915633953641032
