mode,top_k,alpha_xgb,rank_power,equal_mix,max_weight,score_rank_blend,portfolio_return,benchmark_return,excess_return,n,max_w,top10_sum
rank,30,0.0,1.6,0.0,0.04,0.2,0.07133025811703962,0.041279438261512036,0.030050819855527586,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,2.0,0.0,0.04,0.2,0.07132406082364641,0.041279438261512036,0.030044622562134374,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,2.4,0.0,0.04,0.2,0.07126204872580243,0.041279438261512036,0.02998261046429039,30,0.04,0.39999999999999997
rank,30,0.0,1.2,0.0,0.04,0.2,0.07121547939719562,0.041279438261512036,0.029936041135683586,30,0.04000000000000001,0.40000000000000013
rank,30,0.05,1.6,0.0,0.04,0.2,0.07119019936791438,0.041279438261512036,0.02991076110640234,30,0.03999999999999998,0.3999999999999998
rank,30,0.05,2.0,0.0,0.04,0.2,0.07117292776885857,0.041279438261512036,0.029893489507346535,30,0.03999999999999998,0.3999999999999998
rank,30,0.0,3.0,0.0,0.04,0.2,0.07114406683238687,0.041279438261512036,0.029864628570874838,30,0.03999999999999998,0.3999999999999998
rank,30,0.05,2.4,0.0,0.04,0.2,0.07110227532463506,0.041279438261512036,0.029822837063123026,30,0.040000000000000015,0.4000000000000002
rank,30,0.05,1.2,0.0,0.04,0.2,0.07108952873695616,0.041279438261512036,0.029810090475444126,30,0.04,0.39999999999999997
rank,30,0.0,1.0,0.0,0.04,0.2,0.07108651244378399,0.041279438261512036,0.02980707418227195,30,0.040000000000000015,0.4000000000000002
rank,30,0.1,1.6,0.0,0.04,0.2,0.0710505127687106,0.041279438261512036,0.02977107450719857,30,0.039999999999999994,0.3999999999999999
rank,30,0.1,2.0,0.0,0.04,0.2,0.07102238372686756,0.041279438261512036,0.029742945465355525,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,1.6,0.05,0.04,0.2,0.07101271312746046,0.041279438261512036,0.029733274865948428,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,2.0,0.05,0.04,0.2,0.070984194408576,0.041279438261512036,0.02970475614706397,30,0.04,0.39999999999999997
rank,30,0.05,3.0,0.0,0.04,0.2,0.07097503006383735,0.041279438261512036,0.02969559180232531,30,0.04000000000000001,0.40000000000000013
rank,30,0.05,1.0,0.0,0.04,0.2,0.07096790507416605,0.041279438261512036,0.02968846681265401,30,0.04,0.39999999999999997
rank,30,0.1,1.2,0.0,0.04,0.2,0.07096358541840951,0.041279438261512036,0.029684147156897475,30,0.03999999999999998,0.3999999999999998
rank,30,0.1,2.4,0.0,0.04,0.2,0.07094328820026886,0.041279438261512036,0.02966384993875683,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,1.2,0.05,0.04,0.2,0.07093635435731413,0.041279438261512036,0.029656916095802094,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,0.8,0.0,0.04,0.2,0.07092382571976705,0.041279438261512036,0.02964438745825501,30,0.04000000000000002,0.40000000000000024
rank,30,0.0,2.4,0.05,0.04,0.2,0.07090994076290007,0.041279438261512036,0.02963050250138803,30,0.04,0.39999999999999997
rank,30,0.05,1.6,0.05,0.04,0.2,0.0708878449508736,0.041279438261512036,0.029608406689361558,30,0.039999999999999994,0.3999999999999999
rank,30,0.05,2.0,0.05,0.04,0.2,0.07085041991516819,0.041279438261512036,0.029570981653656153,30,0.039999999999999994,0.3999999999999999
rank,30,0.1,1.0,0.0,0.04,0.2,0.070849224034592,0.041279438261512036,0.029569785773079962,30,0.04,0.39999999999999997
rank,30,0.0,1.0,0.05,0.04,0.2,0.07084684487270876,0.041279438261512036,0.029567406611196723,30,0.039999999999999994,0.3999999999999999
rank,30,0.05,0.8,0.0,0.04,0.2,0.07084127445095884,0.041279438261512036,0.0295618361894468,30,0.04000000000000001,0.40000000000000013
