strategy,mean,min,median,max,neg
overlay,0.024283201881242666,0.004896566555824246,0.02390834866889953,0.0456943248663014,0
overlay_0.97+adaptive_0.03,0.02424571766104316,0.0048669062464149065,0.023752358792833855,0.04565742430302219,0
overlay_0.95+adaptive_0.05,0.024220728180910072,0.004847132706808657,0.02364836554212335,0.04563282392750179,0
overlay_0.92+adaptive_0.08,0.024183243960710313,0.004817472397399283,0.023492375666057635,0.04559592336421994,0
overlay_0.90+adaptive_0.10,0.024158254480577047,0.004797698857793027,0.02338838241534716,0.0455713229886979,0
overlay_0.85+adaptive_0.15,0.02409578078024356,0.004748265008777397,0.023128399288570953,0.04550982204988993,0
overlay_0.97+scoreprop30_0.03,0.024080404431402587,0.004755193952552625,0.02343663357424612,0.04529398511947402,0
overlay0.90+adaptive0.08+scoreprop300.02,0.024048116839746017,0.004723290559104774,0.02317730198660979,0.04532916714648713,0
overlay_0.97+scoreprop40_0.03,0.0240422282232448,0.00479812571373895,0.023559573397194736,0.04537724976734575,0
overlay_0.80+adaptive_0.20,0.02403330707990963,0.004698831159761774,0.022868416161794747,0.04544832111107788,0
overlay0.90+adaptive0.08+scoreprop400.02,0.02402278781827059,0.004751804040270674,0.023259669320171733,0.04538454546774455,0
overlay_0.97+scoreprop50_0.03,0.02399267546165128,0.004840215122675441,0.023676683820417627,0.045356563631879815,0
overlay0.90+adaptive0.08+scoreprop500.02,0.023989575102804573,0.004779904775300048,0.023337932433736344,0.04537074934817839,0
overlay_0.75+adaptive_0.25,0.023970833379575233,0.004649397310746144,0.022608433035018527,0.04538682017226173,0
overlay0.90+adaptive0.08+target30.02,0.02395512873253886,0.005043382913480346,0.022818275250927694,0.04526471591503772,0
overlay_0.95+scoreprop30_0.05,0.023943144310160525,0.004658939946533533,0.02312033665215317,0.04502446922273931,0
overlay_0.97+target3_0.03,0.0239410290389904,0.005235432329945874,0.022897198046204617,0.04519751369257277,0
overlay0.90+adaptive0.08+lightgbm0.02,0.0239210511690687,0.004885267303541371,0.023260682092032525,0.045264561292448324,0
