set,mode,top_k,power,max_weight,equal_mix,mean,min,max,neg,vals
core_diverse,rank,30,2.0,0.1,0.0,0.02513301663705838,0.00044885063288926247,0.04262512357495322,0,"0.02399,0.02678,0.03731,0.00045,0.03569,0.00206,0.02255,0.04263,0.03474"
core_diverse,rank,30,2.0,0.1,0.1,0.024738338222423203,0.0008407544861717339,0.04066145697809599,0,"0.02476,0.02660,0.03540,0.00084,0.03406,0.00277,0.02264,0.04066,0.03491"
hybrid_plus_signal,rank,30,2.0,0.1,0.0,0.024706224681732496,0.001119724619206626,0.04486060398024694,0,"0.01699,0.02537,0.03905,0.00112,0.03332,0.00228,0.02429,0.04486,0.03508"
core_diverse,rank,35,2.0,0.1,0.0,0.024679637300254725,0.0009155347666452499,0.04199625212546,0,"0.02449,0.02464,0.03662,0.00092,0.03535,0.00156,0.02104,0.04200,0.03550"
core_diverse,presence,30,2.0,0.04,0.0,0.02459991720661715,0.004101192254001622,0.04779865018655027,0,"0.02187,0.01983,0.02189,0.00410,0.02960,0.02312,0.01687,0.03633,0.04780"
core_diverse,presence,30,1.6,0.04,0.0,0.02456327747717728,0.003987321461884082,0.04839570210908774,0,"0.02164,0.01983,0.02189,0.00399,0.02908,0.02292,0.01657,0.03675,0.04840"
core_diverse,presence,30,2.0,0.04,0.1,0.024558326470249855,0.0040377924385930075,0.04822741096954661,0,"0.02169,0.01983,0.02189,0.00404,0.02923,0.02290,0.01665,0.03658,0.04823"
core_diverse,rank,30,1.6,0.1,0.0,0.024554587884287177,0.0012739907514337373,0.03879071322431705,0,"0.02469,0.02647,0.03436,0.00127,0.03301,0.00428,0.02296,0.03879,0.03516"
core_diverse,presence,30,2.0,0.04,0.2,0.024504691573473077,0.003979161382112115,0.04873620852415515,0,"0.02145,0.01983,0.02173,0.00398,0.02884,0.02282,0.01635,0.03681,0.04874"
core_diverse,presence,30,1.6,0.04,0.1,0.024495488536435,0.003942353841000078,0.048926130872174026,0,"0.02143,0.01983,0.02161,0.00394,0.02876,0.02285,0.01618,0.03693,0.04893"
core_diverse,presence,30,1.3,0.04,0.0,0.0244528534276434,0.0039079719920250625,0.04916646680075494,0,"0.02136,0.01983,0.02147,0.00391,0.02864,0.02285,0.01597,0.03687,0.04917"
hybrid_plus_signal,rank,40,2.0,0.1,0.0,0.024448382172421294,0.0021139196757098827,0.04396200167392447,0,"0.01654,0.02550,0.03863,0.00221,0.03284,0.00211,0.02399,0.04396,0.03424"
core_diverse,presence,30,1.6,0.04,0.2,0.02440320977332962,0.003899968983987555,0.04943782280076907,0,"0.02124,0.01983,0.02134,0.00390,0.02846,0.02278,0.01575,0.03689,0.04944"
core_diverse,rank,30,2.0,0.08,0.0,0.02440100502187908,0.0008234312595294599,0.03970154557597521,0,"0.02203,0.02678,0.03432,0.00082,0.03465,0.00339,0.02318,0.03970,0.03474"
core_diverse,presence,30,1.3,0.04,0.1,0.024387861741227264,0.0038746733578245707,0.049592844730431726,0,"0.02121,0.01983,0.02125,0.00387,0.02837,0.02279,0.01562,0.03696,0.04959"
core_diverse,presence,30,2.0,0.05,0.0,0.02436972038089323,0.0034098248294433253,0.045317877862072184,0,"0.02231,0.01930,0.02282,0.00341,0.03349,0.02066,0.01504,0.03699,0.04532"
core_diverse,rank,30,1.6,0.08,0.0,0.024357571305155017,0.0012739907514337373,0.0385952352651918,0,"0.02311,0.02647,0.03402,0.00127,0.03293,0.00470,0.02296,0.03860,0.03516"
core_diverse,presence,30,1.0,0.04,0.0,0.024341642386872777,0.0038143212987605743,0.04997372372502738,0,"0.02109,0.01987,0.02109,0.00381,0.02808,0.02276,0.01530,0.03708,0.04997"
core_diverse,rank,40,2.0,0.1,0.0,0.02432982917697451,0.001151501040687966,0.0409525819637641,0,"0.02424,0.02125,0.03649,0.00115,0.03516,0.00368,0.02053,0.04095,0.03551"
core_diverse,presence,30,1.3,0.04,0.2,0.024328302583729016,0.003838005162359104,0.050008435857862646,0,"0.02107,0.01984,0.02107,0.00384,0.02806,0.02273,0.01528,0.03706,0.05001"
core_diverse,rank,30,2.0,0.1,0.2,0.024308122744016267,0.0012326583394542123,0.03869779038123876,0,"0.02498,0.02642,0.03348,0.00123,0.03243,0.00371,0.02274,0.03870,0.03507"
core_diverse,rank,30,2.0,0.06,0.0,0.024303964755863147,0.0024054375437866787,0.036051324513807534,0,"0.02312,0.02678,0.03318,0.00241,0.03091,0.00690,0.02437,0.03605,0.03503"
core_diverse,presence,30,1.0,0.04,0.1,0.02429051151255891,0.0037351360352467777,0.05030606110117472,0,"0.02090,0.01992,0.02097,0.00374,0.02783,0.02272,0.01504,0.03720,0.05031"
core_diverse,presence,30,2.0,0.05,0.1,0.024281473048187605,0.0032826894550248356,0.045970717556300666,0,"0.02187,0.01941,0.02226,0.00328,0.03303,0.02072,0.01474,0.03725,0.04597"
core_diverse,rank,30,2.0,0.05,0.0,0.024279333085483443,0.0029380997643778314,0.035584009947408665,0,"0.02291,0.02674,0.03332,0.00294,0.02825,0.01034,0.02352,0.03493,0.03558"
core_diverse,presence,30,0.8,0.04,0.0,0.024268372070717865,0.003664495844328104,0.05057769927320706,0,"0.02078,0.01997,0.02080,0.00366,0.02765,0.02273,0.01488,0.03736,0.05058"
hybrid_plus_signal,rank,50,2.0,0.1,0.0,0.024261022897168548,0.0020452796118016064,0.04370135143811949,0,"0.01652,0.02507,0.03855,0.00265,0.03199,0.00205,0.02369,0.04370,0.03413"
hybrid_plus_signal,rank,35,2.0,0.1,0.0,0.02425452214186717,0.0012721973164997735,0.044276642104657406,0,"0.01663,0.02485,0.03883,0.00145,0.03286,0.00127,0.02387,0.04428,0.03425"
core_diverse,presence,30,1.0,0.04,0.2,0.024250578087984555,0.003661364825744931,0.05066391890367128,0,"0.02072,0.01997,0.02077,0.00366,0.02759,0.02270,0.01482,0.03737,0.05066"
hybrid_plus_signal,rank,100,2.0,0.1,0.0,0.0242460149938717,0.0022160821446765983,0.04367155850150786,0,"0.01573,0.02544,0.03853,0.00321,0.03175,0.00222,0.02355,0.04367,0.03412"
