ogamma,opower,omax,rgamma,rpower,rmax,mean,min,max,neg,vals,reasons
3.0,3.0,0.1,3.0,3.0,0.1,0.04074738195637263,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03827,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,2.0,0.08,0.040629353240401546,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03721,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,2.0,0.1,0.040629353240401546,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03721,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,3.0,0.08,0.04059981932053379,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03694,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,3.0,0.1,0.040537749437849685,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03827,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,1.5,0.08,0.040500998065033884,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03605,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,1.5,0.1,0.040500998065033884,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03605,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,2.0,0.08,0.040419720721878605,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03721,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,2.0,0.1,0.040419720721878605,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03721,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,3.0,0.08,0.04039018680201085,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03694,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,2.0,3.0,0.08,0.04029142342938187,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03417,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,2.0,3.0,0.1,0.04029142342938187,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03417,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,1.5,0.08,0.04029136554651094,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03605,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,1.5,0.1,0.04029136554651094,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03605,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
