strategy,top_k,mean,sum,median,min,max,negative_windows
ret_60d_low,40,0.011538400271552446,0.10384560244397202,0.0075703561954568455,-0.008882350965787416,0.04578755236923339,3
ret_60d_low,30,0.011432558445298634,0.1028930260076877,0.007119446995689477,-0.008062732049771093,0.04858511595124197,3
ret_60d_low,50,0.010789714280828575,0.09710742852745717,0.0072631473603101265,-0.013304789392032314,0.04244647512205765,3
close_over_ma60_low,30,0.00908375021196315,0.08175375190766834,0.00313539682311623,-0.005032320945556862,0.0286279235631325,2
ret_60d_low,70,0.008960974479377454,0.08064877031439709,0.007600018199258415,-0.01461427170579242,0.03220084948099522,3
close_over_ma60_low,40,0.008496483550657056,0.0764683519559135,0.0032404378454883725,-0.0050817175633341444,0.02691959693168934,3
close_over_ma60_low,50,0.007884915913671707,0.07096424322304537,0.004016162990110338,-0.008247874566148668,0.02605754475433361,3
ret_60d_low,100,0.007349295962027223,0.066143663658245,0.006988743159578786,-0.015990205533999543,0.028616020565640773,3
close_over_ma20_low,30,0.0063305284916026,0.0569747564244234,0.005689728912928425,-0.01754172926310829,0.029314251079277487,4
close_over_ma60_low,70,0.0061554392311570965,0.05539895308041387,0.004942871282565528,-0.011250278921231337,0.021289620675953563,2
drawdown_20d_low,30,0.005987325228665085,0.05388592705798577,0.004179120609310152,-0.014836100018152248,0.025880511730326614,4
ret_60d_low,150,0.0059441048820651765,0.05349694393858659,0.008496792132841782,-0.0162235268114249,0.027636030503315402,3
overnight_ret_high,30,0.005921584985293272,0.05329426486763945,0.0004372706831691263,-0.03000048522560709,0.05604363136183478,4
close_over_ma20_low,40,0.00582261364283657,0.052403522785529136,0.006457712483145656,-0.019278113494625687,0.0294857562063634,4
drawdown_20d_low,40,0.005301861893399654,0.04771675704059689,0.0029034608278665046,-0.01601476052517603,0.02493519648433759,4
close_over_ma20_low,50,0.005291962611121758,0.04762766350009582,0.0040869568328157635,-0.018908558783903406,0.02827552048119923,4
close_over_ma20_low,70,0.00525451078775272,0.04729059708977448,0.0011927287390480282,-0.015466363570892455,0.024310846308150877,4
overnight_ret_high,40,0.005253387800575525,0.04728049020517973,0.0015999729306495469,-0.03111147548664142,0.04913739424528732,4
ret_5d_low,40,0.005116526417837576,0.04604873776053818,0.013365833814967903,-0.029554844821267627,0.0296703622062172,4
close_over_ma60_low,100,0.004967661437153145,0.04470895293437831,0.006231179901589154,-0.012787064842913566,0.020985054900319676,2
close_over_ma20_low,100,0.004767430861077572,0.04290687774969815,-0.00038230512735928576,-0.013582827338206885,0.01933679248390014,5
ret_5d_low,50,0.004608372401933094,0.04147535161739784,0.014366208620403772,-0.02952479078559806,0.026022831644054223,4
drawdown_20d_low,50,0.004604353236478344,0.041439179128305095,0.0012984418334614084,-0.015950287232319282,0.024428114173813964,4
overnight_ret_high,50,0.004514796705495402,0.04063317034945862,0.000331704458569255,-0.029858682191668907,0.04300020395456791,4
drawdown_20d_low,70,0.004104790594647706,0.03694311535182935,0.0038388166741962493,-0.013760975301255973,0.02094698267239839,2
overnight_ret_high,70,0.004096978775029334,0.03687280897526401,-0.0008590528454308355,-0.026740128513732836,0.04211271619706598,5
close_over_ma60_low,150,0.003990116467171453,0.03591104820454307,0.0035892153807245003,-0.01222846233939447,0.02079294349063386,3
ret_5d_low,30,0.003934538854733962,0.03541084969260566,0.011106676579401412,-0.03140898068125546,0.032008739410335496,4
close_over_ma20_low,150,0.003601047162418216,0.032409424461763946,0.001058408206334259,-0.012061709094838974,0.014999965516157454,4
drawdown_20d_low,100,0.0034120870948106032,0.03070878385329543,0.0014644475128782301,-0.010961119733478103,0.016939912034104394,2
overnight_ret_high,100,0.00321396920355696,0.02892572283201264,-0.001410730036167658,-0.021974417541006076,0.03765488365590784,5
ret_5d_low,70,0.0031982642215207875,0.028784377993687087,0.01306534105936219,-0.02608998971927253,0.023138758887898098,4
ret_10d_low,40,0.0029413720735199855,0.02647234866167987,0.008526772914159764,-0.031174595081504858,0.017792922954183887,2
overnight_ret_high,150,0.002926157736788645,0.026335419631097805,0.003459409237825367,-0.019664161446678312,0.03204754862272481,4
intraday_ret_low,70,0.0027839620127032057,0.025055658114328853,0.005007395681625525,-0.027648671529455306,0.02384274868779379,3
ret_10d_low,30,0.0027116461176282785,0.024404815058654508,0.007340842902421589,-0.03182203638106995,0.015882832401823782,3
rsi_14_high,40,0.0025981238446480936,0.023383114601832844,0.0006019366809919408,-0.04494943570014643,0.04046141262689737,4
ret_10d_low,50,0.0025975835639558686,0.023378252075602818,0.007906734896428666,-0.030566551743914025,0.01435597763241804,2
rsi_14_high,30,0.0025873550222708912,0.023286195200438023,6.461883875726222e-05,-0.047253032454534764,0.03919188407878857,4
intraday_ret_low,50,0.0025178557172326585,0.022660701455093926,0.0044586712535904585,-0.03717290250687531,0.028943654463932045,4
intraday_ret_low,30,0.002489045970386365,0.022401413733477284,0.0007097353330129605,-0.05037716653196729,0.03675231512287799,4
intraday_ret_low,100,0.0024061067238056425,0.02165496051425078,0.003373563650222065,-0.01949078841073936,0.017428239936731482,3
intraday_ret_low,40,0.002142943580411995,0.019286492223707954,0.002821785591590305,-0.04286579985220908,0.03156425690351672,4
drawdown_20d_low,150,0.0021116569141234366,0.01900491222711093,7.720511008665193e-05,-0.010589897605062112,0.013475780756867922,4
mom_accel_5_20_low,30,0.0020607461021410877,0.01854671491926979,-0.005487645322246076,-0.027720165040590605,0.04512270099609664,6
rsi_14_high,50,0.0020088136664415906,0.018079322997974316,-0.00041677169517495734,-0.04328700710745699,0.03985738460661393,5
ret_5d_low,100,0.0018280490041810591,0.016452441037629533,0.01207339862184413,-0.020692303820097617,0.01963202836483048,4
ret_10d_low,70,0.0018029839996539852,0.016226855996885867,0.005024523040437531,-0.027127135877817676,0.01287119407705438,3
amplitude_ma_20d_high,30,0.0016896722656814269,0.015207050391132841,0.009350137547247714,-0.028408754851876855,0.024181929721361503,4
amplitude_ma_20d_high,40,0.0015798361828233147,0.014218525645409832,0.008480324024357416,-0.030970729447280104,0.02275625584335518,4
intraday_ret_low,150,0.001527340533312607,0.013746064799813464,0.003459676314985366,-0.014561960092028814,0.012976442761135507,4
close_pos_20d_low,70,0.0013187067958477195,0.011868361162629477,-0.0024714282145797684,-0.01229468426308366,0.018207333681449674,5
rsi_14_high,70,0.001178848034316804,0.010609632308851237,-0.00021517308566038236,-0.03621670750883804,0.03794372615471905,5
ret_5d_low,150,0.001164634666874145,0.010481712001867306,0.005756008222690828,-0.014021061775222183,0.015599056500153294,4
close_pos_20d_low,50,0.0011571263184908616,0.010414136866417754,-0.0039250537055375186,-0.012215565699255054,0.016807646100610227,5
close_pos_20d_low,100,0.0011493462429311067,0.01034411618637996,-0.0004741340213642378,-0.01303131497537173,0.017947621546756356,5
ret_1d_low,70,0.0010262923338026657,0.009236631004223991,0.005077241122718429,-0.03220815682334419,0.012149229669034686,3
vol_20d_high,100,0.0010136389036926859,0.009122750133234173,0.012522804380185194,-0.03129113596888804,0.019210863725655822,4
ret_1d_low,100,0.0009435802326942221,0.008492222094247999,0.0030731428987856137,-0.02464936856635299,0.013080352430506967,2
close_pos_20d_low,150,0.0009035256119737282,0.008131730507763554,-3.818301511180136e-05,-0.012846864781353079,0.016347795550135893,5
mom_accel_5_20_low,40,0.0008893581876915982,0.008004223689224384,-0.0054181547792580415,-0.02776034646088512,0.04269179003067542,6
mom_accel_5_20_low,50,0.0008434459413561857,0.007591013472205671,-0.004059373469651198,-0.02805730532346127,0.043346540503750045,6
rsi_14_low,100,0.0008213112460958324,0.007391801214862492,-0.0013562094238196015,-0.029489855031493484,0.025510609375089262,5
ret_10d_low,100,0.0007782676719873322,0.00700440904788599,0.003224932728200843,-0.02380039620133438,0.011464020530202373,3
vol_20d_high,150,0.0007607426380158148,0.006846683742142333,0.008674832286706166,-0.02244624336611735,0.01448353789200267,4
amplitude_ma_20d_high,50,0.000729904817747852,0.006569143359730668,0.011714943829512603,-0.03127458233575932,0.019647967041438986,4
vol_5d_high,150,0.0006422126919317241,0.005779914227385517,0.004531639135784353,-0.016773169166182066,0.012989651137495103,4
ret_20d_low,150,0.0006351377043373725,0.0057162393390363525,0.003118767573582676,-0.011084403427381782,0.012815646311210417,3
ret_20d_low,70,0.0006172478652084228,0.005555230786875805,0.0036087526805504734,-0.012339170599489215,0.00800993723374338,4
ret_20d_low,100,0.0006157520406148138,0.005541768365533325,0.002653217832544772,-0.009090306520836583,0.008910420360403843,3
rsi_14_low,150,0.0005920569306401943,0.005328512375761749,-0.00044370852290472745,-0.02688302533241732,0.023399667800258706,5
ret_1d_low,50,0.0005769953423699806,0.005192958081329826,0.0039231868782768214,-0.04049699605840931,0.014924590777477622,3
rsi_14_low,70,0.0005673850292243287,0.005106465263018958,-0.0009378152301156711,-0.03182472202309482,0.02629296238697816,5
mom_accel_5_20_low,70,0.0005589860967287259,0.005030874870558533,-0.003516431515268592,-0.025988416842670725,0.041276515052339646,6
close_pos_20d_low,40,0.00048285154781591553,0.0043456639303432396,-0.004528907185910331,-0.01428999157968859,0.017243689144859197,5
amplitude_ma_20d_high,70,0.0003382470496576382,0.0030442234469187437,0.01506687925261202,-0.03140232891010243,0.01952636389071119,4
amplitude_ma_20d_high,150,0.000335338236711583,0.0030180441304042474,0.007565968689695501,-0.02252739724679967,0.0170211098776816,4
amplitude_ma_20d_high,100,0.00032257549420005677,0.0029031794478005107,0.011556975155458296,-0.02881193765156531,0.017821618625077078,4
ret_1d_low,150,0.0003131919397531739,0.002818727457778565,0.002403995139174199,-0.0170585540537063,0.013380912578958834,4
rsi_14_high,100,0.00029024913273128215,0.002612242194581539,-0.0023350465175899712,-0.030521231999599413,0.03555865239219533,5
vol_20d_high,70,0.00027191915931747444,0.00244727243385727,0.012129469792105715,-0.037875039826340134,0.019369993736652963,4
rsi_14_low,30,0.0001913524421675907,0.0017221719795083162,-0.0012934864540124213,-0.034156100339273146,0.025864841625004742,5
vol_5d_high,100,9.74072886229253e-05,0.0008766655976063277,0.0037052128058633607,-0.017566251580668688,0.013116706140406845,4
ret_20d_low,50,8.055191295040979e-05,0.0007249672165536881,0.004476057141537818,-0.01858706040780074,0.009213104071572567,3
ret_10d_low,150,5.716767760197611e-05,0.000514509098417785,0.002865047893560715,-0.020046318559617693,0.010389110943627999,4
rsi_14_low,50,-4.480312466864567e-05,-0.00040322812201781105,-7.404647870035488e-05,-0.033957631971117695,0.026394768789450088,5
rsi_14_low,40,-5.001331779216911e-05,-0.000450119860129522,0.00045414370916696534,-0.03508632374336246,0.02595014998373632,4
vol_20d_high,30,-0.00011869196476082626,-0.0010682276828474363,0.008019920035562525,-0.05040526009629194,0.02974085221374969,4
vol_20d_high,50,-0.00016544713121855058,-0.0014890241809669552,0.009782667147996898,-0.04454273717568058,0.024792267700256887,4
ret_20d_low,40,-0.00017067527074042638,-0.0015360774366638373,0.002933507894472248,-0.019914886339467034,0.010837793565050595,3
rsi_14_high,150,-0.00021299460199856974,-0.0019169514179871276,-0.0014220866192106302,-0.027571962284216017,0.029983787876798992,5
close_pos_20d_low,30,-0.0003029846952825537,-0.0027268622575429835,-0.007547326638321703,-0.015693368020640544,0.016878687998684038,5
