top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,min,max,std,neg,utility,avg_max_weight,avg_n
35,0.0,1.6,0.25,0.04,0.0189368184991948,0.004046230649040999,0.038226199822668006,0.012926716709141488,0,0.018537500776238128,0.04,35.0
35,0.0,1.6,0.4,0.04,0.018745507227937077,0.004277317638925693,0.0381695109917585,0.012982808334992556,0,0.018493927491436923,0.04,35.0
35,0.0,0.8,0.0,0.04,0.018800183564579038,0.004093234507774018,0.03707804413964676,0.0126878822853955,0,0.018493477148671975,0.04,35.0
35,0.0,1.2,0.25,0.04,0.018832567520432712,0.0041237498075384765,0.0380041864485465,0.012941985919593453,0,0.01848369590581128,0.04000000000000001,35.0
35,0.0,1.2,0.1,0.04,0.018940951040019006,0.0039045101866727328,0.03779654542901831,0.012817302907417612,0,0.018469782443835514,0.04,35.0
35,0.0,0.8,0.1,0.04,0.018698837421388358,0.004225651375096246,0.03730048309454655,0.012774419000592889,0,0.018463188633807505,0.04,35.0
40,0.0,1.6,0.0,0.04,0.018660980707466378,0.004094282411084518,0.036963502145051175,0.012514722995411027,0,0.018398297646372786,0.04,40.0
35,0.0,1.2,0.15,0.04,0.018890884829043313,0.003892877506762385,0.03786896284709598,0.01287097028863693,0,0.01839815651161775,0.04,35.0
30,0.25,0.0,0.0,0.04,0.01899923881291784,0.003962667544858928,0.03940025382063653,0.013533684494839826,0,0.01838968497060913,0.03758377911956493,30.0
35,0.0,1.6,0.15,0.04,0.019002250335765965,0.0037311114680275287,0.038127424381093095,0.012898349510836876,0,0.018389440985676016,0.04,35.0
35,0.0,1.2,0.0,0.04,0.018998531084861086,0.003658337254017305,0.03764090416821671,0.012769968795723109,0,0.01836687496374242,0.04,35.0
30,0.35,0.0,0.0,0.04,0.019013044268275592,0.0039056840465132754,0.0400577772301917,0.013723318013017483,0,0.018316193597580514,0.037647699437265425,30.0
30,0.25,0.0,0.1,0.04,0.018986520684133902,0.003890802066160659,0.03961011237673945,0.013582343150596362,0,0.018314496342797273,0.03742540120760844,30.0
35,0.0,1.6,0.1,0.04,0.019028256378607906,0.0035523002485506328,0.03807387345405305,0.012880694063427543,0,0.018294693036736462,0.04,35.0
30,0.25,0.0,0.15,0.04,0.01897919316171194,0.0038548693268115296,0.03971214599103036,0.013606355940860966,0,0.01827601270526477,0.037346212251630186,30.0
30,0.35,0.0,0.1,0.04,0.019002324087953076,0.0038395169176495755,0.040113861141948634,0.013737001677425533,0,0.018255735510951394,0.03748292949353888,30.0
