model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
baseline_xgb,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/baseline_xgb_20260326.csv,ok,,-0.00809,-0.00482,-0.0032700000000000003,50
tuned_xgb,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/tuned_xgb_20260326.csv,ok,,-0.01647,-0.00482,-0.01165,100
lightgbm,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lightgbm_20260326.csv,ok,,-0.00233,-0.00482,0.00249,40
lstm_rank_weight,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lstm_rank_weight_20260326.csv,ok,,-0.01525,-0.00482,-0.01043,100
gated_layered_lstm,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/gated_layered_lstm_20260326.csv,ok,,-0.01647,-0.00482,-0.01165,100
baseline_xgb,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/baseline_xgb_20260402.csv,ok,,0.04687,0.047869999999999996,-0.001,50
tuned_xgb,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/tuned_xgb_20260402.csv,ok,,0.05146,0.047869999999999996,0.00359,50
lightgbm,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lightgbm_20260402.csv,ok,,0.04008,0.047869999999999996,-0.00779,40
lstm_rank_weight,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lstm_rank_weight_20260402.csv,ok,,0.0504,0.047869999999999996,0.00253,100
gated_layered_lstm,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/gated_layered_lstm_20260402.csv,ok,,0.05146,0.047869999999999996,0.00359,50
baseline_xgb,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/baseline_xgb_20260410.csv,ok,,0.04902,0.03072,0.0183,50
tuned_xgb,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/tuned_xgb_20260410.csv,ok,,0.05706000000000001,0.03072,0.02634,60
lightgbm,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lightgbm_20260410.csv,ok,,0.05357,0.03072,0.022850000000000002,40
lstm_rank_weight,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lstm_rank_weight_20260410.csv,ok,,0.03125,0.03072,0.00053,100
gated_layered_lstm,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/gated_layered_lstm_20260410.csv,ok,,0.05706000000000001,0.03072,0.02634,60
baseline_xgb,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/baseline_xgb_20260417.csv,ok,,0.0158,0.0040999999999999995,0.011699999999999999,50
tuned_xgb,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/tuned_xgb_20260417.csv,ok,,0.02247,0.0040999999999999995,0.01837,40
lightgbm,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lightgbm_20260417.csv,ok,,0.01543,0.0040999999999999995,0.01133,100
lstm_rank_weight,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lstm_rank_weight_20260417.csv,ok,,0.00049,0.0040999999999999995,-0.00361,50
gated_layered_lstm,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/gated_layered_lstm_20260417.csv,ok,,0.02247,0.0040999999999999995,0.01837,40
baseline_xgb,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/baseline_xgb_20260424.csv,ok,,0.07318,0.04128999999999999,0.03189,50
tuned_xgb,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/tuned_xgb_20260424.csv,ok,,0.056130000000000006,0.04128999999999999,0.014839999999999999,45
lightgbm,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lightgbm_20260424.csv,ok,,0.05348,0.04128999999999999,0.01218,100
lstm_rank_weight,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/lstm_rank_weight_20260424.csv,ok,,0.09702999999999999,0.04128999999999999,0.05574,40
gated_layered_lstm,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/baselines/stage2_5day_current_20260506/gated_layered_lstm_20260424.csv,ok,,0.056130000000000006,0.04128999999999999,0.014839999999999999,45
