feature,direction,top_k,power,mean,min,max,neg,vals
intraday_mean_5d,low,30,2.0,0.018064373031816402,-0.03911745088248009,0.05410002713482921,3,"0.03763,0.05410,-0.00522,0.01064,0.01639,-0.00834,0.02915,-0.03912,0.04640,0.00787,0.03678,0.03049"
intraday_mean_5d_rank,low,30,2.0,0.018064373031816402,-0.03911745088248009,0.05410002713482921,3,"0.03763,0.05410,-0.00522,0.01064,0.01639,-0.00834,0.02915,-0.03912,0.04640,0.00787,0.03678,0.03049"
intraday_mean_5d,low,30,1.5,0.017102574961306755,-0.037037934765696785,0.053494439179052056,3,"0.03652,0.05349,-0.00485,0.00902,0.01425,-0.01017,0.02753,-0.03704,0.04855,0.00337,0.03589,0.02866"
intraday_mean_5d_rank,low,30,1.5,0.017102574961306755,-0.037037934765696785,0.053494439179052056,3,"0.03652,0.05349,-0.00485,0.00902,0.01425,-0.01017,0.02753,-0.03704,0.04855,0.00337,0.03589,0.02866"
intraday_mean_5d,low,40,2.0,0.01657649909905108,-0.034080885141140965,0.04973725479168534,3,"0.03490,0.04974,-0.00470,0.00926,0.01301,-0.01012,0.02713,-0.03408,0.04838,0.00136,0.03515,0.02889"
intraday_mean_5d_rank,low,40,2.0,0.01657649909905108,-0.034080885141140965,0.04973725479168534,3,"0.03490,0.04974,-0.00470,0.00926,0.01301,-0.01012,0.02713,-0.03408,0.04838,0.00136,0.03515,0.02889"
intraday_mean_5d,low,30,1.0,0.015993315898273894,-0.03429905471017547,0.05137614094133254,4,"0.03509,0.05138,-0.00479,0.00777,0.01206,-0.01202,0.02550,-0.03430,0.05030,-0.00154,0.03478,0.02768"
intraday_mean_5d_rank,low,30,1.0,0.015993315898273894,-0.03429905471017547,0.05137614094133254,4,"0.03509,0.05138,-0.00479,0.00777,0.01206,-0.01202,0.02550,-0.03430,0.05030,-0.00154,0.03478,0.02768"
intraday_mean_5d,low,40,1.5,0.01586162921459291,-0.031105470077252124,0.049198568904005174,4,"0.03342,0.04706,-0.00423,0.00872,0.01122,-0.01080,0.02633,-0.03111,0.04920,-0.00169,0.03431,0.02790"
intraday_mean_5d_rank,low,40,1.5,0.01586162921459291,-0.031105470077252124,0.049198568904005174,4,"0.03342,0.04706,-0.00423,0.00872,0.01122,-0.01080,0.02633,-0.03111,0.04920,-0.00169,0.03431,0.02790"
intraday_mean_5d,low,50,2.0,0.015680024054569443,-0.02943284022426538,0.04829452984846881,4,"0.03287,0.04491,-0.00379,0.00877,0.01094,-0.01031,0.02614,-0.02943,0.04829,-0.00161,0.03372,0.02765"
intraday_mean_5d_rank,low,50,2.0,0.015680024054569443,-0.02943284022426538,0.04829452984846881,4,"0.03287,0.04491,-0.00379,0.00877,0.01094,-0.01031,0.02614,-0.02943,0.04829,-0.00161,0.03372,0.02765"
intraday_mean_5d,low,30,0.7,0.015281573927713116,-0.03218963288786334,0.05100894434329885,4,"0.03398,0.04901,-0.00500,0.00736,0.01073,-0.01290,0.02421,-0.03219,0.05101,-0.00470,0.03404,0.02783"
intraday_mean_5d_rank,low,30,0.7,0.015281573927713116,-0.03218963288786334,0.05100894434329885,4,"0.03398,0.04901,-0.00500,0.00736,0.01073,-0.01290,0.02421,-0.03219,0.05101,-0.00470,0.03404,0.02783"
intraday_mean_5d,low,40,1.0,0.015153990727437503,-0.027123816685433677,0.04956967252454654,4,"0.03168,0.04292,-0.00348,0.00857,0.00928,-0.01108,0.02577,-0.02712,0.04957,-0.00445,0.03330,0.02689"
intraday_mean_5d_rank,low,40,1.0,0.015153990727437503,-0.027123816685433677,0.04956967252454654,4,"0.03168,0.04292,-0.00348,0.00857,0.00928,-0.01108,0.02577,-0.02712,0.04957,-0.00445,0.03330,0.02689"
intraday_mean_5d,low,50,1.5,0.015027479902844037,-0.026322457339928454,0.047991149844219747,4,"0.03147,0.04156,-0.00322,0.00835,0.00960,-0.01038,0.02538,-0.02632,0.04799,-0.00355,0.03264,0.02681"
intraday_mean_5d_rank,low,50,1.5,0.015027479902844037,-0.026322457339928454,0.047991149844219747,4,"0.03147,0.04156,-0.00322,0.00835,0.00960,-0.01038,0.02538,-0.02632,0.04799,-0.00355,0.03264,0.02681"
intraday_mean_5d,low,60,2.0,0.014837334498896832,-0.025996207279313614,0.04706800608568325,4,"0.03141,0.04062,-0.00355,0.00825,0.00954,-0.01007,0.02512,-0.02600,0.04707,-0.00339,0.03215,0.02688"
intraday_mean_5d_rank,low,60,2.0,0.014837334498896832,-0.025996207279313614,0.04706800608568325,4,"0.03141,0.04062,-0.00355,0.00825,0.00954,-0.01007,0.02512,-0.02600,0.04707,-0.00339,0.03215,0.02688"
intraday_mean_5d,low,40,0.7,0.014735693706358457,-0.024154511963670494,0.049560759108416313,4,"0.03059,0.03952,-0.00277,0.00866,0.00805,-0.01101,0.02558,-0.02415,0.04956,-0.00587,0.03252,0.02614"
intraday_mean_5d_rank,low,40,0.7,0.014735693706358457,-0.024154511963670494,0.049560759108416313,4,"0.03059,0.03952,-0.00277,0.00866,0.00805,-0.01101,0.02558,-0.02415,0.04956,-0.00587,0.03252,0.02614"
intraday_mean_5d,low,50,1.0,0.014240477024545855,-0.02269994598024814,0.046766372866931444,4,"0.02986,0.03710,-0.00267,0.00792,0.00831,-0.01006,0.02448,-0.02270,0.04677,-0.00522,0.03113,0.02598"
intraday_mean_5d_rank,low,50,1.0,0.014240477024545855,-0.02269994598024814,0.046766372866931444,4,"0.02986,0.03710,-0.00267,0.00792,0.00831,-0.01006,0.02448,-0.02270,0.04677,-0.00522,0.03113,0.02598"
intraday_mean_5d,low,60,1.5,0.014106327537347044,-0.023131745165712266,0.04600145500626944,4,"0.03025,0.03706,-0.00342,0.00778,0.00836,-0.00990,0.02418,-0.02313,0.04600,-0.00491,0.03079,0.02623"
intraday_mean_5d_rank,low,60,1.5,0.014106327537347044,-0.023131745165712266,0.04600145500626944,4,"0.03025,0.03706,-0.00342,0.00778,0.00836,-0.00990,0.02418,-0.02313,0.04600,-0.00491,0.03079,0.02623"
intraday_mean_5d,low,50,0.7,0.01363121276078424,-0.02034330326385244,0.04536925265754212,4,"0.02877,0.03374,-0.00248,0.00760,0.00758,-0.00966,0.02376,-0.02034,0.04537,-0.00616,0.02992,0.02548"
intraday_mean_5d_rank,low,50,0.7,0.01363121276078424,-0.02034330326385244,0.04536925265754212,4,"0.02877,0.03374,-0.00248,0.00760,0.00758,-0.00966,0.02376,-0.02034,0.04537,-0.00616,0.02992,0.02548"
intraday_mean_5d,low,80,2.0,0.013273297603952393,-0.02128593653544076,0.04380956586366483,4,"0.02969,0.03388,-0.00383,0.00760,0.00774,-0.00998,0.02298,-0.02129,0.04381,-0.00548,0.02861,0.02554"
intraday_mean_5d_rank,low,80,2.0,0.013273297603952393,-0.02128593653544076,0.04380956586366483,4,"0.02969,0.03388,-0.00383,0.00760,0.00774,-0.00998,0.02298,-0.02129,0.04381,-0.00548,0.02861,0.02554"
intraday_mean_5d,low,60,1.0,0.013193005623252436,-0.019921342857368213,0.04405546692229237,4,"0.02907,0.03266,-0.00354,0.00724,0.00717,-0.00954,0.02290,-0.01992,0.04406,-0.00630,0.02894,0.02558"
intraday_mean_5d_rank,low,60,1.0,0.013193005623252436,-0.019921342857368213,0.04405546692229237,4,"0.02907,0.03266,-0.00354,0.00724,0.00717,-0.00954,0.02290,-0.01992,0.04406,-0.00630,0.02894,0.02558"
intraday_mean_5d,low,60,0.7,0.012518099270701013,-0.01783962529159229,0.04228764900878529,4,"0.02842,0.02957,-0.00378,0.00689,0.00651,-0.00930,0.02188,-0.01784,0.04229,-0.00707,0.02751,0.02514"
intraday_mean_5d_rank,low,60,0.7,0.012518099270701013,-0.01783962529159229,0.04228764900878529,4,"0.02842,0.02957,-0.00378,0.00689,0.00651,-0.00930,0.02188,-0.01784,0.04229,-0.00707,0.02751,0.02514"
intraday_mean_5d,low,80,1.5,0.012385012773140637,-0.01890532466412176,0.041957752867214274,4,"0.02875,0.03031,-0.00402,0.00733,0.00677,-0.01008,0.02180,-0.01891,0.04196,-0.00651,0.02656,0.02467"
intraday_mean_5d_rank,low,80,1.5,0.012385012773140637,-0.01890532466412176,0.041957752867214274,4,"0.02875,0.03031,-0.00402,0.00733,0.00677,-0.01008,0.02180,-0.01891,0.04196,-0.00651,0.02656,0.02467"
drawdown_20d,low,30,2.0,0.011747133127782416,-0.023365805537010988,0.08564780221532778,5,"0.01665,-0.02337,0.08565,0.01353,-0.00457,-0.02269,0.03008,-0.00271,0.01816,0.02459,0.00728,-0.00164"
drawdown_20d_rank,low,30,2.0,0.011747133127782416,-0.023365805537010988,0.08564780221532778,5,"0.01665,-0.02337,0.08565,0.01353,-0.00457,-0.02269,0.03008,-0.00271,0.01816,0.02459,0.00728,-0.00164"
intraday_mean_5d,low,80,1.0,0.01123892534835188,-0.016377051305934365,0.039343005940335324,4,"0.02768,0.02609,-0.00440,0.00717,0.00566,-0.01043,0.02035,-0.01638,0.03934,-0.00742,0.02374,0.02344"
