n,topk,power,mix_agg,mean,min,max,neg,keys,vals
4,30,2.0,0.25,0.06695329163198685,0.03226713312540244,0.14329227756584922,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03227,0.06104,0.14329,0.03581,0.04083,0.06756,0.06415,0.06408,0.07495,0.07185,0.06822,0.07938"
3,30,2.0,0.25,0.06688851126446106,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03227,0.06104,0.13711,0.03510,0.04248,0.06756,0.06415,0.06408,0.07495,0.07631,0.06822,0.07938"
3,30,2.0,0.5,0.06641572349353958,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03295,0.06209,0.13711,0.03492,0.04014,0.07091,0.06521,0.06171,0.07295,0.07211,0.06686,0.08002"
4,30,2.0,0.5,0.06623678929051433,0.032946578537352104,0.13905731775011,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03295,0.06209,0.13906,0.03504,0.03940,0.07091,0.06521,0.06171,0.07295,0.06863,0.06686,0.08002"
2,30,2.0,0.75,0.06619584588932897,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03363,0.06314,0.13711,0.03418,0.04696,0.07426,0.06627,0.05933,0.07095,0.06235,0.06551,0.08066"
2,30,2.0,0.5,0.06612417585468576,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03295,0.06209,0.13711,0.03432,0.04492,0.07091,0.06521,0.06171,0.07295,0.06443,0.06686,0.08002"
2,30,2.0,0.25,0.06605184530147214,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03227,0.06104,0.13711,0.03445,0.04289,0.06756,0.06415,0.06408,0.07495,0.06651,0.06822,0.07938"
3,35,2.0,0.25,0.06603684934107842,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03227,0.06104,0.13711,0.03428,0.04431,0.06756,0.05844,0.06408,0.07495,0.07080,0.06822,0.07938"
3,35,2.0,0.5,0.06600160274514817,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03295,0.06209,0.13711,0.03410,0.04502,0.07091,0.06108,0.06171,0.07295,0.06723,0.06686,0.08002"
3,35,2.0,0.75,0.06596635614921796,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03363,0.06314,0.13711,0.03391,0.04572,0.07426,0.06371,0.05933,0.07095,0.06366,0.06551,0.08066"
3,30,2.0,0.75,0.06594227520404768,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03363,0.06314,0.13711,0.03473,0.03781,0.07426,0.06627,0.05933,0.07095,0.06790,0.06551,0.08066"
5,30,2.0,0.25,0.06590640598882291,0.03226713312540244,0.14174007928853757,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03227,0.05905,0.14174,0.03536,0.03737,0.06756,0.06415,0.06408,0.07495,0.06674,0.06822,0.07938"
2,35,2.0,0.75,0.06583618005114061,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03363,0.06314,0.13711,0.03418,0.04520,0.07426,0.06371,0.05933,0.07095,0.06235,0.06551,0.08066"
2,35,2.0,0.5,0.06571662690829531,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03295,0.06209,0.13711,0.03432,0.04417,0.07091,0.06108,0.06171,0.07295,0.06443,0.06686,0.08002"
2,40,2.0,0.75,0.06565006877644763,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03363,0.06314,0.13711,0.03418,0.04486,0.07426,0.06182,0.05933,0.07095,0.06235,0.06551,0.08066"
2,35,2.0,0.25,0.06559707376545003,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03227,0.06104,0.13711,0.03445,0.04314,0.06756,0.05844,0.06408,0.07495,0.06651,0.06822,0.07938"
4,30,2.0,0.75,0.06551962643047138,0.033626023949301774,0.13482235793437067,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03363,0.06314,0.13482,0.03428,0.03797,0.07426,0.06627,0.05933,0.07095,0.06541,0.06551,0.08066"
2,40,2.0,0.5,0.06545020805647526,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03295,0.06209,0.13711,0.03432,0.04426,0.07091,0.05779,0.06171,0.07295,0.06443,0.06686,0.08002"
