n,topk,power,mix_agg,mean,min,max,neg,keys,vals
5,30,2.5,0.0,0.07280787615462103,0.03627349745881823,0.15162075469301578,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03627,0.06418,0.15162,0.03897,0.04804,0.07212,0.06856,0.07017,0.08454,0.08409,0.07218,0.08295"
6,30,2.5,0.0,0.07189094581308497,0.036571476843862916,0.15531057470363363,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03657,0.06153,0.15531,0.03695,0.04266,0.07212,0.06856,0.07017,0.08454,0.07914,0.07218,0.08295"
4,30,2.5,0.0,0.07185848559187225,0.03765886654841956,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03766,0.06418,0.14351,0.04097,0.04477,0.07212,0.06856,0.07017,0.08454,0.08070,0.07218,0.08295"
2,30,2.5,0.0,0.07169335320048374,0.03960072922608801,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03960,0.06418,0.14351,0.04826,0.04134,0.07212,0.06856,0.07017,0.08454,0.07292,0.07218,0.08295"
3,30,2.5,0.0,0.07107745511856922,0.03814523022286444,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03815,0.06418,0.14351,0.04232,0.04134,0.07212,0.06856,0.07017,0.08454,0.07292,0.07218,0.08295"
5,30,2.5,0.25,0.071008004442471,0.0361707704584899,0.1468768247088239,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03617,0.06418,0.14688,0.03880,0.04527,0.07353,0.06806,0.06703,0.08060,0.07882,0.07021,0.08254"
2,35,2.5,0.0,0.07082811934982121,0.03804453822993676,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03804,0.06418,0.14351,0.04557,0.04178,0.07212,0.06199,0.07017,0.08454,0.07292,0.07218,0.08295"
2,30,2.5,0.25,0.0707073929304674,0.039024970039505,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03902,0.06418,0.14214,0.04587,0.04328,0.07353,0.06806,0.06703,0.08060,0.07203,0.07021,0.08254"
4,30,2.5,0.25,0.0707007402912909,0.03743396467034164,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03743,0.06418,0.14214,0.04024,0.04565,0.07353,0.06806,0.06703,0.08060,0.07680,0.07021,0.08254"
4,35,2.5,0.0,0.07066170261817561,0.03616943296165244,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03617,0.06418,0.14351,0.04054,0.04416,0.07212,0.06199,0.07017,0.08454,0.07543,0.07218,0.08295"
