blend,mean,min,max,neg,vals
route_reg_20260302_20260309,0.03185149466543155,0.019913839604861393,0.0456943248663014,0,"0.02831,0.02329,0.02599,0.04515,0.03148,0.02391,0.01991,0.04293,0.04569"
route_reg_20260309,0.031381500117948935,0.019913839604861393,0.0456943248663014,0,"0.02408,0.02329,0.02599,0.04515,0.03148,0.02391,0.01991,0.04293,0.04569"
route_sp30_20260316,0.030458909580484892,0.009287163693739166,0.0456943248663014,0,"0.02408,0.00929,0.03168,0.04515,0.03148,0.02391,0.01991,0.04293,0.04569"
route_sp30_20260316_20260421,0.0300062630607087,0.009287163693739166,0.0456943248663014,0,"0.02408,0.00929,0.03168,0.04515,0.03148,0.02391,0.01991,0.03886,0.04569"
best0.95+sp300.05,0.029226435969257787,0.009287163693739105,0.044736345350749954,0,"0.02352,0.00929,0.02627,0.04281,0.03108,0.02289,0.01972,0.04273,0.04474"
best0.95+sp400.05,0.029153705059439712,0.009287163693739105,0.04509783438586136,0,"0.02337,0.00929,0.02592,0.04292,0.03075,0.02326,0.01947,0.04230,0.04510"
best0.95+lgbreg0.05,0.029054102160075385,0.009287163693739105,0.044694171714119435,0,"0.02308,0.00929,0.02583,0.04349,0.03044,0.02372,0.01913,0.04181,0.04469"
best0.95+t30.05,0.02897840894171793,0.009287163693739105,0.04486630624342018,0,"0.02293,0.00929,0.02537,0.04370,0.03103,0.02222,0.01994,0.04146,0.04487"
best0.90+sp300.10,0.028627043603698468,0.009287163693739105,0.04377836583519834,0,"0.02297,0.00929,0.02656,0.04047,0.03067,0.02188,0.01952,0.04252,0.04378"
route_sp40_20260428,0.028500293933838763,0.009287163693739166,0.04514788015494137,0,"0.02408,0.00929,0.02599,0.04515,0.03148,0.02391,0.01991,0.04293,0.03376"
best0.90+sp400.10,0.028481581784062317,0.009287163693739105,0.04450134390542114,0,"0.02266,0.00929,0.02586,0.04070,0.03002,0.02261,0.01902,0.04167,0.04450"
best0.90+lgbreg0.10,0.02828237598533365,0.009287163693739105,0.04369401856193725,0,"0.02208,0.00929,0.02568,0.04182,0.02941,0.02352,0.01835,0.04069,0.04369"
best0.95+reg0.05,0.02821202732286955,0.009987215996148473,0.04267756047325588,0,"0.02430,0.00999,0.02544,0.04268,0.03049,0.02039,0.01778,0.04026,0.04258"
best0.90+t30.10,0.028130989548618743,0.009287163693739105,0.044038287620538755,0,"0.02177,0.00929,0.02476,0.04225,0.03058,0.02054,0.01997,0.03998,0.04404"
best0.85+sp300.15,0.028027651238139148,0.009287163693739105,0.0428203863196467,0,"0.02241,0.00929,0.02684,0.03812,0.03027,0.02086,0.01932,0.04232,0.04282"
best0.85+sp400.15,0.02780945850868492,0.009287163693739105,0.04390485342498092,0,"0.02195,0.00929,0.02580,0.03848,0.02929,0.02196,0.01858,0.04104,0.04390"
best0.90+reg0.05+sp400.05,0.027539904047492143,0.009987215996148473,0.04198752703273945,0,"0.02359,0.00999,0.02538,0.04045,0.02976,0.01974,0.01733,0.03964,0.04199"
best0.85+lgbreg0.15,0.027510649810591932,0.009287163693739105,0.04269386540975509,0,"0.02108,0.00929,0.02553,0.04016,0.02837,0.02333,0.01757,0.03957,0.04269"
best0.80+sp300.20,0.027428258872579825,0.009287163693739105,0.0421143017312731,0,"0.02185,0.00929,0.02713,0.03578,0.02986,0.01985,0.01913,0.04211,0.04186"
best0.85+t30.15,0.027283570155519563,0.009287163693739105,0.0432102689976573,0,"0.02061,0.00929,0.02415,0.04080,0.03014,0.01885,0.01999,0.03851,0.04321"
best0.80+sp400.20,0.027137335233307525,0.009287163693739105,0.04330836294454067,0,"0.02124,0.00929,0.02574,0.03625,0.02856,0.02131,0.01813,0.04042,0.04331"
route_sp40_20260407_20260428,0.027054863784209023,0.009287163693739166,0.04514788015494137,0,"0.02408,0.00929,0.02599,0.04515,0.03148,0.01090,0.01991,0.04293,0.03376"
best0.85+reg0.05+sp400.10,0.026867780772114748,0.009987215996148473,0.041391036552299226,0,"0.02287,0.00999,0.02532,0.03823,0.02903,0.01909,0.01689,0.03901,0.04139"
best0.75+sp300.25,0.026828866507020505,0.009287163693739105,0.04191061079737381,0,"0.02129,0.00929,0.02741,0.03344,0.02946,0.01883,0.01893,0.04191,0.04090"
best0.80+lgbreg0.20,0.0267389236358502,0.009287163693739105,0.0416937122575729,0,"0.02008,0.00929,0.02538,0.03850,0.02734,0.02314,0.01679,0.03845,0.04169"
best0.90+reg0.10,0.026598226310921978,0.010687268298557838,0.04020724079157012,0,"0.02451,0.01069,0.02490,0.04021,0.02950,0.01687,0.01564,0.03760,0.03947"
best0.75+sp400.25,0.026465211957930126,0.009287163693739105,0.04271187246410045,0,"0.02053,0.00929,0.02567,0.03403,0.02783,0.02066,0.01769,0.03979,0.04271"
best0.80+t30.20,0.026436150762420382,0.009287163693739105,0.04238225037477586,0,"0.01945,0.00929,0.02354,0.03936,0.02969,0.01717,0.02002,0.03704,0.04238"
best0.70+sp300.30,0.026229474141461186,0.009287163693739105,0.041706919863474516,0,"0.02073,0.00929,0.02770,0.03110,0.02905,0.01782,0.01873,0.04171,0.03995"
best0.80+reg0.05+sp400.15,0.026195657496737353,0.009987215996148473,0.04079454607185898,0,"0.02216,0.00999,0.02525,0.03600,0.02830,0.01844,0.01644,0.03838,0.04079"
best0.75+lgbreg0.25,0.025967197461108475,0.009287163693739105,0.04069355910539073,0,"0.01907,0.00929,0.02523,0.03683,0.02630,0.02295,0.01601,0.03734,0.04069"
best0.85+reg0.10+sp400.05,0.025926103035544587,0.010687268298557838,0.03887721967961752,0,"0.02380,0.01069,0.02483,0.03798,0.02877,0.01622,0.01520,0.03697,0.03888"
best0.70+sp400.30,0.025793088682552735,0.009287163693739105,0.042115381983660216,0,"0.01982,0.00929,0.02561,0.03180,0.02710,0.02001,0.01724,0.03916,0.04212"
best0.65+sp300.35,0.02563008177590187,0.009287163693739105,0.04150322892957523,0,"0.02017,0.00929,0.02798,0.02876,0.02865,0.01680,0.01854,0.04150,0.03899"
best0.75+t30.25,0.025588731369321202,0.009287163693739105,0.04155423175189443,0,"0.01829,0.00929,0.02293,0.03791,0.02924,0.01548,0.02004,0.03556,0.04155"
best0.75+reg0.05+sp400.20,0.02552353422135996,0.009987215996148473,0.040198055591418744,0,"0.02145,0.00999,0.02519,0.03378,0.02757,0.01779,0.01600,0.03775,0.04020"
best0.80+reg0.10+sp400.10,0.02525397976016719,0.010687268298557838,0.0382807291991773,0,"0.02309,0.01069,0.02477,0.03576,0.02804,0.01557,0.01475,0.03634,0.03828"
best0.70+lgbreg0.30,0.025195471286366747,0.009287163693739105,0.03969340595320854,0,"0.01807,0.00929,0.02507,0.03517,0.02526,0.02276,0.01523,0.03622,0.03969"
best0.65+sp400.35,0.025120965407175337,0.009287163693739105,0.04151889150321998,0,"0.01911,0.00929,0.02555,0.02958,0.02637,0.01936,0.01680,0.03853,0.04152"
best0.60+sp300.40,0.025030689410342546,0.009287163693739105,0.04129953799567593,0,"0.01961,0.00929,0.02827,0.02642,0.02824,0.01579,0.01834,0.04130,0.03803"
best0.85+reg0.15,0.024984425298974412,0.0113873206009672,0.03773692110988436,0,"0.02472,0.01139,0.02435,0.03774,0.02851,0.01335,0.01350,0.03493,0.03636"
best0.70+reg0.05+sp400.25,0.02485141094598256,0.009987215996148473,0.03960156511097851,0,"0.02074,0.00999,0.02513,0.03156,0.02684,0.01714,0.01555,0.03712,0.03960"
best0.70+t30.30,0.024741311976222015,0.009287163693739105,0.04072621312901298,0,"0.01713,0.00929,0.02232,0.03646,0.02879,0.01380,0.02007,0.03409,0.04073"
best0.75+reg0.10+sp400.15,0.024581856484789787,0.010687268298557838,0.03768423871873705,0,"0.02237,0.01069,0.02471,0.03353,0.02731,0.01492,0.01430,0.03571,0.03768"
best0.60+sp400.40,0.024448842131797946,0.009287163693739105,0.04092240102277976,0,"0.01840,0.00929,0.02549,0.02735,0.02564,0.01870,0.01635,0.03790,0.04092"
