model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
enhanced_lgb_stock,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_lgb_stock_20260326.csv,ok,,-0.023370000000000002,-0.00482,-0.01855,100
enhanced_blend_stock,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_blend_stock_20260326.csv,ok,,-0.017230000000000002,-0.00482,-0.012410000000000001,100
enhanced_lgb_stock,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_lgb_stock_20260402.csv,ok,,0.06204,0.047869999999999996,0.014159999999999999,40
enhanced_blend_stock,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_blend_stock_20260402.csv,ok,,0.04192,0.047869999999999996,-0.0059499999999999996,70
enhanced_lgb_stock,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_lgb_stock_20260410.csv,ok,,0.06165,0.03072,0.03093,40
enhanced_blend_stock,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_blend_stock_20260410.csv,ok,,0.04671,0.03072,0.01599,100
enhanced_lgb_stock,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_lgb_stock_20260417.csv,ok,,0.023799999999999998,0.0040999999999999995,0.0197,40
enhanced_blend_stock,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_blend_stock_20260417.csv,ok,,0.01929,0.0040999999999999995,0.015189999999999999,65
enhanced_lgb_stock,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_lgb_stock_20260424.csv,ok,,0.05548,0.04128999999999999,0.014190000000000001,100
enhanced_blend_stock,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/rejected/stage2_enhanced_stock_current_20260506/enhanced_blend_stock_20260424.csv,ok,,0.06159,0.04128999999999999,0.0203,70
