model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
tree_consensus_adaptive_decay,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260302.csv,ok,,-0.029300000000000003,-0.04376,0.014450000000000001,30
tree_consensus_excess,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260302.csv,ok,,-0.035590000000000004,-0.04376,0.00817,30
tree_consensus_adaptive_decay,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260309.csv,ok,,-0.00211,-0.01139,0.00929,498
tree_consensus_excess,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260309.csv,ok,,-0.00211,-0.01139,0.00929,498
tree_consensus_adaptive_decay,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260316.csv,ok,,-0.06496,-0.09095,0.025990000000000003,30
tree_consensus_excess,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260316.csv,ok,,-0.07400999999999999,-0.09095,0.01693,30
tree_consensus_adaptive_decay,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260323.csv,ok,,0.045970000000000004,0.04206000000000001,0.00391,30
tree_consensus_excess,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260323.csv,ok,,0.04061,0.04206000000000001,-0.00146,30
tree_consensus_adaptive_decay,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260330.csv,ok,,0.00793,-0.02355,0.03148,30
tree_consensus_excess,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260330.csv,ok,,-0.021429999999999998,-0.02355,0.00212,30
tree_consensus_adaptive_decay,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260407.csv,ok,,0.08706,0.06835,0.01871,30
tree_consensus_excess,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260407.csv,ok,,0.07,0.06835,0.00166,30
tree_consensus_adaptive_decay,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260414.csv,ok,,0.04215,0.02247,0.01968,30
tree_consensus_excess,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260414.csv,ok,,0.02548,0.02247,0.00301,30
tree_consensus_adaptive_decay,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260421.csv,ok,,0.03132,-0.008020000000000001,0.03934,30
tree_consensus_excess,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260421.csv,ok,,0.0032,-0.008020000000000001,0.01122,30
tree_consensus_adaptive_decay,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_adaptive_decay_20260428.csv,ok,,0.10422000000000001,0.05975,0.04446,30
tree_consensus_excess,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_excess_target_compare_20260509/tree_consensus_excess_20260428.csv,ok,,0.09523999999999999,0.05975,0.03548,30
