feature,direction,top_k,power,mean,min,max,neg,vals
drawdown_20d,low,30,2.0,0.011747133127782423,-0.023365805537010988,0.0856478022153278,5,"0.01665,-0.02337,0.08565,0.01353,-0.00457,-0.02269,0.03008,-0.00271,0.01816,0.02459,0.00728,-0.00164"
drawdown_20d_rank,low,30,2.0,0.011747133127782423,-0.023365805537010988,0.0856478022153278,5,"0.01665,-0.02337,0.08565,0.01353,-0.00457,-0.02269,0.03008,-0.00271,0.01816,0.02459,0.00728,-0.00164"
excess_ret_5d,low,30,2.0,0.01052381409294205,-0.04197374693025742,0.0361950926921365,4,"0.01936,0.03063,0.02762,0.02026,-0.01957,-0.01594,0.02110,-0.04197,0.03064,-0.01115,0.03620,0.02911"
excess_ret_5d_rank,low,30,2.0,0.01052381409294205,-0.04197374693025742,0.0361950926921365,4,"0.01936,0.03063,0.02762,0.02026,-0.01957,-0.01594,0.02110,-0.04197,0.03064,-0.01115,0.03620,0.02911"
ret_5d,low,30,2.0,0.01052381409294205,-0.04197374693025742,0.0361950926921365,4,"0.01936,0.03063,0.02762,0.02026,-0.01957,-0.01594,0.02110,-0.04197,0.03064,-0.01115,0.03620,0.02911"
ret_5d_rank,low,30,2.0,0.01052381409294205,-0.04197374693025742,0.0361950926921365,4,"0.01936,0.03063,0.02762,0.02026,-0.01957,-0.01594,0.02110,-0.04197,0.03064,-0.01115,0.03620,0.02911"
drawdown_20d,low,30,1.5,0.010515412486920013,-0.02130426322061131,0.07204406113006753,5,"0.01701,-0.02051,0.07204,0.01532,-0.00334,-0.02130,0.02874,-0.00147,0.01731,0.02047,0.00460,-0.00269"
drawdown_20d_rank,low,30,1.5,0.010515412486920013,-0.02130426322061131,0.07204406113006753,5,"0.01701,-0.02051,0.07204,0.01532,-0.00334,-0.02130,0.02874,-0.00147,0.01731,0.02047,0.00460,-0.00269"
excess_ret_5d,low,30,1.5,0.010040848725911213,-0.03917689549716749,0.035428672583542695,4,"0.01950,0.03271,0.02148,0.01804,-0.01871,-0.01696,0.02122,-0.03918,0.02924,-0.01100,0.03543,0.02872"
excess_ret_5d_rank,low,30,1.5,0.010040848725911213,-0.03917689549716749,0.035428672583542695,4,"0.01950,0.03271,0.02148,0.01804,-0.01871,-0.01696,0.02122,-0.03918,0.02924,-0.01100,0.03543,0.02872"
ret_5d,low,30,1.5,0.010040848725911213,-0.03917689549716749,0.035428672583542695,4,"0.01950,0.03271,0.02148,0.01804,-0.01871,-0.01696,0.02122,-0.03918,0.02924,-0.01100,0.03543,0.02872"
ret_5d_rank,low,30,1.5,0.010040848725911213,-0.03917689549716749,0.035428672583542695,4,"0.01950,0.03271,0.02148,0.01804,-0.01871,-0.01696,0.02122,-0.03918,0.02924,-0.01100,0.03543,0.02872"
