base_model,policy,mean,min,max,negative_windows,avg_names,scores
baseline,drop_low_30,0.019155040520009565,0.008143859201301291,0.030200441653260926,0,30.4,"[0.008143859201301291, nan, 0.022285763641129462, 0.01599009758434658, 0.030200441653260926]"
baseline,drop_high_10,0.01773835793640172,-0.0052545260401394706,0.038979845558554035,1,42.0,"[-0.0052545260401394706, 0.011203294301464745, 0.017680047436275402, 0.026083128425853884, 0.038979845558554035]"
blend10,drop_high_10,0.017235037470992615,-0.005351688716993834,0.03664542491808183,1,85.2,"[-0.005351688716993834, 0.01127575998048519, 0.017649127808262388, 0.025956563365127493, 0.03664542491808183]"
open_lgb,drop_low_20,0.014952102220849833,-0.008967467445411496,0.026192998250102236,1,57.0,"[-0.008967467445411496, 0.011730937909259047, 0.022168807250576898, 0.026192998250102236, 0.023635235139722488]"
blend10,drop_low_30,0.014950817761172599,-0.00019566036741763132,0.028841151287913105,1,69.8,"[0.006284451715383985, -0.00019566036741763132, 0.022728665430545546, 0.01709548073943799, 0.028841151287913105]"
blend10,drop_low_20,0.014529293434341586,-0.002777286626910895,0.03499684057813976,1,78.8,"[0.0023317066340951386, -0.002777286626910895, 0.02032762170412393, 0.01776758488226, 0.03499684057813976]"
baseline,drop_low_20,0.01444560613939313,-0.004554406004507822,0.036171978756235776,1,39.6,"[0.003685095329829453, -0.004554406004507822, 0.020108268367251804, 0.016817094248156438, 0.036171978756235776]"
open_lgb,drop_low_30,0.013801556118091857,-0.007899320662941795,0.027711439375871207,1,50.0,"[-0.007899320662941795, 0.007655573729287608, 0.02654347330387493, 0.027711439375871207, 0.014996614844367331]"
baseline,drop_low_10,0.013205218284354382,-0.0012639925313774735,0.0319694528460938,1,44.2,"[-0.0012639925313774735, 0.000155889006829113, 0.01865991376780824, 0.016504828332418224, 0.0319694528460938]"
blend10,drop_low_10,0.013160399747042584,-0.0018256038657456725,0.030058202645893664,1,88.8,"[-0.0018256038657456725, 0.0012389253088898738, 0.019114742271395695, 0.017215732374779365, 0.030058202645893664]"
open_lgb,drop_low_10,0.01267652924113756,-0.006447579433601493,0.02343865951040171,1,65.0,"[-0.006447579433601493, 0.010523101617119078, 0.0232084015020494, 0.02343865951040171, 0.012660063009719107]"
open_lgb,tilt_pos_100,0.012441907761694574,-0.009183259607362137,0.02946883346993296,1,73.0,"[-0.009183259607362137, 0.008409989870528135, 0.02501887795412222, 0.02946883346993296, 0.008495097121251696]"
open_lgb,drop_high_10,0.012324122834613514,-0.0062553355985392745,0.025048007444166378,1,63.6,"[-0.0062553355985392745, 0.011940657423128366, 0.017332093781438677, 0.025048007444166378, 0.013555191122873414]"
open_lgb,tilt_pos_50,0.012160102017792048,-0.007744704762933929,0.027106119700040624,1,73.0,"[-0.007744704762933929, 0.008939988554847893, 0.02393661927705902, 0.027106119700040624, 0.008562487319946632]"
open_lgb,tilt_super_50,0.012047076977250507,-0.007918352440144754,0.028329966514930534,1,73.0,"[-0.007918352440144754, 0.008100294868040002, 0.02287685071173611, 0.028329966514930534, 0.008846625231690636]"
open_lgb,tilt_pos_25,0.011987794236819803,-0.007029568018852605,0.025944945908994193,1,73.0,"[-0.007029568018852605, 0.00918283987993062, 0.023429648560442023, 0.025944945908994193, 0.008411104853584782]"
open_lgb,base,0.011792566444753075,-0.006326894561092903,0.02480976610975846,1,73.0,"[-0.006326894561092903, 0.009406009707440828, 0.022950094303604493, 0.02480976610975846, 0.008123856664054498]"
blend10,base,0.01155018408137392,-0.0035790675741446485,0.029515565071049146,1,100.0,"[-0.0035790675741446485, 3.820657056662069e-05, 0.018763176717032627, 0.013013039622365854, 0.029515565071049146]"
baseline,base,0.01152325270766512,-0.0032737534644837318,0.0318924215607152,2,50.0,"[-0.0032737534644837318, -0.0010026604446416176, 0.018297963651857964, 0.011702292234877783, 0.0318924215607152]"
blend10,tilt_pos_25,0.011240953996128244,-0.002965085649262159,0.028656481599134545,2,100.0,"[-0.002965085649262159, -0.001146228420945715, 0.01811831507750184, 0.013541287374212712, 0.028656481599134545]"
baseline,tilt_pos_25,0.011162207887657368,-0.002504604565403092,0.03090979790436063,2,50.0,"[-0.002504604565403092, -0.002313787163290136, 0.017516381166311268, 0.012203252096308178, 0.03090979790436063]"
blend10,tilt_pos_50,0.0108655012903273,-0.002518989640372643,0.027745902868496083,2,100.0,"[-0.0023482492079304933, -0.002518989640372643, 0.017467996038878657, 0.013980846392564892, 0.027745902868496083]"
baseline,tilt_pos_50,0.010730692375896944,-0.0038372613852793933,0.029887869363818542,2,50.0,"[-0.0017245922660536232, -0.0038372613852793933, 0.016720180480570876, 0.012607265686428323, 0.029887869363818542]"
blend10,tilt_super_50,0.01030008328236942,-0.003309622775498171,0.027555304808077163,2,100.0,"[-0.003309622775498171, -0.0029582975750180387, 0.015262439213837499, 0.014950592740448646, 0.027555304808077163]"
baseline,tilt_super_50,0.010103753575929925,-0.0042522210248128675,0.02963667818680059,2,50.0,"[-0.002779399383279719, -0.0042522210248128675, 0.014377372717234056, 0.013536337383707572, 0.02963667818680059]"
blend10,tilt_pos_100,0.009931665266264916,-0.005824543897818384,0.025814632280583324,2,100.0,"[-0.0011157348540660498, -0.005824543897818384, 0.016190880512495218, 0.014593092290130477, 0.025814632280583324]"
baseline,tilt_pos_100,0.009672214238033574,-0.00752168624183322,0.027768745796770494,2,50.0,"[-0.00014491127276637476, -0.00752168624183322, 0.015129106021149676, 0.0131298168868473, 0.027768745796770494]"
