factor,direction,gamma,power,max_weight,mean,min,max,neg,delta_mean,delta_min
vol_20d_rank,high,5.0,3.0,0.1,0.05907856589645194,0.028759973765832166,0.10505074376968734,0,0.0013893992297852806,-0.003200026234167836
vol_20d_rank,high,3.0,3.0,0.1,0.05898453266077631,0.029781063229277583,0.10361654039152571,0,0.0012953659941096485,-0.0021789367707224193
vol_20d_rank,high,2.0,3.0,0.1,0.0588733812872291,0.030598778086965536,0.10230422970997408,0,0.0011842146205624376,-0.0013612219130344667
close_over_ma60,high,3.0,1.0,0.1,0.058821264650376466,0.02762020843609867,0.09936109296621326,0,0.0011320979837098066,-0.004339791563901331
close_over_ma60,high,2.0,1.0,0.1,0.05881122889026985,0.028928771750266955,0.09869657141162141,0,0.0011220622236031916,-0.003031228249733047
close_over_ma60,high,5.0,1.0,0.1,0.058788215621697025,0.025938828581492566,0.10006348718783431,0,0.0010990489550303656,-0.006021171418507436
vol_20d_rank,high,5.0,2.0,0.1,0.05873816226940398,0.030040145926013766,0.10198854095937951,0,0.0010489956027373223,-0.001919854073986236
vol_20d_rank,high,3.0,2.0,0.1,0.05870630024727206,0.030703969723858075,0.10107014601112507,0,0.0010171335806054005,-0.001256030276141927
vol_20d_rank,high,2.0,2.0,0.1,0.05864633558457725,0.031268178853626254,0.10020678382032167,0,0.0009571689179105891,-0.0006918211463737486
close_over_ma60,high,1.0,1.0,0.1,0.058641297356977116,0.030583431063526824,0.09746952072148263,0,0.000952130690310457,-0.0013765689364731784
vol_20d_rank,high,1.0,3.0,0.1,0.058640703319552616,0.03182675827159471,0.09998799757236482,0,0.0009515366528859565,-0.00013324172840529364
vol_20d_rank,high,1.0,2.0,0.1,0.0584975839114224,0.0317722966409521,0.09862649004191343,0,0.0008084172447557422,-0.00018770335904789992
close_over_ma60,high,2.0,2.0,0.1,0.0584712387067989,0.027105644834913494,0.0995802792483175,0,0.0007820720401322395,-0.004854355165086508
close_over_ma60,high,3.0,2.0,0.1,0.05843042462074224,0.0252205798360755,0.10049706904935493,0,0.0007412579540755776,-0.006739420163924502
close_over_ma60,high,1.0,2.0,0.1,0.058418127627446435,0.029561302887714427,0.09797527220231445,0,0.0007289609607797759,-0.002398697112285575
vol_20d_rank,high,0.5,3.0,0.1,0.058408575500736054,0.03192546519111704,0.09785701539352634,0,0.0007194088340693947,-3.453480888296334e-05
close_over_ma60,high,0.5,1.0,0.1,0.05838949212911254,0.03158559284371536,0.0960984830594768,0,0.0007003254624458818,-0.00037440715628464516
close_over_ma60,high,5.0,2.0,0.1,0.058336076345689936,0.022516724536029414,0.101505238044756,0,0.0006469096790232762,-0.009443275463970589
vol_20d_rank,high,3.0,1.0,0.1,0.05833300758137081,0.0308741696579865,0.09813111045612616,0,0.0006438409147041524,-0.0010858303420135038
vol_20d_rank,high,5.0,1.0,0.1,0.05831510198310901,0.030388757290594356,0.09856166782990897,0,0.0006259353164423526,-0.0015712427094056458
