model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
hybrid_gate_no_alpha,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_alpha_20260130.csv,ok,,-0.01968,-0.026770000000000002,0.0070999999999999995,30
hybrid_gate_no_regime,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260130.csv,ok,,-0.01595,-0.026770000000000002,0.01083,30
hybrid_gate_no_liquidity,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260130.csv,ok,,-0.00455,-0.026770000000000002,0.02222,30
hybrid_gate_no_secondary,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260130.csv,ok,,-0.00442,-0.026770000000000002,0.02235,30
hybrid_gate_no_route,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_route_20260130.csv,ok,,-0.00442,-0.026770000000000002,0.02235,30
hybrid_gate_no_alpha,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_alpha_20260206.csv,ok,,0.03932,0.018799999999999997,0.02052,30
hybrid_gate_no_regime,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260206.csv,ok,,0.046470000000000004,0.018799999999999997,0.02767,30
hybrid_gate_no_liquidity,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260206.csv,ok,,0.04149,0.018799999999999997,0.022690000000000002,30
hybrid_gate_no_secondary,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260206.csv,ok,,0.051820000000000005,0.018799999999999997,0.03302,30
hybrid_gate_no_route,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_route_20260206.csv,ok,,0.051820000000000005,0.018799999999999997,0.03302,30
hybrid_gate_no_alpha,2026-02-13,2026-02-24,2026-03-02,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_alpha_20260213.csv,ok,,0.05985,0.04322,0.01662,30
hybrid_gate_no_regime,2026-02-13,2026-02-24,2026-03-02,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260213.csv,ok,,0.09568,0.04322,0.052450000000000004,30
hybrid_gate_no_liquidity,2026-02-13,2026-02-24,2026-03-02,submissions/stage2/backtests/candidates/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260213.csv,ok,,0.10901999999999999,0.04322,0.06579,30
