model,as_of,start,end,portfolio_return,benchmark_return,excess_return,n_names
lgb_base,20260302,20260303,20260309,-0.03966422318611125,-0.043755877285399314,0.004091654099288064,40
lgb_base,20260309,20260310,20260316,-0.0021059417436669085,-0.011393105437406015,0.009287163693739105,498
lgb_base,20260316,20260317,20260323,-0.07058550437549305,-0.09094602030603705,0.020360515930544,40
lgb_base,20260323,20260324,20260330,0.04793236365255654,0.0420627235579234,0.005869640094633144,100
lgb_base,20260330,20260331,20260407,-0.021263111767981194,-0.023551524861024853,0.002288413093043659,100
lgb_base,20260407,20260408,20260414,0.08590810919648484,0.06834637611309624,0.017561733083388598,40
lgb_base,20260414,20260415,20260421,0.0319766054228994,0.022470971070408075,0.009505634352491327,55
lgb_base,20260421,20260422,20260428,0.00371938075086979,-0.008024592014318155,0.011743972765187944,55
lgb_base,20260428,20260429,20260508,0.08607953311308174,0.05975284377875534,0.0263266893343264,40
lgb_aggr,20260302,20260303,20260309,-0.04391328325821579,-0.043755877285399314,-0.0001574059728164795,40
lgb_aggr,20260309,20260310,20260316,-0.0021059417436669085,-0.011393105437406015,0.009287163693739105,498
lgb_aggr,20260316,20260317,20260323,-0.06944961459566618,-0.09094602030603705,0.02149640571037087,40
lgb_aggr,20260323,20260324,20260330,0.04469483288655226,0.0420627235579234,0.0026321093286288608,40
lgb_aggr,20260330,20260331,20260407,-0.02029453650024367,-0.023551524861024853,0.0032569883607811816,100
lgb_aggr,20260407,20260408,20260414,0.07163196666839518,0.06834637611309624,0.0032855905552989367,40
lgb_aggr,20260414,20260415,20260421,0.031337970629039286,0.022470971070408075,0.008866999558631211,40
lgb_aggr,20260421,20260422,20260428,0.0073402618634085945,-0.008024592014318155,0.01536485387772675,65
lgb_aggr,20260428,20260429,20260508,0.07220401071545549,0.05975284377875534,0.012451166936700148,45
lgb_reg,20260302,20260303,20260309,-0.039712992369864766,-0.043755877285399314,0.0040428849155345475,40
lgb_reg,20260309,20260310,20260316,-0.0021059417436669085,-0.011393105437406015,0.009287163693739105,498
lgb_reg,20260316,20260317,20260323,-0.06800344766201563,-0.09094602030603705,0.022942572644021414,40
lgb_reg,20260323,20260324,20260330,0.053954077921868224,0.0420627235579234,0.011891354363944825,40
lgb_reg,20260330,20260331,20260407,-0.012791251144369464,-0.023551524861024853,0.010760273716655389,50
lgb_reg,20260407,20260408,20260414,0.08841056620609025,0.06834637611309624,0.02006419009299401,100
lgb_reg,20260414,20260415,20260421,0.026756940389596376,0.022470971070408075,0.004285969319188301,65
lgb_reg,20260421,20260422,20260428,0.012531480976789341,-0.008024592014318155,0.020556072991107496,40
lgb_reg,20260428,20260429,20260508,0.08544410560141341,0.05975284377875534,0.025691261822658074,40
lgb_wide_reg,20260302,20260303,20260309,-0.04591850664237958,-0.043755877285399314,-0.002162629356980264,45
lgb_wide_reg,20260309,20260310,20260316,-0.0021059417436669085,-0.011393105437406015,0.009287163693739105,498
lgb_wide_reg,20260316,20260317,20260323,-0.06540030033535289,-0.09094602030603705,0.025545719970684153,40
lgb_wide_reg,20260323,20260324,20260330,0.05720065576869287,0.0420627235579234,0.015137932210769471,40
lgb_wide_reg,20260330,20260331,20260407,-0.00919568892668693,-0.023551524861024853,0.014355835934337922,60
lgb_wide_reg,20260407,20260408,20260414,0.07542117859258991,0.06834637611309624,0.007074802479493672,100
lgb_wide_reg,20260414,20260415,20260421,0.01785517399335118,0.022470971070408075,-0.0046157970770568935,100
lgb_wide_reg,20260421,20260422,20260428,0.007205354003241071,-0.008024592014318155,0.015229946017559226,40
lgb_wide_reg,20260428,20260429,20260508,0.09367578643123228,0.05975284377875534,0.033922942652476945,40
