as_of,start,end,top_k,temperature,rank_blend,n_names,excess_return
20260324,20260325,20260331,30,0.35,0.7,30,0.024205666576245184
20260324,20260325,20260331,30,0.35,0.9,30,0.024205666576245156
20260324,20260325,20260331,30,0.35,1.0,30,0.024205666576245146
20260324,20260325,20260331,30,0.45,0.7,30,0.02544801799833207
20260324,20260325,20260331,30,0.45,0.9,30,0.025448017998332028
20260324,20260325,20260331,30,0.45,1.0,30,0.025448017998332018
20260324,20260325,20260331,30,0.65,0.7,30,0.027220433930857834
20260324,20260325,20260331,30,0.65,0.9,30,0.027220433930857806
20260324,20260325,20260331,30,0.65,1.0,30,0.027220433930857792
20260324,20260325,20260331,30,0.85,0.7,30,0.02758908918111654
20260324,20260325,20260331,30,0.85,0.9,30,0.02758908918111653
20260324,20260325,20260331,30,0.85,1.0,30,0.027589089181116536
20260324,20260325,20260331,30,1.1,0.7,30,0.026925058455800868
20260324,20260325,20260331,30,1.1,0.9,30,0.026925058455800843
20260324,20260325,20260331,30,1.1,1.0,30,0.026925058455800833
20260324,20260325,20260331,35,0.35,0.7,35,0.024703376449020275
20260324,20260325,20260331,35,0.35,0.9,35,0.024703376449020285
20260324,20260325,20260331,35,0.35,1.0,35,0.024703376449020265
20260324,20260325,20260331,35,0.45,0.7,35,0.026310851005529115
20260324,20260325,20260331,35,0.45,0.9,35,0.026310851005529125
20260324,20260325,20260331,35,0.45,1.0,35,0.026310851005529122
20260324,20260325,20260331,35,0.65,0.7,35,0.027659300475254694
20260324,20260325,20260331,35,0.65,0.9,35,0.027659300475254694
20260324,20260325,20260331,35,0.65,1.0,35,0.027659300475254694
20260324,20260325,20260331,35,0.85,0.7,35,0.02703012596781693
20260324,20260325,20260331,35,0.85,0.9,35,0.027030125967816933
20260324,20260325,20260331,35,0.85,1.0,35,0.027030125967816915
20260324,20260325,20260331,35,1.1,0.7,35,0.024932268203609994
20260324,20260325,20260331,35,1.1,0.9,35,0.024932268203609997
20260324,20260325,20260331,35,1.1,1.0,35,0.02493226820360998
20260324,20260325,20260331,40,0.35,0.7,40,0.025574446772878026
20260324,20260325,20260331,40,0.35,0.9,40,0.025574446772877985
20260324,20260325,20260331,40,0.35,1.0,40,0.025574446772877978
20260324,20260325,20260331,40,0.45,0.7,40,0.02681228920960329
20260324,20260325,20260331,40,0.45,0.9,40,0.026812289209603265
20260324,20260325,20260331,40,0.45,1.0,40,0.026812289209603265
20260324,20260325,20260331,40,0.65,0.7,40,0.027143896437976267
20260324,20260325,20260331,40,0.65,0.9,40,0.02714389643797626
20260324,20260325,20260331,40,0.65,1.0,40,0.027143896437976253
20260324,20260325,20260331,40,0.85,0.7,40,0.025791414615633633
20260324,20260325,20260331,40,0.85,0.9,40,0.025791414615633612
20260324,20260325,20260331,40,0.85,1.0,40,0.02579141461563361
20260324,20260325,20260331,40,1.1,0.7,40,0.023026444829044555
20260324,20260325,20260331,40,1.1,0.9,40,0.023026444829044545
20260324,20260325,20260331,40,1.1,1.0,40,0.023026444829044534
20260324,20260325,20260331,50,0.35,0.7,50,0.026638069906517948
20260324,20260325,20260331,50,0.35,0.9,50,0.026638069906517917
20260324,20260325,20260331,50,0.35,1.0,50,0.026638069906517906
20260324,20260325,20260331,50,0.45,0.7,50,0.027438902691288024
20260324,20260325,20260331,50,0.45,0.9,50,0.027438902691287986
20260324,20260325,20260331,50,0.45,1.0,50,0.027438902691287993
20260324,20260325,20260331,50,0.65,0.7,50,0.02593887959053739
20260324,20260325,20260331,50,0.65,0.9,50,0.02593887959053735
20260324,20260325,20260331,50,0.65,1.0,50,0.025938879590537343
20260324,20260325,20260331,50,0.85,0.7,50,0.022556898505890453
20260324,20260325,20260331,50,0.85,0.9,50,0.022556898505890426
20260324,20260325,20260331,50,0.85,1.0,50,0.022556898505890426
20260324,20260325,20260331,50,1.1,0.7,50,0.019278332890896272
20260324,20260325,20260331,50,1.1,0.9,50,0.019278332890896248
20260324,20260325,20260331,50,1.1,1.0,50,0.019278332890896248
20260324,20260325,20260331,60,0.35,0.7,60,0.027180451929915486
20260324,20260325,20260331,60,0.35,0.9,60,0.027180451929915483
20260324,20260325,20260331,60,0.35,1.0,60,0.027180451929915497
20260324,20260325,20260331,60,0.45,0.7,60,0.026895611636966226
20260324,20260325,20260331,60,0.45,0.9,60,0.02689561163696623
20260324,20260325,20260331,60,0.45,1.0,60,0.026895611636966233
20260324,20260325,20260331,60,0.65,0.7,60,0.023652706075269522
20260324,20260325,20260331,60,0.65,0.9,60,0.023652706075269515
20260324,20260325,20260331,60,0.65,1.0,60,0.02365270607526953
20260324,20260325,20260331,60,0.85,0.7,60,0.019926066869924694
20260324,20260325,20260331,60,0.85,0.9,60,0.019926066869924687
20260324,20260325,20260331,60,0.85,1.0,60,0.019926066869924697
20260324,20260325,20260331,60,1.1,0.7,60,0.016492324144002667
20260324,20260325,20260331,60,1.1,0.9,60,0.016492324144002667
20260324,20260325,20260331,60,1.1,1.0,60,0.016492324144002674
20260324,20260325,20260331,80,0.35,0.7,80,0.02684582591522162
20260324,20260325,20260331,80,0.35,0.9,80,0.02684582591522162
20260324,20260325,20260331,80,0.35,1.0,80,0.02684582591522159
20260324,20260325,20260331,80,0.45,0.7,80,0.02505881541985459
20260324,20260325,20260331,80,0.45,0.9,80,0.025058815419854562
20260324,20260325,20260331,80,0.45,1.0,80,0.02505881541985456
20260324,20260325,20260331,80,0.65,0.7,80,0.019560105157189082
20260324,20260325,20260331,80,0.65,0.9,80,0.01956010515718907
20260324,20260325,20260331,80,0.65,1.0,80,0.019560105157189065
20260324,20260325,20260331,80,0.85,0.7,80,0.015441502012204247
20260324,20260325,20260331,80,0.85,0.9,80,0.015441502012204233
20260324,20260325,20260331,80,0.85,1.0,80,0.015441502012204233
20260324,20260325,20260331,80,1.1,0.7,80,0.011769982044748306
20260324,20260325,20260331,80,1.1,0.9,80,0.011769982044748294
20260324,20260325,20260331,80,1.1,1.0,80,0.011769982044748297
20260324,20260325,20260331,100,0.35,0.7,100,0.025795499982260137
20260324,20260325,20260331,100,0.35,0.9,100,0.025795499982260117
20260324,20260325,20260331,100,0.35,1.0,100,0.025795499982260117
20260324,20260325,20260331,100,0.45,0.7,100,0.02221819750894961
20260324,20260325,20260331,100,0.45,0.9,100,0.02221819750894959
20260324,20260325,20260331,100,0.45,1.0,100,0.022218197508949586
20260324,20260325,20260331,100,0.65,0.7,100,0.01635589221848236
20260324,20260325,20260331,100,0.65,0.9,100,0.016355892218482347
20260324,20260325,20260331,100,0.65,1.0,100,0.01635589221848235
20260324,20260325,20260331,100,0.85,0.7,100,0.01213999721460995
20260324,20260325,20260331,100,0.85,0.9,100,0.012139997214609934
20260324,20260325,20260331,100,0.85,1.0,100,0.01213999721460994
20260324,20260325,20260331,100,1.1,0.7,100,0.008504264293500631
20260324,20260325,20260331,100,1.1,0.9,100,0.008504264293500626
20260324,20260325,20260331,100,1.1,1.0,100,0.00850426429350063
20260331,20260401,20260408,30,0.35,0.7,30,0.0165072059461702
20260331,20260401,20260408,30,0.35,0.9,30,0.016507205946170174
20260331,20260401,20260408,30,0.35,1.0,30,0.0165072059461702
20260331,20260401,20260408,30,0.45,0.7,30,0.016783581641036813
20260331,20260401,20260408,30,0.45,0.9,30,0.016783581641036868
