top_k,temperature,rank_blend,mean,min,max,count,negative_windows
30,0.65,1.0,0.031053637849472723,0.017523357255349377,0.05590790409886284,4,0
30,0.65,0.9,0.031053637849472723,0.017523357255349363,0.05590790409886284,4,0
30,0.65,0.7,0.031053637849472706,0.017523357255349342,0.0559079040988628,4,0
40,0.45,0.9,0.031018527476382098,0.017459119863067092,0.05573852194929635,4,0
40,0.45,1.0,0.03101852747638209,0.017459119863067085,0.055738521949296335,4,0
40,0.45,0.7,0.03101852747638208,0.01745911986306705,0.05573852194929632,4,0
50,0.35,0.9,0.030993115237696437,0.01744703854170107,0.055677373622784784,4,0
50,0.35,0.7,0.03099311523769643,0.017447038541701043,0.05567737362278476,4,0
50,0.35,1.0,0.03099311523769642,0.017447038541701043,0.05567737362278476,4,0
35,0.45,0.9,0.03092900678783584,0.0173641289345038,0.05554210995361926,4,0
35,0.45,1.0,0.03092900678783584,0.017364128934503793,0.055542109953619245,4,0
35,0.45,0.7,0.030929006787835816,0.017364128934503745,0.05554210995361922,4,0
60,0.35,1.0,0.03091050019308073,0.017459219442542556,0.05585619930080059,4,0
60,0.35,0.9,0.030910500193080722,0.01745921944254257,0.055856199300800574,4,0
60,0.35,0.7,0.03091050019308072,0.017459219442542542,0.05585619930080059,4,0
40,0.35,0.9,0.030759627817616163,0.01687810178730126,0.05518544950060339,4,0
40,0.35,1.0,0.030759627817616146,0.016878101787301245,0.05518544950060336,4,0
40,0.35,0.7,0.030759627817616132,0.016878101787301182,0.05518544950060332,4,0
30,0.45,0.9,0.03072281935498704,0.016783581641036868,0.05512093690153562,4,0
30,0.45,1.0,0.030722819354987038,0.01678358164103689,0.055120936901535605,4,0
30,0.45,0.7,0.03072281935498701,0.016783581641036813,0.055120936901535564,4,0
50,0.45,0.9,0.030628030358620238,0.01754324002662737,0.05572978062823586,4,0
50,0.45,1.0,0.030628030358620238,0.017543240026627355,0.05572978062823587,4,0
50,0.45,0.7,0.030628030358620238,0.01754324002662734,0.05572978062823586,4,0
35,0.35,1.0,0.030548925689912385,0.016172789848249297,0.05498107684252278,4,0
35,0.35,0.9,0.03054892568991237,0.016172789848249283,0.054981076842522764,4,0
35,0.35,0.7,0.030548925689912368,0.01617278984824927,0.05498107684252275,4,0
35,0.65,0.9,0.030509431431306803,0.017584548119657276,0.05549732983676495,4,0
35,0.65,1.0,0.030509431431306785,0.01758454811965726,0.055497329836764905,4,0
35,0.65,0.7,0.030509431431306785,0.017584548119657248,0.05549732983676492,4,0
30,0.35,1.0,0.030270686744233492,0.0165072059461702,0.05403317419622798,4,0
