model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
open_lgb_market,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_market_20260326.csv,ok,,-0.0215,-0.00482,-0.01668,40
open_lgb_val_mkt,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_val_mkt_20260326.csv,ok,,-0.0215,-0.00482,-0.01668,40
open_blend_val_mkt,2026-03-26,2026-03-27,2026-04-02,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_blend_val_mkt_20260326.csv,ok,,-0.00818,-0.00482,-0.00336,40
open_lgb_market,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_market_20260402.csv,ok,,0.06539,0.047869999999999996,0.01752,45
open_lgb_val_mkt,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_val_mkt_20260402.csv,ok,,0.04793,0.047869999999999996,6e-05,100
open_blend_val_mkt,2026-04-02,2026-04-03,2026-04-10,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_blend_val_mkt_20260402.csv,ok,,0.06763,0.047869999999999996,0.01976,100
open_lgb_market,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_market_20260410.csv,ok,,0.04771,0.03072,0.01699,40
open_lgb_val_mkt,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_val_mkt_20260410.csv,ok,,0.029369999999999997,0.03072,-0.00135,40
open_blend_val_mkt,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_blend_val_mkt_20260410.csv,ok,,0.029369999999999997,0.03072,-0.00135,40
open_lgb_market,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_market_20260417.csv,ok,,0.013819999999999999,0.0040999999999999995,0.00972,100
open_lgb_val_mkt,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_val_mkt_20260417.csv,ok,,0.010860000000000002,0.0040999999999999995,0.00676,55
open_blend_val_mkt,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_blend_val_mkt_20260417.csv,ok,,0.0128,0.0040999999999999995,0.0087,80
open_lgb_market,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_market_20260424.csv,ok,,0.03915,0.04128999999999999,-0.00214,100
open_lgb_val_mkt,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_lgb_val_mkt_20260424.csv,ok,,0.056440000000000004,0.04128999999999999,0.015149999999999999,40
open_blend_val_mkt,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/rejected/stage2_open_market_20260506/open_blend_val_mkt_20260424.csv,ok,,0.03412,0.04128999999999999,-0.007169999999999999,100
