model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
tree_consensus_reference,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260302.csv,ok,,-0.04482,-0.04376,-0.00106,30
tree_consensus_decay,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260302.csv,ok,,-0.059320000000000005,-0.04376,-0.015569999999999999,30
tree_consensus_reference,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260309.csv,ok,,-0.00211,-0.01139,0.00929,498
tree_consensus_decay,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260309.csv,ok,,-0.00211,-0.01139,0.00929,498
tree_consensus_reference,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260316.csv,ok,,-0.09114000000000001,-0.09095,-0.0002,30
tree_consensus_decay,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260316.csv,ok,,-0.06484,-0.09095,0.026099999999999998,30
tree_consensus_reference,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260323.csv,ok,,0.0536,0.04206000000000001,0.01154,30
tree_consensus_decay,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260323.csv,ok,,0.04594,0.04206000000000001,0.00387,30
tree_consensus_reference,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260330.csv,ok,,-0.020870000000000003,-0.02355,0.00268,30
tree_consensus_decay,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260330.csv,ok,,0.007940000000000001,-0.02355,0.03149,30
tree_consensus_reference,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260407.csv,ok,,0.06668,0.06835,-0.00166,30
tree_consensus_decay,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260407.csv,ok,,0.08711,0.06835,0.01876,30
tree_consensus_reference,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260414.csv,ok,,0.026619999999999998,0.02247,0.00415,30
tree_consensus_decay,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260414.csv,ok,,0.04216,0.02247,0.01969,30
tree_consensus_reference,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260421.csv,ok,,-0.00611,-0.008020000000000001,0.00191,30
tree_consensus_decay,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260421.csv,ok,,0.031219999999999998,-0.008020000000000001,0.03924,30
tree_consensus_reference,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_reference_20260428.csv,ok,,0.09364,0.05975,0.033889999999999997,30
tree_consensus_decay,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_ref_ablation_20260508/tree_consensus_decay_20260428.csv,ok,,0.08539,0.05975,0.02564,30
