model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
tree_consensus_guarded_v2,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260302.csv,ok,,-0.029820000000000003,-0.04376,0.01394,30
tree_consensus_ref_decay,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260302.csv,ok,,-0.04026,-0.04376,0.0034899999999999996,30
tree_consensus_guarded_v2,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260309.csv,ok,,-0.00211,-0.01139,0.00929,498
tree_consensus_ref_decay,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260309.csv,ok,,-0.00211,-0.01139,0.00929,498
tree_consensus_guarded_v2,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260316.csv,ok,,-0.07994,-0.09095,0.011000000000000001,30
tree_consensus_ref_decay,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260316.csv,ok,,-0.07734,-0.09095,0.013600000000000001,30
tree_consensus_guarded_v2,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260323.csv,ok,,0.04746,0.04206000000000001,0.0054,30
tree_consensus_ref_decay,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260323.csv,ok,,0.049640000000000004,0.04206000000000001,0.00757,30
tree_consensus_guarded_v2,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260330.csv,ok,,0.00359,-0.02355,0.02714,30
tree_consensus_ref_decay,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260330.csv,ok,,-0.01525,-0.02355,0.0083,30
tree_consensus_guarded_v2,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260407.csv,ok,,0.0701,0.06835,0.0017499999999999998,30
tree_consensus_ref_decay,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260407.csv,ok,,0.07639,0.06835,0.00805,30
tree_consensus_guarded_v2,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260414.csv,ok,,0.02986,0.02247,0.00739,30
tree_consensus_ref_decay,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260414.csv,ok,,0.02405,0.02247,0.00158,30
tree_consensus_guarded_v2,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260421.csv,ok,,0.013309999999999999,-0.008020000000000001,0.021339999999999998,30
tree_consensus_ref_decay,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260421.csv,ok,,0.00955,-0.008020000000000001,0.01757,30
tree_consensus_guarded_v2,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_guarded_v2_20260428.csv,ok,,0.10389,0.05975,0.04414,30
tree_consensus_ref_decay,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_ref_decay_compare_20260508/tree_consensus_ref_decay_20260428.csv,ok,,0.08949,0.05975,0.029740000000000003,30
