model,as_of,start,end,portfolio_return,benchmark_return,excess_return,n_names
scoreprop_t30_cap06,20260302,20260303,20260309,-0.03135858742450858,-0.043755877285399314,0.012397289860890733,30
scoreprop_t30_cap06,20260309,20260310,20260316,-0.002105941743666849,-0.011393105437406015,0.009287163693739166,498
scoreprop_t30_cap06,20260316,20260317,20260323,-0.059283078507684266,-0.09094602030603705,0.03166294179835278,30
scoreprop_t30_cap06,20260323,20260324,20260330,0.040837783677000236,0.0420627235579234,-0.001224939880923162,30
scoreprop_t30_cap06,20260330,20260331,20260407,-0.0013124653694354237,-0.023551524861024853,0.022239059491589427,30
scoreprop_t30_cap06,20260407,20260408,20260414,0.07239299676017157,0.06834637611309624,0.004046620647075325,30
scoreprop_t30_cap06,20260414,20260415,20260421,0.03863431689245913,0.022470971070408075,0.016163345822051055,30
scoreprop_t30_cap06,20260421,20260422,20260428,0.028763559483289437,-0.008024592014318155,0.03678815149760759,30
scoreprop_t30_cap06,20260428,20260429,20260508,0.08658417628880168,0.05975284377875534,0.026831332510046338,30
scoreprop_t30_cap08,20260302,20260303,20260309,-0.03086344029204243,-0.043755877285399314,0.012892436993356883,30
scoreprop_t30_cap08,20260309,20260310,20260316,-0.002105941743666849,-0.011393105437406015,0.009287163693739166,498
scoreprop_t30_cap08,20260316,20260317,20260323,-0.05926183946187535,-0.09094602030603705,0.0316841808441617,30
scoreprop_t30_cap08,20260323,20260324,20260330,0.04038289032701289,0.0420627235579234,-0.0016798332309105116,30
scoreprop_t30_cap08,20260330,20260331,20260407,-0.00016605988742026583,-0.023551524861024853,0.023385464973604587,30
scoreprop_t30_cap08,20260407,20260408,20260414,0.07195044348412429,0.06834637611309624,0.003604067371028044,30
scoreprop_t30_cap08,20260414,20260415,20260421,0.038449338293951384,0.022470971070408075,0.01597836722354331,30
scoreprop_t30_cap08,20260421,20260422,20260428,0.030830654774566264,-0.008024592014318155,0.03885524678888442,30
scoreprop_t30_cap08,20260428,20260429,20260508,0.08628757833402402,0.05975284377875534,0.026534734555268683,30
scoreprop_t40_cap08,20260302,20260303,20260309,-0.03388985119889831,-0.043755877285399314,0.009866026086501,40
scoreprop_t40_cap08,20260309,20260310,20260316,-0.002105941743666849,-0.011393105437406015,0.009287163693739166,498
scoreprop_t40_cap08,20260316,20260317,20260323,-0.06620728696455769,-0.09094602030603705,0.024738733341479358,40
scoreprop_t40_cap08,20260323,20260324,20260330,0.042725158905593516,0.0420627235579234,0.0006624353476701178,40
scoreprop_t40_cap08,20260330,20260331,20260407,-0.006682354991724683,-0.023551524861024853,0.01686916986930017,40
scoreprop_t40_cap08,20260407,20260408,20260414,0.0792458534353281,0.06834637611309624,0.010899477322231857,40
scoreprop_t40_cap08,20260414,20260415,20260421,0.033474344766747086,0.022470971070408075,0.011003373696339011,40
scoreprop_t40_cap08,20260421,20260422,20260428,0.022334778816346913,-0.008024592014318155,0.030359370830665068,40
scoreprop_t40_cap08,20260428,20260429,20260508,0.09351735903625209,0.05975284377875534,0.033764515257496755,40
scoreprop_t50_cap08,20260302,20260303,20260309,-0.03673865354388934,-0.043755877285399314,0.0070172237415099745,50
scoreprop_t50_cap08,20260309,20260310,20260316,-0.002105941743666849,-0.011393105437406015,0.009287163693739166,498
scoreprop_t50_cap08,20260316,20260317,20260323,-0.07275808760665203,-0.09094602030603705,0.018187932699385012,50
scoreprop_t50_cap08,20260323,20260324,20260330,0.045080909008786155,0.0420627235579234,0.0030181854508627565,50
scoreprop_t50_cap08,20260330,20260331,20260407,-0.010562892130473699,-0.023551524861024853,0.012988632730551154,50
scoreprop_t50_cap08,20260407,20260408,20260414,0.08453256316592996,0.06834637611309624,0.016186187052833714,50
scoreprop_t50_cap08,20260414,20260415,20260421,0.031528546175394814,0.022470971070408075,0.00905757510498674,50
scoreprop_t50_cap08,20260421,20260422,20260428,0.013686480827720584,-0.008024592014318155,0.02171107284203874,50
scoreprop_t50_cap08,20260428,20260429,20260508,0.09419210735020157,0.05975284377875534,0.034439263571446235,50
