model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
lightgbm,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260302.csv,ok,,-0.03966,-0.04376,0.00409,40
tuned_xgb,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260302.csv,ok,,-0.04131,-0.04376,0.00245,100
baseline_xgb,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260302.csv,ok,,-0.03775,-0.04376,0.006,50
lightgbm,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260309.csv,ok,,-0.01169,-0.01139,-0.00029,40
tuned_xgb,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260309.csv,ok,,-0.01266,-0.01139,-0.00127,40
baseline_xgb,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260309.csv,ok,,-0.0124,-0.01139,-0.00101,50
lightgbm,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260316.csv,ok,,-0.07746,-0.09095,0.01348,40
tuned_xgb,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260316.csv,ok,,-0.10066000000000001,-0.09095,-0.00971,40
baseline_xgb,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260316.csv,ok,,-0.08692,-0.09095,0.00402,50
lightgbm,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260323.csv,ok,,0.05033000000000001,0.04206000000000001,0.00826,40
tuned_xgb,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260323.csv,ok,,0.04553,0.04206000000000001,0.0034699999999999996,40
baseline_xgb,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260323.csv,ok,,0.04195,0.04206000000000001,-0.00012,50
lightgbm,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260330.csv,ok,,-0.00734,-0.02355,0.01621,50
