model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
tree_consensus_aggressive,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260330.csv,ok,,0.00296,-0.02355,0.02651,30
tree_consensus,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260330.csv,ok,,0.00187,-0.02355,0.025419999999999998,35
tree_consensus_aggressive,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260407.csv,ok,,0.07026,0.06835,0.00191,30
tree_consensus,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260407.csv,ok,,0.07239,0.06835,0.004050000000000001,35
tree_consensus_aggressive,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260414.csv,ok,,0.029740000000000003,0.02247,0.0072699999999999996,30
tree_consensus,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260414.csv,ok,,0.02759,0.02247,0.00512,35
tree_consensus_aggressive,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260421.csv,ok,,0.01288,-0.008020000000000001,0.02091,30
tree_consensus,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260421.csv,ok,,0.01385,-0.008020000000000001,0.021869999999999997,35
tree_consensus_aggressive,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260428.csv,ok,,0.10378,0.05975,0.04402999999999999,30
tree_consensus,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260428.csv,ok,,0.09798,0.05975,0.03823,35
