model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
tree_consensus_aggressive,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260302.csv,ok,,-0.031120000000000002,-0.04376,0.01264,30
tree_consensus,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260302.csv,ok,,-0.039060000000000004,-0.04376,0.004699999999999999,35
tree_consensus_aggressive,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260309.csv,ok,,-0.018000000000000002,-0.01139,-0.00661,30
tree_consensus,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260309.csv,ok,,-0.015449999999999998,-0.01139,-0.00406,35
tree_consensus_aggressive,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260316.csv,ok,,-0.08277,-0.09095,0.00818,30
tree_consensus,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260316.csv,ok,,-0.07991,-0.09095,0.01103,35
tree_consensus_aggressive,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260323.csv,ok,,0.04714,0.04206000000000001,0.00507,30
tree_consensus,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260323.csv,ok,,0.05026,0.04206000000000001,0.00819,35
tree_consensus_aggressive,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260330.csv,ok,,0.00296,-0.02355,0.02651,30
tree_consensus,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260330.csv,ok,,0.00187,-0.02355,0.025419999999999998,35
tree_consensus_aggressive,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260407.csv,ok,,0.07026,0.06835,0.00191,30
tree_consensus,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260407.csv,ok,,0.07239,0.06835,0.004050000000000001,35
tree_consensus_aggressive,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260414.csv,ok,,0.029740000000000003,0.02247,0.0072699999999999996,30
tree_consensus,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260414.csv,ok,,0.02759,0.02247,0.00512,35
tree_consensus_aggressive,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260421.csv,ok,,0.01288,-0.008020000000000001,0.02091,30
tree_consensus,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260421.csv,ok,,0.01385,-0.008020000000000001,0.021869999999999997,35
tree_consensus_aggressive,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_aggressive_20260428.csv,ok,,0.10378,0.05975,0.04402999999999999,30
tree_consensus,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_balanced_vs_aggressive_20260508/tree_consensus_20260428.csv,ok,,0.09798,0.05975,0.03823,35
