model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
baseline_xgb,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/baseline_xgb_20260330.csv,ok,,-0.011619999999999998,-0.02355,0.011930000000000001,50
tuned_xgb,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tuned_xgb_20260330.csv,ok,,-0.019790000000000002,-0.02355,0.00376,40
lightgbm,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/lightgbm_20260330.csv,ok,,-0.00734,-0.02355,0.01621,50
tree_consensus,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tree_consensus_20260330.csv,ok,,-0.01027,-0.02355,0.01328,50
regime_gated_lstm,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/regime_gated_lstm_20260330.csv,ok,,-0.04829,-0.02355,-0.02474,30
baseline_xgb,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/baseline_xgb_20260407.csv,ok,,0.08916,0.06835,0.020819999999999998,50
tuned_xgb,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tuned_xgb_20260407.csv,ok,,0.07507,0.06835,0.00672,65
lightgbm,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/lightgbm_20260407.csv,ok,,0.08067,0.06835,0.01232,100
tree_consensus,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tree_consensus_20260407.csv,ok,,0.07769,0.06835,0.00935,50
regime_gated_lstm,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/regime_gated_lstm_20260407.csv,ok,,0.05955,0.06835,-0.0088,30
baseline_xgb,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/baseline_xgb_20260414.csv,ok,,0.03161,0.02247,0.009130000000000001,50
tuned_xgb,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tuned_xgb_20260414.csv,ok,,0.02259,0.02247,0.00012,100
lightgbm,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/lightgbm_20260414.csv,ok,,0.02632,0.02247,0.00385,80
tree_consensus,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tree_consensus_20260414.csv,ok,,0.02,0.02247,-0.00247,50
regime_gated_lstm,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/regime_gated_lstm_20260414.csv,ok,,0.02259,0.02247,0.00012,100
baseline_xgb,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/baseline_xgb_20260421.csv,ok,,-0.02412,-0.008020000000000001,-0.0161,50
tuned_xgb,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tuned_xgb_20260421.csv,ok,,0.00637,-0.008020000000000001,0.01439,40
lightgbm,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/lightgbm_20260421.csv,ok,,0.00268,-0.008020000000000001,0.010709999999999999,80
tree_consensus,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tree_consensus_20260421.csv,ok,,0.01088,-0.008020000000000001,0.0189,50
regime_gated_lstm,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/regime_gated_lstm_20260421.csv,ok,,0.01554,-0.008020000000000001,0.023559999999999998,30
baseline_xgb,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/baseline_xgb_20260428.csv,ok,,0.07679,0.05975,0.01704,50
tuned_xgb,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tuned_xgb_20260428.csv,ok,,0.08993000000000001,0.05975,0.03018,40
lightgbm,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/lightgbm_20260428.csv,ok,,0.08608,0.05975,0.02633,40
tree_consensus,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/tree_consensus_20260428.csv,ok,,0.09154,0.05975,0.03178,50
regime_gated_lstm,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_compare_20260508/regime_gated_lstm_20260428.csv,ok,,0.057510000000000006,0.05975,-0.0022400000000000002,60
