variant,as_of,start,end,excess_return,portfolio_return,benchmark_return,n_names,max_weight
base,2026-01-30,2026-02-02,2026-02-06,0.03289282607505589,0.006119459545855747,-0.02677336652920015,30,0.0999999999999999
base,2026-02-06,2026-02-09,2026-02-13,0.05255272825412087,0.07135511404035581,0.018802385786234943,30,0.1
base,2026-04-21,2026-04-22,2026-04-28,0.05933547439464271,0.05131088238032455,-0.008024592014318155,30,0.1
base,2026-04-28,2026-04-29,2026-05-08,0.08130224694331398,0.14105509072206932,0.05975284377875534,30,0.1
cap06,2026-01-30,2026-02-02,2026-02-06,0.03432320778019043,0.007549841250990279,-0.02677336652920015,30,0.1
cap06,2026-02-06,2026-02-09,2026-02-13,0.052333297910644797,0.07113568369687974,0.018802385786234943,30,0.1
cap06,2026-04-21,2026-04-22,2026-04-28,0.06353578963293752,0.05551119761861937,-0.008024592014318155,30,0.1
cap06,2026-04-28,2026-04-29,2026-05-08,0.07607661319205247,0.1358294569708078,0.05975284377875534,30,0.1
cap08,2026-01-30,2026-02-02,2026-02-06,0.03430546936125144,0.007532102832051285,-0.02677336652920015,30,0.1
cap08,2026-02-06,2026-02-09,2026-02-13,0.052399313527967575,0.07120169931420252,0.018802385786234943,30,0.1
cap08,2026-04-21,2026-04-22,2026-04-28,0.06415301322997398,0.056128421215655824,-0.008024592014318155,30,0.1
cap08,2026-04-28,2026-04-29,2026-05-08,0.07564013961508942,0.13539298339384476,0.05975284377875534,30,0.0999999999999999
top35_cap06,2026-01-30,2026-02-02,2026-02-06,0.03405768101626538,0.00728431448706523,-0.02677336652920015,35,0.1
top35_cap06,2026-02-06,2026-02-09,2026-02-13,0.0608578139282884,0.07966019971452334,0.018802385786234943,35,0.0999999999999999
top35_cap06,2026-04-21,2026-04-22,2026-04-28,0.04402716445470009,0.036002572440381936,-0.008024592014318155,35,0.1
top35_cap06,2026-04-28,2026-04-29,2026-05-08,0.0727084985580031,0.13246134233675844,0.05975284377875534,35,0.1
top30_rank20_cap06,2026-01-30,2026-02-02,2026-02-06,0.03390338013474942,0.007130013605549268,-0.02677336652920015,30,0.1
top30_rank20_cap06,2026-02-06,2026-02-09,2026-02-13,0.0520983360714745,0.07090072185770945,0.018802385786234943,30,0.1
top30_rank20_cap06,2026-04-21,2026-04-22,2026-04-28,0.06337750984592716,0.055352917831609005,-0.008024592014318155,30,0.1
top30_rank20_cap06,2026-04-28,2026-04-29,2026-05-08,0.07543079007272241,0.13518363385147775,0.05975284377875534,30,0.1
