model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
baseline_xgb,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_xgb_20260123.csv,ok,,-0.029367830713415782,-0.02556947095085227,-0.0037983597625635135,50
weekly_consensus,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260123.csv,ok,,-0.040510736532654856,-0.02556947095085227,-0.014941265581802587,30
baseline_xgb,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_xgb_20260130.csv,ok,,-0.0290575823893335,-0.02677336652920015,-0.0022842158601333526,50
weekly_consensus,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260130.csv,ok,,0.0006320664398916094,-0.02677336652920015,0.02740543296909176,30
baseline_guard,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_20260130.csv,ok,,0.0006320664398916094,-0.02677336652920015,0.02740543296909176,30
baseline_guard_top40,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_top40_20260130.csv,ok,,0.0006320664398916094,-0.02677336652920015,0.02740543296909176,30
baseline_guard_top30,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_top30_20260130.csv,ok,,0.0006320664398916094,-0.02677336652920015,0.02740543296909176,30
baseline_xgb,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_xgb_20260206.csv,ok,,0.022718519514278748,0.018802385786234943,0.0039161337280438045,50
weekly_consensus,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260206.csv,ok,,0.08752186664785834,0.018802385786234943,0.0687194808616234,30
baseline_guard,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_20260206.csv,ok,,0.08752186664785834,0.018802385786234943,0.0687194808616234,30
baseline_guard_top40,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_top40_20260206.csv,ok,,0.08752186664785834,0.018802385786234943,0.0687194808616234,30
baseline_guard_top30,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_top30_20260206.csv,ok,,0.08752186664785834,0.018802385786234943,0.0687194808616234,30
baseline_xgb,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_xgb_20260227.csv,ok,,-0.04664137168275715,-0.03443052740386576,-0.012210844278891388,50
weekly_consensus,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260227.csv,ok,,-0.04869104942738613,-0.03443052740386576,-0.014260522023520364,30
baseline_guard_top30,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_top30_20260123.csv,ok,,-0.014157618741054914,-0.02556947095085227,0.011411852209797355,30
baseline_guard,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_20260123.csv,ok,,-0.029367830713415782,-0.02556947095085227,-0.0037983597625635135,50
baseline_guard_top40,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_top40_20260123.csv,ok,,-0.024034607204623977,-0.02556947095085227,0.0015348637462282919,40
baseline_xgb,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_xgb_20260306.csv,ok,,-0.013057126927245052,-0.014417723691694029,0.0013605967644489767,50
weekly_consensus,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260306.csv,ok,,0.10866127836656438,-0.014417723691694029,0.1230790020582584,30
baseline_guard,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_20260306.csv,ok,,0.10866127836656438,-0.014417723691694029,0.1230790020582584,30
baseline_guard_top40,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/baseline_guard_top40_20260306.csv,ok,,0.10866127836656438,-0.014417723691694029,0.1230790020582584,30
