as_of,start,end,baseline,current,diff_current_minus_base,route,reason,idx_ret_5d,idx_ret_20d,breadth_ret_5d_pos,median_ret_5d
2026-01-23,2026-01-26,2026-01-30,-0.0037983597625635,-0.0149412655818025,-0.011142905819239001,tree_consensus,normal_tree_consensus,0.04342355837240719,0.16840577581188332,0.7975951903807615,0.029299847792998435
2026-01-30,2026-02-02,2026-02-06,-0.0022842158601333,0.0274054329690917,0.029689648829225,tree_consensus,normal_tree_consensus,-0.02556947095085227,0.12121586364290282,0.2725450901803607,-0.03286611889801838
2026-02-06,2026-02-09,2026-02-13,0.0039161337280438,0.0687194808616234,0.0648033471335796,tree_consensus,normal_tree_consensus,-0.02677336652920015,0.011136961276634105,0.2985971943887776,-0.013076168682575995
2026-02-27,2026-03-02,2026-03-06,-0.0122108442788913,-0.0142605220235203,-0.0020496777446290006,tree_consensus,normal_tree_consensus,0.0278836645270355,0.03229233171129531,0.6412825651302605,0.015272872734415688
2026-03-06,2026-03-09,2026-03-13,0.0013605967644489,0.1230790020582584,0.1217184052938095,equal_universe,weak_short_tape_low_breadth_avoid_active_selection_noise,-0.03443052740386576,-0.01849153594401798,0.24649298597194388,-0.03388525221409311
2026-03-13,2026-03-16,2026-03-20,0.0132537934342084,0.0013568379711229,-0.0118969554630855,tree_consensus,normal_tree_consensus,-0.014417723691694029,0.011501322042541284,0.4088176352705411,-0.007905138339920903
2026-03-20,2026-03-23,2026-03-27,0.0291596330879153,0.0039939558097944,-0.0251656772781209,tree_consensus,normal_tree_consensus,-0.058224849686849156,-0.07877099614533978,0.11823647294589178,-0.05034084950183537
2026-03-27,2026-03-30,2026-04-03,-0.0039196462861449,0.0034341065089268,0.0073537527950717,tree_consensus,normal_tree_consensus,-0.002889548078185755,-0.10635113675080421,0.3867735470941884,-0.009541984732824416
2026-04-10,2026-04-13,2026-04-17,0.0182979636518579,0.0168751540518075,-0.0014228096000504023,tree_consensus,normal_tree_consensus,0.04787087098419485,-0.04666646410203901,0.7314629258517034,0.02264375490830317
2026-04-17,2026-04-20,2026-04-24,0.0117022922348777,0.0305442238153542,0.0188419315804765,tree_consensus,normal_tree_consensus,0.03072126825663024,0.04279549935318738,0.6472945891783567,0.013038023189695713
