top_k,portfolio_return,benchmark_return,excess_return,n_names
100,-0.04061251499598338,-0.03443052740386576,-0.006181987592117619,100
95,-0.04089090645741186,-0.03443052740386576,-0.0064603790535461,95
90,-0.041398650899678646,-0.03443052740386576,-0.0069681234958128835,90
85,-0.0421709064011601,-0.03443052740386576,-0.0077403789972943365,85
80,-0.04314542519193122,-0.03443052740386576,-0.00871489778806546,80
75,-0.04433264386449305,-0.03443052740386576,-0.009902116460627289,75
70,-0.0454399078227717,-0.03443052740386576,-0.011009380418905937,70
65,-0.04647973619335152,-0.03443052740386576,-0.01204920878948576,65
50,-0.04664137168275715,-0.03443052740386576,-0.012210844278891388,50
55,-0.046705213029813494,-0.03443052740386576,-0.012274685625947732,55
60,-0.04693976119200568,-0.03443052740386576,-0.012509233788139916,60
45,-0.04713962589850419,-0.03443052740386576,-0.01270909849463843,45
30,-0.04739120144731268,-0.03443052740386576,-0.012960674043446918,30
40,-0.04786763580070136,-0.03443052740386576,-0.013437108396835595,40
35,-0.0479419935913061,-0.03443052740386576,-0.013511466187440334,35
