as_of,start,end,top_k,portfolio_return,benchmark_return,excess_return,n_names
20260123,20260126,20260130,30,-0.014157618741054914,-0.02556947095085227,0.011411852209797355,30
20260123,20260126,20260130,35,-0.019405103881438,-0.02556947095085227,0.00616436706941427,35
20260123,20260126,20260130,40,-0.024034607204623977,-0.02556947095085227,0.0015348637462282919,40
20260123,20260126,20260130,45,-0.027421837699663092,-0.02556947095085227,-0.0018523667488108235,45
20260123,20260126,20260130,50,-0.029367830713415782,-0.02556947095085227,-0.0037983597625635135,50
20260123,20260126,20260130,55,-0.030801243144291404,-0.02556947095085227,-0.005231772193439135,55
20260123,20260126,20260130,60,-0.031083679077335686,-0.02556947095085227,-0.005514208126483417,60
20260123,20260126,20260130,65,-0.03117138227782929,-0.02556947095085227,-0.0056019113269770195,65
20260123,20260126,20260130,70,-0.031192410083447905,-0.02556947095085227,-0.005622939132595636,70
20260123,20260126,20260130,75,-0.031140540358687692,-0.02556947095085227,-0.005571069407835423,75
20260123,20260126,20260130,80,-0.030918308155957187,-0.02556947095085227,-0.005348837205104918,80
20260123,20260126,20260130,85,-0.030437499278559262,-0.02556947095085227,-0.004868028327706993,85
20260123,20260126,20260130,90,-0.029946449213711403,-0.02556947095085227,-0.004376978262859134,90
20260123,20260126,20260130,95,-0.029705106999825447,-0.02556947095085227,-0.004135636048973178,95
20260123,20260126,20260130,100,-0.02945681661518925,-0.02556947095085227,-0.0038873456643369816,100
20260123,20260126,20260130,105,-0.029248161791071137,-0.02556947095085227,-0.0036786908402188685,105
20260123,20260126,20260130,110,-0.029078331668934903,-0.02556947095085227,-0.003508860718082634,110
20260123,20260126,20260130,115,-0.02905552268174544,-0.02556947095085227,-0.003486051730893173,115
20260123,20260126,20260130,120,-0.029362795716682346,-0.02556947095085227,-0.003793324765830077,120
20260227,20260302,20260306,30,-0.04739120144731268,-0.03443052740386576,-0.012960674043446918,30
20260227,20260302,20260306,35,-0.0479419935913061,-0.03443052740386576,-0.013511466187440334,35
20260227,20260302,20260306,40,-0.04786763580070136,-0.03443052740386576,-0.013437108396835595,40
20260227,20260302,20260306,45,-0.04713962589850419,-0.03443052740386576,-0.01270909849463843,45
20260227,20260302,20260306,50,-0.04664137168275715,-0.03443052740386576,-0.012210844278891388,50
20260227,20260302,20260306,55,-0.046705213029813494,-0.03443052740386576,-0.012274685625947732,55
20260227,20260302,20260306,60,-0.04693976119200568,-0.03443052740386576,-0.012509233788139916,60
20260227,20260302,20260306,65,-0.04647973619335152,-0.03443052740386576,-0.01204920878948576,65
20260227,20260302,20260306,70,-0.0454399078227717,-0.03443052740386576,-0.011009380418905937,70
20260227,20260302,20260306,75,-0.04433264386449305,-0.03443052740386576,-0.009902116460627289,75
20260227,20260302,20260306,80,-0.04314542519193122,-0.03443052740386576,-0.00871489778806546,80
20260227,20260302,20260306,85,-0.0421709064011601,-0.03443052740386576,-0.0077403789972943365,85
20260227,20260302,20260306,90,-0.041398650899678646,-0.03443052740386576,-0.0069681234958128835,90
20260227,20260302,20260306,95,-0.04089090645741186,-0.03443052740386576,-0.0064603790535461,95
20260227,20260302,20260306,100,-0.04061251499598338,-0.03443052740386576,-0.006181987592117619,100
20260227,20260302,20260306,105,-0.04039396097818257,-0.03443052740386576,-0.0059634335743168065,105
20260227,20260302,20260306,110,-0.040204078110850715,-0.03443052740386576,-0.005773550706984952,110
20260227,20260302,20260306,115,-0.040004736607657854,-0.03443052740386576,-0.005574209203792091,115
20260227,20260302,20260306,120,-0.03982096069890486,-0.03443052740386576,-0.005390433295039097,120
20260313,20260316,20260320,30,-0.03876873798696612,-0.058224849686849156,0.01945611169988304,30
20260313,20260316,20260320,35,-0.039978534487920624,-0.058224849686849156,0.018246315198928532,35
20260313,20260316,20260320,40,-0.04199695312331885,-0.058224849686849156,0.016227896563530304,40
20260313,20260316,20260320,45,-0.04350244680764579,-0.058224849686849156,0.014722402879203365,45
20260313,20260316,20260320,50,-0.044971056252640716,-0.058224849686849156,0.01325379343420844,50
20260313,20260316,20260320,55,-0.04557169265048068,-0.058224849686849156,0.012653157036368476,55
20260313,20260316,20260320,60,-0.04608293638531319,-0.058224849686849156,0.012141913301535967,60
20260313,20260316,20260320,65,-0.04653107004107334,-0.058224849686849156,0.011693779645775816,65
20260313,20260316,20260320,70,-0.04702474632154317,-0.058224849686849156,0.011200103365305983,70
20260313,20260316,20260320,75,-0.047166146819272496,-0.058224849686849156,0.01105870286757666,75
20260313,20260316,20260320,80,-0.04729399456162137,-0.058224849686849156,0.010930855125227783,80
20260313,20260316,20260320,85,-0.04748698356035513,-0.058224849686849156,0.01073786612649403,85
20260313,20260316,20260320,90,-0.04792897485491632,-0.058224849686849156,0.010295874831932839,90
20260313,20260316,20260320,95,-0.048047140810289,-0.058224849686849156,0.010177708876560158,95
20260313,20260316,20260320,100,-0.04812125821098723,-0.058224849686849156,0.010103591475861928,100
20260313,20260316,20260320,105,-0.04818658371905347,-0.058224849686849156,0.010038265967795688,105
20260313,20260316,20260320,110,-0.04828894191600768,-0.058224849686849156,0.009935907770841475,110
20260313,20260316,20260320,115,-0.04844358039284839,-0.058224849686849156,0.009781269294000763,115
20260313,20260316,20260320,120,-0.048543344637305474,-0.058224849686849156,0.009681505049543682,120
20260320,20260323,20260327,30,0.02556039461423867,-0.002889548078185755,0.028449942692424426,30
20260320,20260323,20260327,35,0.02756485558416375,-0.002889548078185755,0.030454403662349507,35
20260320,20260323,20260327,40,0.02808613886332293,-0.002889548078185755,0.030975686941508686,40
20260320,20260323,20260327,45,0.027737638245798824,-0.002889548078185755,0.03062718632398458,45
20260320,20260323,20260327,50,0.02627008500972964,-0.002889548078185755,0.029159633087915394,50
20260320,20260323,20260327,55,0.025096098184770366,-0.002889548078185755,0.02798564626295612,55
20260320,20260323,20260327,60,0.02406347183661829,-0.002889548078185755,0.026953019914804047,60
20260320,20260323,20260327,65,0.02294057802649994,-0.002889548078185755,0.025830126104685696,65
20260320,20260323,20260327,70,0.0215240772481878,-0.002889548078185755,0.024413625326373554,70
20260320,20260323,20260327,75,0.020171849014273054,-0.002889548078185755,0.02306139709245881,75
