kind,formula,topk,power,cpen,full_mean,full_min,full_neg,roll_mean,roll_min,roll_neg,all_full_mean,all_full_min,all_full_neg,full_vals,roll_vals,score
static,weekly_stable_flow,30,2,0.0,-0.0020679533870433943,-0.02503524328278127,7,0.007874931957784504,-0.029559378949238324,5,0.005073632965645258,-0.045944593850804516,51,"-0.02504,0.00862,-0.00635,-0.00087,-0.01032,-0.01024,0.01008,-0.02378,0.04709,0.00722,-0.02365,0.00242","-0.02956,-0.01800,-0.02538,-0.00779,0.00242,0.01626,0.03527,0.05174,0.04281,-0.00648,0.01208,0.02113",-0.017976836382171815
static,weekly_stable_flow,30,2,0.1,-0.002754020114772064,-0.039303599465796986,7,-0.01267246630375902,-0.03850095903504805,9,0.003355928044069271,-0.06298889784067777,47,"-0.01155,0.00048,0.00172,0.00726,-0.02822,-0.00175,0.04909,-0.00028,0.01798,-0.00904,-0.03930,-0.01943","-0.03850,-0.01114,-0.03459,-0.00902,-0.01943,-0.01729,0.00456,0.02146,0.00803,-0.02084,-0.01683,-0.01847",-0.032523877544306155
static,weekly_stable_flow,30,2,0.2,0.0006433858284770316,-0.04093879551587513,5,-0.019800155972719665,-0.04034811428702086,10,0.002346698834699619,-0.0673804411595924,46,"-0.01060,-0.00404,0.01366,0.01672,-0.03482,0.01481,0.06018,0.01490,0.00059,0.00116,-0.04094,-0.02391","-0.03900,-0.00753,-0.04035,-0.01548,-0.02391,-0.02519,0.00211,0.01552,-0.00056,-0.02923,-0.03613,-0.03786",-0.0324567502928257
static,weekly_stable_flow,30,2,0.35,0.004939659325946502,-0.0358058587949265,6,-0.02031176598091008,-0.0423837732251543,10,0.002015983727443735,-0.05880728493179109,51,"-0.00749,-0.01277,0.01590,0.02068,-0.03581,0.02933,0.07057,0.02464,-0.00609,0.01522,-0.03464,-0.02029","-0.03520,-0.00569,-0.04238,-0.01322,-0.02029,-0.02572,0.00404,0.01189,-0.00261,-0.03396,-0.03833,-0.04228",-0.030473868687386618
static,weekly_stable_flow,30,4,0.0,-0.0022891940613589835,-0.03178898256058097,7,0.01054173819212046,-0.031581153902828896,5,0.005342448655990347,-0.047466134990246184,54,"-0.03179,0.00912,-0.00617,-0.00268,-0.01191,-0.01148,0.00558,-0.02600,0.05869,0.01430,-0.02778,0.00264","-0.02655,-0.01812,-0.03158,-0.00598,0.00264,0.02029,0.04616,0.06355,0.05017,-0.00262,0.01374,0.01481",-0.018811079880111835
static,weekly_stable_flow,30,4,0.1,-0.002881704169266032,-0.04281672757670841,8,-0.014654673232581883,-0.0434173620418168,9,0.003714985630295231,-0.06830742973365492,49,"-0.01732,-0.00055,0.00202,0.00637,-0.03173,-0.00071,0.04924,-0.00143,0.02650,-0.00435,-0.04282,-0.01982","-0.04342,-0.01254,-0.03687,-0.00667,-0.01982,-0.02340,0.00166,0.02133,0.00845,-0.02499,-0.02439,-0.01521",-0.03532917313784996
static,weekly_stable_flow,30,4,0.2,0.0006072889468155528,-0.043243404194405574,5,-0.019795146906007432,-0.044878405620662254,9,0.002325146677252047,-0.07073405159764641,47,"-0.01384,-0.00647,0.01438,0.01492,-0.03468,0.01693,0.05863,0.01484,0.00004,0.00822,-0.04324,-0.02243","-0.04488,-0.00546,-0.03971,-0.01708,-0.02243,-0.02541,0.00107,0.01941,0.00127,-0.02879,-0.03777,-0.03775",-0.03239228455041321
static,weekly_stable_flow,30,4,0.35,0.005979162111190359,-0.03739319807043269,6,-0.019265502949208403,-0.04312863905500832,10,0.0022859774783556682,-0.060448630610982754,54,"-0.00677,-0.01437,0.01562,0.01996,-0.03739,0.03103,0.07439,0.02363,-0.00664,0.02412,-0.03380,-0.01803","-0.03584,-0.00283,-0.04313,-0.01219,-0.01803,-0.02427,0.00563,0.01382,-0.00278,-0.03140,-0.03975,-0.04041",-0.029939718621441846
static,weekly_stable_flow,30,8,0.0,-0.002837979438353459,-0.03915532045285247,7,0.01025265924011309,-0.03491563251351308,5,0.005608900777168169,-0.05174693661780505,54,"-0.03916,0.00865,-0.00365,-0.00044,-0.01457,-0.01230,0.00314,-0.02809,0.06711,0.01344,-0.02934,0.00116","-0.02345,-0.01838,-0.03492,-0.00460,0.00116,0.02036,0.05138,0.06338,0.05166,-0.00591,0.01179,0.01056",-0.020966383144407054
static,weekly_stable_flow,30,8,0.1,-0.0034972624013037087,-0.0450621031029245,7,-0.01564961007455045,-0.04510842653864999,9,0.0038879569924655617,-0.07044761638895435,51,"-0.01890,-0.00254,0.00045,0.00551,-0.03468,-0.00100,0.04679,0.00025,0.03087,-0.00494,-0.04506,-0.01870","-0.04511,-0.00972,-0.03670,-0.01031,-0.01870,-0.02805,0.00038,0.02065,0.00722,-0.02794,-0.02647,-0.01304",-0.03555844706866224
static,weekly_stable_flow,30,8,0.2,0.00012588721343921352,-0.04466662703516948,5,-0.01992048442837596,-0.04674442729402106,10,0.0024200524806409743,-0.07059874999906468,47,"-0.01416,-0.00615,0.01421,0.01405,-0.03644,0.01929,0.05591,0.01377,0.00177,0.00606,-0.04467,-0.02212","-0.04674,-0.00347,-0.03945,-0.01756,-0.02212,-0.02588,-0.00046,0.01943,0.00237,-0.02961,-0.03615,-0.03941",-0.034151667625461075
static,weekly_stable_flow,30,8,0.35,0.005943697791199783,-0.038125744877009746,6,-0.018711209270649874,-0.042761066289328305,9,0.0024274223691630754,-0.06336003910559844,54,"-0.00413,-0.01507,0.01467,0.02064,-0.03813,0.03175,0.07560,0.02172,-0.00757,0.02485,-0.03410,-0.01892","-0.03564,0.00013,-0.04276,-0.01157,-0.01892,-0.02475,0.00657,0.01453,-0.00142,-0.03075,-0.04025,-0.03970",-0.028881471244995398
