factor,direction,gamma,power,mean,min,max,neg,vals
BASE,,0.0,0.0,0.08097528186967097,0.037990514755667566,0.16840892117384698,0,"0.03799,0.06872,0.16841,0.04100,0.04546,0.07761,0.07291,0.08181,0.09959,0.09370,0.08142,0.10309"
price_volume_corr_20d,high,0.15,0.5,0.08093088132118297,0.038256562391283506,0.16624678276404203,0,"0.03826,0.06895,0.16625,0.04116,0.04521,0.07832,0.07304,0.08212,0.09927,0.09387,0.08167,0.10307"
trend_quality_20d,high,0.15,0.5,0.08092687327041687,0.03806923108267839,0.16807721483336055,0,"0.03807,0.06804,0.16808,0.04106,0.04515,0.07815,0.07295,0.08207,0.09937,0.09384,0.08131,0.10304"
ret_20d,high,0.15,0.5,0.08090755414930507,0.03810049408129172,0.16787983217486566,0,"0.03810,0.06785,0.16788,0.04095,0.04506,0.07835,0.07308,0.08233,0.09917,0.09395,0.08133,0.10284"
trend_quality_20d,high,0.15,1.0,0.08090681817090613,0.03801008130029857,0.1678258619184881,0,"0.03801,0.06797,0.16783,0.04112,0.04503,0.07828,0.07299,0.08220,0.09928,0.09395,0.08123,0.10300"
close_location_ma5,high,0.15,0.5,0.08090257758568177,0.03801671515325496,0.16812116645664732,0,"0.03802,0.06794,0.16812,0.04074,0.04539,0.07800,0.07295,0.08195,0.09936,0.09396,0.08128,0.10310"
residual_ret_20d,high,0.15,0.5,0.08089396742499362,0.03790385780649543,0.16772945495732455,0,"0.03790,0.06785,0.16773,0.04096,0.04508,0.07835,0.07294,0.08236,0.09929,0.09401,0.08137,0.10289"
price_volume_corr_20d,high,0.15,1.0,0.08089006993072084,0.03824359878276465,0.16571337781110396,0,"0.03824,0.06900,0.16571,0.04114,0.04507,0.07844,0.07310,0.08224,0.09920,0.09391,0.08165,0.10298"
trend_quality_20d,high,0.15,2.0,0.08088677745036987,0.03792374345157871,0.16751136822374094,0,"0.03792,0.06807,0.16751,0.04120,0.04501,0.07822,0.07303,0.08225,0.09914,0.09411,0.08119,0.10298"
drawdown_20d,high,0.15,2.0,0.08088254870682268,0.037983999028606455,0.16690964690562393,0,"0.03798,0.06843,0.16691,0.04187,0.04492,0.07778,0.07297,0.08209,0.09899,0.09399,0.08167,0.10298"
ret_20d,high,0.15,1.0,0.08087547611609495,0.037991917392291054,0.16739547541036182,0,"0.03799,0.06787,0.16740,0.04091,0.04495,0.07843,0.07318,0.08238,0.09903,0.09417,0.08128,0.10293"
price_volume_corr_20d,high,0.3,0.5,0.0808674920287923,0.038489654988525225,0.1643786705210164,0,"0.03849,0.06914,0.16438,0.04129,0.04500,0.07864,0.07316,0.08238,0.09899,0.09401,0.08188,0.10305"
downside_vol_20d,low,0.15,2.0,0.08086712889128213,0.0378950860862333,0.16834218107474627,0,"0.03790,0.06833,0.16834,0.04112,0.04479,0.07759,0.07291,0.08181,0.09952,0.09368,0.08137,0.10305"
residual_ret_20d,high,0.15,1.0,0.08086659635809477,0.03784089995335991,0.16726128896534076,0,"0.03784,0.06786,0.16726,0.04092,0.04497,0.07842,0.07296,0.08248,0.09915,0.09424,0.08134,0.10295"
intraday_mean_5d,high,0.15,0.5,0.08086623770473465,0.03793563678485541,0.16794702245655646,0,"0.03794,0.06754,0.16795,0.04100,0.04487,0.07878,0.07293,0.08176,0.09905,0.09379,0.08188,0.10291"
vol_20d,low,0.15,2.0,0.0808641136803771,0.03772758867336742,0.16836645334882033,0,"0.03773,0.06820,0.16837,0.04112,0.04506,0.07749,0.07291,0.08181,0.09948,0.09370,0.08142,0.10308"
trend_quality_20d,high,0.3,0.5,0.08086296282639051,0.03813973203555299,0.16777683518776473,0,"0.03814,0.06745,0.16778,0.04112,0.04488,0.07838,0.07299,0.08229,0.09917,0.09395,0.08122,0.10299"
obv_20d,high,0.15,2.0,0.0808623848057344,0.03789608880522163,0.16703404292204652,0,"0.03790,0.06807,0.16703,0.04098,0.04560,0.07862,0.07289,0.08223,0.09894,0.09366,0.08139,0.10304"
intraday_mean_5d,high,0.15,1.0,0.08085588397825762,0.03798075655432451,0.16760645045725148,0,"0.03798,0.06785,0.16761,0.04102,0.04467,0.07885,0.07291,0.08176,0.09895,0.09376,0.08197,0.10293"
drawdown_20d,high,0.15,1.0,0.08085483101376928,0.03792921318792099,0.16619576125292843,0,"0.03793,0.06824,0.16620,0.04181,0.04505,0.07822,0.07310,0.08214,0.09907,0.09398,0.08155,0.10297"
obv_20d,high,0.15,0.5,0.08085452932170735,0.037859051896781036,0.16755425753659797,0,"0.03786,0.06799,0.16755,0.04099,0.04553,0.07834,0.07290,0.08198,0.09913,0.09341,0.08152,0.10307"
intraday_mean_5d,high,0.15,2.0,0.0808513697664656,0.037990286219142945,0.16716727273945078,0,"0.03799,0.06831,0.16717,0.04104,0.04469,0.07876,0.07291,0.08179,0.09889,0.09368,0.08200,0.10299"
obv_20d,high,0.15,1.0,0.08084609474797784,0.03787744974086567,0.16719948421749564,0,"0.03788,0.06794,0.16720,0.04099,0.04560,0.07857,0.07289,0.08210,0.09898,0.09348,0.08148,0.10305"
residual_ret_20d,high,0.15,2.0,0.08084224936947192,0.03783999790390195,0.16703864643837082,0,"0.03784,0.06776,0.16704,0.04087,0.04503,0.07833,0.07299,0.08246,0.09907,0.09443,0.08132,0.10297"
price_volume_corr_20d,high,0.15,2.0,0.08084067763068341,0.03818267046596925,0.1657594693875263,0,"0.03818,0.06899,0.16576,0.04098,0.04503,0.07833,0.07307,0.08225,0.09929,0.09387,0.08152,0.10283"
ret_20d,high,0.15,2.0,0.08083432495872646,0.03787150440184278,0.16708016814852783,0,"0.03787,0.06779,0.16708,0.04085,0.04502,0.07834,0.07323,0.08229,0.09896,0.09438,0.08124,0.10296"
vol_20d,low,0.15,1.0,0.08083410163352005,0.037596774123091786,0.16823364962377388,0,"0.03760,0.06808,0.16823,0.04137,0.04519,0.07735,0.07290,0.08183,0.09938,0.09368,0.08140,0.10301"
close_location_ma5,high,0.15,1.0,0.0808325055696108,0.037973221527233286,0.16793481050378253,0,"0.03797,0.06765,0.16793,0.04057,0.04533,0.07793,0.07299,0.08190,0.09929,0.09397,0.08140,0.10306"
downside_vol_20d,low,0.15,1.0,0.08082786592305923,0.03778506115684374,0.1680526697643296,0,"0.03779,0.06839,0.16805,0.04126,0.04481,0.07769,0.07291,0.08182,0.09935,0.09366,0.08127,0.10296"
vol_20d,low,0.15,0.5,0.08082661930596914,0.0376210676943571,0.16804488225456513,0,"0.03762,0.06802,0.16804,0.04163,0.04530,0.07728,0.07288,0.08187,0.09943,0.09356,0.08139,0.10288"
close_location_ma5,high,0.3,0.5,0.08082617794306776,0.038040877693313865,0.1678852011016178,0,"0.03804,0.06725,0.16789,0.04054,0.04533,0.07817,0.07299,0.08208,0.09915,0.09419,0.08116,0.10312"
drawdown_20d,high,0.15,0.5,0.08081821025430798,0.037862417859767836,0.16585851022200881,0,"0.03786,0.06832,0.16586,0.04171,0.04520,0.07831,0.07318,0.08207,0.09913,0.09388,0.08141,0.10288"
downside_vol_20d,low,0.15,0.5,0.08081036656512076,0.03775460527819503,0.16774051543147991,0,"0.03775,0.06856,0.16774,0.04146,0.04498,0.07771,0.07290,0.08187,0.09914,0.09356,0.08122,0.10283"
ret_20d,high,0.3,0.5,0.08080000034174067,0.038199920475257755,0.16720525492540778,0,"0.03820,0.06710,0.16721,0.04091,0.04473,0.07865,0.07323,0.08277,0.09879,0.09416,0.08125,0.10260"
trend_quality_20d,high,0.3,1.0,0.08079253509445197,0.038028467336135886,0.16713078277009355,0,"0.03803,0.06729,0.16713,0.04122,0.04465,0.07847,0.07306,0.08253,0.09900,0.09416,0.08106,0.10291"
ret_5d,low,0.15,2.0,0.08079071242703446,0.03796339663310745,0.16817589833268484,0,"0.03796,0.06904,0.16818,0.04091,0.04624,0.07526,0.07341,0.08185,0.09931,0.09370,0.08120,0.10242"
ret_5d,low,0.15,0.5,0.08078242215458806,0.03798323524991732,0.16759962091346328,0,"0.03798,0.06901,0.16760,0.04112,0.04599,0.07532,0.07327,0.08202,0.09958,0.09362,0.08118,0.10270"
residual_ret_20d,high,0.3,0.5,0.08077350126024276,0.03782654132850248,0.16692224787083948,0,"0.03783,0.06709,0.16692,0.04093,0.04477,0.07865,0.07296,0.08283,0.09902,0.09427,0.08132,0.10269"
price_volume_corr_20d,high,0.5,0.5,0.08077127189916673,0.038751309921150875,0.16225018225812024,0,"0.03875,0.06934,0.16225,0.04143,0.04475,0.07877,0.07328,0.08267,0.09867,0.09416,0.08213,0.10303"
price_volume_corr_20d,high,0.3,1.0,0.08077083978353165,0.03847901563230988,0.16325933598121153,0,"0.03848,0.06924,0.16326,0.04126,0.04472,0.07873,0.07327,0.08262,0.09883,0.09409,0.08186,0.10289"
trend_quality_20d,high,0.5,0.5,0.08077077955530869,0.03821224709648731,0.167335125572594,0,"0.03821,0.06678,0.16734,0.04117,0.04459,0.07855,0.07303,0.08252,0.09893,0.09407,0.08113,0.10294"
close_location_ma5,high,0.15,2.0,0.08077067243726023,0.037973628321379085,0.16770422015084688,0,"0.03797,0.06777,0.16770,0.04035,0.04521,0.07762,0.07299,0.08184,0.09925,0.09384,0.08165,0.10303"
turnover_z_20d,low,0.15,0.5,0.08077034622712442,0.03794165012990672,0.16788031344195953,0,"0.03794,0.06854,0.16788,0.04024,0.04518,0.07726,0.07285,0.08206,0.09946,0.09375,0.08131,0.10277"
drawdown_20d,high,0.3,2.0,0.08076646773320216,0.03797751473565146,0.16545241509765116,0,"0.03798,0.06814,0.16545,0.04264,0.04445,0.07767,0.07303,0.08236,0.09841,0.09427,0.08191,0.10288"
ret_5d,low,0.15,1.0,0.08076192384957111,0.03797629619792554,0.16771609177464736,0,"0.03798,0.06905,0.16772,0.04097,0.04620,0.07514,0.07338,0.08197,0.09943,0.09364,0.08115,0.10250"
downside_vol_20d,low,0.3,2.0,0.08076111061142872,0.03780129324842713,0.1682755408469814,0,"0.03780,0.06794,0.16828,0.04124,0.04422,0.07750,0.07291,0.08182,0.09945,0.09366,0.08132,0.10300"
vol_20d,low,0.3,2.0,0.0807600590784418,0.03747453736590008,0.16832403329822357,0,"0.03747,0.06769,0.16832,0.04125,0.04473,0.07738,0.07290,0.08181,0.09938,0.09370,0.08142,0.10307"
amount_z_20d,low,0.15,0.5,0.0807584201951655,0.03791459921615322,0.1677268243122205,0,"0.03791,0.06861,0.16773,0.04012,0.04524,0.07719,0.07287,0.08206,0.09951,0.09377,0.08131,0.10278"
trend_quality_20d,high,0.3,2.0,0.08074309327963326,0.037858784938024276,0.16644746199545207,0,"0.03786,0.06747,0.16645,0.04137,0.04459,0.07838,0.07315,0.08265,0.09870,0.09447,0.08098,0.10287"
turnover_z_20d,low,0.15,1.0,0.0807302239208178,0.03790339248939335,0.16801506719768503,0,"0.03790,0.06821,0.16802,0.04030,0.04508,0.07727,0.07282,0.08214,0.09944,0.09372,0.08127,0.10259"
close_location_ma5,high,0.5,0.5,0.08072973443067417,0.03807031509077978,0.1676295653704043,0,"0.03807,0.06645,0.16763,0.04033,0.04527,0.07823,0.07303,0.08224,0.09890,0.09445,0.08103,0.10314"
