model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
weekly_alpha_auto,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_auto_20260109.csv,ok,,0.012,0.021840000000000002,-0.00985,35
weekly_alpha_overlay,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_overlay_20260109.csv,ok,,0.012,0.021840000000000002,-0.00985,35
weekly_alpha_floor,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_floor_20260109.csv,ok,,0.01547,0.021840000000000002,-0.00637,50
weekly_alpha_current,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_current_20260109.csv,ok,,0.00322,0.021840000000000002,-0.01863,35
weekly_alpha_current,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_current_20260116.csv,ok,,0.08488,0.04341999999999999,0.041449999999999994,35
weekly_alpha_floor,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_floor_20260116.csv,ok,,0.09718,0.04341999999999999,0.05376,50
weekly_alpha_overlay,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_overlay_20260116.csv,ok,,0.08654999999999999,0.04341999999999999,0.043129999999999995,35
weekly_alpha_auto,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_auto_20260116.csv,ok,,0.08654999999999999,0.04341999999999999,0.043129999999999995,35
weekly_alpha_overlay,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_overlay_20260123.csv,ok,,-0.04535,-0.02557,-0.01978,35
weekly_alpha_current,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_current_20260123.csv,ok,,-0.03836,-0.02557,-0.01279,35
weekly_alpha_floor,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_floor_20260123.csv,ok,,-0.03717,-0.02557,-0.0116,50
weekly_alpha_auto,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_auto_20260123.csv,ok,,-0.03836,-0.02557,-0.01279,35
meta_portfolio_ensemble,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/dual_validation/fullweek12_20260510/meta_portfolio_ensemble_20260116.csv,ok,,0.09262000000000001,0.04341999999999999,0.04919,30
weekly_alpha_overlay,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_overlay_20260130.csv,ok,,0.00183,-0.026770000000000002,0.0286,35
meta_portfolio_ensemble,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/dual_validation/fullweek12_20260510/meta_portfolio_ensemble_20260109.csv,ok,,0.02556,0.021840000000000002,0.0037199999999999998,30
weekly_alpha_current,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_current_20260130.csv,ok,,-0.00425,-0.026770000000000002,0.02253,35
weekly_alpha_floor,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_floor_20260130.csv,ok,,0.00123,-0.026770000000000002,0.02801,50
weekly_alpha_auto,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_auto_20260130.csv,ok,,0.00183,-0.026770000000000002,0.0286,35
weekly_alpha_overlay,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/dual_validation/fullweek12_20260510/weekly_alpha_overlay_20260206.csv,ok,,0.07844000000000001,0.018799999999999997,0.05963,35
