model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
weekly_alpha_auto,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260109.csv,ok,,0.011995697068991963,0.02184372085495223,-0.009848023785960268,35
meta_portfolio_ensemble,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260109.csv,ok,,0.025454760550489966,0.02184372085495223,0.003611039695537735,30
weekly_consensus,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260116.csv,ok,,0.10975402866379183,0.04342355837240719,0.06633047029138464,30
weekly_consensus,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260109.csv,ok,,0.022002543930019512,0.02184372085495223,0.00015882307506728116,30
weekly_consensus,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260123.csv,ok,,-0.040510736532654856,-0.02556947095085227,-0.014941265581802587,30
weekly_alpha_auto,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260116.csv,ok,,0.08655219062978747,0.04342355837240719,0.043128632257380284,35
weekly_alpha_auto,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260123.csv,ok,,-0.0383639512573775,-0.02556947095085227,-0.012794480306525233,35
meta_portfolio_ensemble,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260116.csv,ok,,0.09261716759390193,0.04342355837240719,0.04919360922149474,30
meta_portfolio_ensemble,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260123.csv,ok,,-0.05566142467442118,-0.02556947095085227,-0.03009195372356891,30
weekly_alpha_auto,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260130.csv,ok,,0.001827746076257021,-0.02677336652920015,0.02860111260545717,35
weekly_consensus,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260130.csv,ok,,0.0006320664398916094,-0.02677336652920015,0.02740543296909176,30
weekly_consensus,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260206.csv,ok,,0.08752186664785834,0.018802385786234943,0.0687194808616234,30
meta_portfolio_ensemble,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260130.csv,ok,,0.011217148226467421,-0.02677336652920015,0.03799051475566757,30
weekly_consensus,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260227.csv,ok,,-0.04869104942738613,-0.03443052740386576,-0.014260522023520364,30
meta_portfolio_ensemble,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260206.csv,ok,,0.08752714242435329,0.018802385786234943,0.06872475663811835,30
weekly_alpha_auto,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260227.csv,ok,,-0.039469489348286105,-0.03443052740386576,-0.005038961944420342,35
weekly_alpha_auto,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260206.csv,ok,,0.07843613191961757,0.018802385786234943,0.059633746133382626,35
weekly_consensus,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260306.csv,ok,,0.10866127836656438,-0.014417723691694029,0.1230790020582584,30
weekly_alpha_auto,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260306.csv,ok,,0.11662442192182665,-0.014417723691694029,0.13104214561352068,35
meta_portfolio_ensemble,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260227.csv,ok,,-0.04481933159603381,-0.03443052740386576,-0.010388804192168047,30
meta_portfolio_ensemble,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260306.csv,ok,,0.0192399382176194,-0.014417723691694029,0.03365766190931343,40
weekly_consensus,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260313.csv,ok,,-0.05686801171572621,-0.058224849686849156,0.0013568379711229456,30
meta_portfolio_ensemble,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260313.csv,ok,,-0.047959242534048756,-0.058224849686849156,0.0102656071528004,30
weekly_alpha_auto,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260313.csv,ok,,-0.038927116413236984,-0.058224849686849156,0.019297733273612172,35
weekly_consensus,2026-03-20,2026-03-23,2026-03-27,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260320.csv,ok,,0.0011044077316086686,-0.002889548078185755,0.003993955809794424,30
weekly_alpha_auto,2026-03-20,2026-03-23,2026-03-27,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260320.csv,ok,,-0.001816433903795695,-0.002889548078185755,0.0010731141743900601,35
meta_portfolio_ensemble,2026-03-20,2026-03-23,2026-03-27,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260320.csv,ok,,-0.001756612278470134,-0.002889548078185755,0.0011329357997156213,30
weekly_consensus,2026-03-27,2026-03-30,2026-04-03,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260327.csv,ok,,-0.022759497876094076,-0.02619360438502094,0.003434106508926865,30
weekly_alpha_auto,2026-03-27,2026-03-30,2026-04-03,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260327.csv,ok,,-0.03833767148791686,-0.02619360438502094,-0.012144067102895922,35
meta_portfolio_ensemble,2026-03-27,2026-03-30,2026-04-03,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260327.csv,ok,,-0.025999942856450065,-0.02619360438502094,0.0001936615285708758,30
weekly_alpha_auto,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260410.csv,ok,,0.059127841386763254,0.03072126825663024,0.028406573130133013,35
weekly_consensus,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260410.csv,ok,,0.0475964223084378,0.03072126825663024,0.01687515405180756,30
