model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
hybrid_gate_factor_ic_dampen,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_factor_ic_dampen_20260109.csv,ok,,0.008129438066362014,0.02184372085495223,-0.013714282788590217,30
hybrid_gate_no_secondary,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_no_secondary_20260109.csv,ok,,0.02378595621873459,0.02184372085495223,0.001942235363782359,30
hybrid_gate_no_secondary,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_no_secondary_20260116.csv,ok,,0.07284300728050677,0.04342355837240719,0.029419448908099582,30
hybrid_gate_factor_ic_dampen,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_factor_ic_dampen_20260116.csv,ok,,0.07284300728050677,0.04342355837240719,0.029419448908099582,30
hybrid_gate_adaptive_cap,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_adaptive_cap_20260109.csv,ok,,0.008129438066362014,0.02184372085495223,-0.013714282788590217,30
hybrid_gate_no_secondary,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_no_secondary_20260123.csv,ok,,-0.03160971305425064,-0.02556947095085227,-0.006040242103398374,30
hybrid_gate_factor_ic_dampen,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_factor_ic_dampen_20260123.csv,ok,,-0.05365742526420389,-0.02556947095085227,-0.02808795431335162,30
hybrid_gate_adaptive_cap,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_adaptive_cap_20260116.csv,ok,,0.07284300728050677,0.04342355837240719,0.029419448908099582,30
hybrid_gate_adaptive_cap,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_adaptive_cap_20260123.csv,ok,,-0.05365742526420389,-0.02556947095085227,-0.02808795431335162,30
hybrid_gate_factor_ic_dampen,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_factor_ic_dampen_20260130.csv,ok,,0.010852977233450266,-0.02677336652920015,0.037626343762650415,30
hybrid_gate_adaptive_cap,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/fast_numpy/hybrid_fullweek12_20260510/hybrid_gate_adaptive_cap_20260130.csv,ok,,0.010852977233450266,-0.02677336652920015,0.037626343762650415,30
