model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
hybrid_gate,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/hybrid_gate_20260306.csv,ok,,0.01924,-0.014419999999999999,0.03366,40
meta_portfolio_ensemble,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/meta_portfolio_ensemble_20260306.csv,ok,,0.01924,-0.014419999999999999,0.03366,40
hybrid_gate,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/hybrid_gate_20260313.csv,ok,,-0.04796,-0.05822,0.01027,30
meta_portfolio_ensemble,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/meta_portfolio_ensemble_20260313.csv,ok,,-0.04796,-0.05822,0.01027,30
hybrid_gate,2026-03-20,2026-03-23,2026-03-27,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/hybrid_gate_20260320.csv,ok,,0.00473,-0.0028899999999999998,0.00762,30
meta_portfolio_ensemble,2026-03-20,2026-03-23,2026-03-27,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/meta_portfolio_ensemble_20260320.csv,ok,,-0.0017599999999999998,-0.0028899999999999998,0.00113,30
hybrid_gate,2026-03-27,2026-03-30,2026-04-03,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/hybrid_gate_20260327.csv,ok,,-0.03403,-0.02619,-0.00784,30
meta_portfolio_ensemble,2026-03-27,2026-03-30,2026-04-03,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/meta_portfolio_ensemble_20260327.csv,ok,,-0.026000000000000002,-0.02619,0.00018999999999999998,30
hybrid_gate,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/hybrid_gate_20260410.csv,ok,,0.04386,0.03072,0.01313,30
meta_portfolio_ensemble,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/meta_portfolio_ensemble_20260410.csv,ok,,0.054009999999999996,0.03072,0.02328,30
hybrid_gate,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/hybrid_gate_20260417.csv,ok,,0.025099999999999997,0.0040999999999999995,0.021,30
meta_portfolio_ensemble,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/full_week/stage2_fullweek_core_6w_20260510/meta_portfolio_ensemble_20260417.csv,ok,,0.02811,0.0040999999999999995,0.024009999999999997,30
