cands,wg,mode,top,power,maxw,mean,median,min,max,neg,vals,objective
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,1:1:1,rerank,30,8,0.1,0.02667446283653269,0.011838150079769776,-0.013801419975149415,0.12481546880051894,2,"0.0002,0.0651,-0.0133,0.0292,0.0708,-0.0138,0.1248,0.0035,0.0014,0.0034,0.0202,0.0286",-0.0020549441246260278
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,3:2:1,rerank,35,8,0.08,0.024858829598685333,0.008344187172620018,-0.011276417131023453,0.12572279991595353,2,"0.0037,0.0616,-0.0055,0.0236,0.0491,-0.0113,0.1257,0.0058,0.0043,0.0009,0.0109,0.0295",-0.0034037645281427345
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1,rerank,30,8,0.1,0.02470017960188094,0.012514439128214367,-0.013291258426351663,0.0778014873453286,2,"-0.0023,0.0655,-0.0133,0.0246,0.0721,0.0026,0.0778,0.0017,0.0028,0.0076,0.0175,0.0400",-0.0035202437154657484
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,3:2:1,rerank,30,8,0.08,0.02525655832968068,0.009503451026229907,-0.012750943875466457,0.12713115476605713,2,"0.0040,0.0623,-0.0038,0.0241,0.0485,-0.0128,0.1271,0.0064,0.0039,0.0006,0.0126,0.0301",-0.003542972687730222
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,3:2:1,rerank,40,8,0.08,0.024384657251111868,0.008119064241277302,-0.010761357420830175,0.12379181446811549,2,"0.0024,0.0609,-0.0083,0.0233,0.0498,-0.0108,0.1238,0.0060,0.0043,0.0010,0.0102,0.0298",-0.0036364379290030474
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:2:1,rerank,30,8,0.08,0.02572172733744416,0.009954745825233747,-0.014120829090876405,0.12432265520218994,2,"0.0047,0.0716,-0.0065,0.0241,0.0489,-0.0141,0.1243,0.0072,0.0038,0.0013,0.0127,0.0307",-0.003764346369511562
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1,rerank,35,8,0.1,0.02467113791426644,0.011786050262519348,-0.013648676316408807,0.0798754585242511,2,"-0.0019,0.0664,-0.0136,0.0250,0.0720,0.0012,0.0799,0.0009,0.0028,0.0073,0.0163,0.0399",-0.00398225279682304
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1,rerank,40,8,0.1,0.024531650068440398,0.010798128875525816,-0.013686087835139707,0.08108294428239379,2,"-0.0015,0.0658,-0.0137,0.0252,0.0721,0.0011,0.0811,0.0006,0.0029,0.0063,0.0153,0.0393",-0.004440563969985684
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:2:1,rerank,35,8,0.08,0.024942344204987994,0.008688306180979401,-0.014657637326668374,0.12386139567611684,2,"0.0038,0.0676,-0.0081,0.0236,0.0497,-0.0147,0.1239,0.0063,0.0040,0.0019,0.0110,0.0302",-0.005245746336719211
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:2:1,rerank,40,8,0.08,0.024240961265209082,0.008390821581201864,-0.013659256197759102,0.12035776984255889,2,"0.0022,0.0653,-0.0109,0.0233,0.0505,-0.0137,0.1204,0.0064,0.0040,0.0024,0.0103,0.0306",-0.0054373459790858225
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:2:1,rerank,30,4,0.08,0.023555199218316576,0.007669350410611252,-0.013336611068165277,0.11624936360769828,2,"0.0007,0.0626,-0.0133,0.0234,0.0511,-0.0114,0.1162,0.0064,0.0041,0.0026,0.0089,0.0312",-0.006145962299399215
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,40,8,0.08,0.021038246706900993,0.010912046635378989,-0.01086757170845671,0.07741084089737853,2,"-0.0094,0.0690,-0.0109,0.0206,0.0459,0.0014,0.0774,0.0153,0.0001,0.0065,0.0034,0.0330",-0.006208682327559337
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1,rerank,30,4,0.1,0.023956598276664937,0.00914285752683416,-0.015517555566547964,0.08274783457187682,2,"-0.0034,0.0648,-0.0155,0.0250,0.0723,0.0014,0.0827,0.0005,0.0032,0.0047,0.0135,0.0382",-0.00661107780521359
