factor,direction,mean_excess,min_excess,max_excess,neg_windows,vals
ret_1d,high,0.0208189635687564,-0.025239628305069664,0.05583976541014813,1,"0.01511,-0.02524,0.02226,0.01163,0.04531,0.05584"
ret_15d,low,0.01958900203407128,-0.014616271043656898,0.04585797265591319,2,"-0.01462,0.02696,0.02160,-0.00576,0.04349,0.04586"
ret_15d_rank,low,0.01958900203407128,-0.014616271043656898,0.04585797265591319,2,"-0.01462,0.02696,0.02160,-0.00576,0.04349,0.04586"
overnight_vol_20d,low,0.016343828199607547,-0.016163522322853403,0.05020583054970533,2,"0.03206,0.05021,-0.00997,0.03338,-0.01616,0.00855"
overnight_vol_20d_rank,low,0.016343828199607547,-0.016163522322853403,0.05020583054970533,2,"0.03206,0.05021,-0.00997,0.03338,-0.01616,0.00855"
ret_2d,high,0.01553885123691589,-0.013292593495135605,0.0551382040693207,1,"0.01873,-0.01329,0.00631,0.01038,0.05514,0.01596"
ret_2d_rank,high,0.01553885123691589,-0.013292593495135605,0.0551382040693207,1,"0.01873,-0.01329,0.00631,0.01038,0.05514,0.01596"
vol_ratio_5_20,low,0.015321880922035383,-0.010040229886528501,0.08076246512416607,2,"0.08076,0.00750,0.01122,-0.00265,-0.01004,0.00514"
vol_ratio_5_20_rank,low,0.015321880922035383,-0.010040229886528501,0.08076246512416607,2,"0.08076,0.00750,0.01122,-0.00265,-0.01004,0.00514"
ret_3d,high,0.015242851333456008,-0.005544266450323854,0.050549967264525444,1,"0.01537,0.00912,0.01464,0.00732,0.05055,-0.00554"
ret_3d_rank,high,0.015242851333456008,-0.005544266450323854,0.050549967264525444,1,"0.01537,0.00912,0.01464,0.00732,0.05055,-0.00554"
drawdown_20d,low,0.015020286352870558,-0.008767136699105553,0.05650545151143027,2,"-0.00877,-0.00122,0.02366,0.00263,0.01730,0.05651"
drawdown_20d_rank,low,0.015020286352870558,-0.008767136699105553,0.05650545151143027,2,"-0.00877,-0.00122,0.02366,0.00263,0.01730,0.05651"
obv_20d,high,0.014715350247166989,-0.03935798887447982,0.051664351154731725,1,"0.05166,0.01392,0.03519,-0.03936,0.01250,0.01438"
obv_20d_rank,high,0.014715350247166989,-0.03935798887447982,0.051664351154731725,1,"0.05166,0.01392,0.03519,-0.03936,0.01250,0.01438"
downside_vol_20d,high,0.014340695779104524,-0.027180507736054453,0.08279464189754557,3,"-0.02718,-0.00204,0.00979,-0.00109,0.08279,0.02377"
downside_vol_20d_rank,high,0.014340695779104524,-0.027180507736054453,0.08279464189754557,3,"-0.02718,-0.00204,0.00979,-0.00109,0.08279,0.02377"
vol_5d,low,0.011786345708177682,-0.021886195647703423,0.06569308044710069,3,"0.06569,0.03706,-0.00577,0.00468,-0.02189,-0.00906"
gap_mean_5d,high,0.011302715006309567,-0.03282320564568875,0.04918726505493469,2,"-0.00372,0.03195,0.01081,0.01241,0.04919,-0.03282"
gap_mean_5d_rank,high,0.011302715006309567,-0.03282320564568875,0.04918726505493469,2,"-0.00372,0.03195,0.01081,0.01241,0.04919,-0.03282"
range_vol_20d,low,0.009892242459978029,-0.023241245003023332,0.04593948136717549,3,"0.02499,0.04594,-0.00719,0.03176,-0.02324,-0.01290"
range_vol_20d_rank,low,0.009892242459978029,-0.023241245003023332,0.04593948136717549,3,"0.02499,0.04594,-0.00719,0.03176,-0.02324,-0.01290"
intraday_mean_20d,low,0.009863753792747882,-0.0265267879353996,0.04241748017038165,2,"0.01385,0.01901,0.01148,-0.00105,0.04242,-0.02653"
intraday_mean_20d_rank,low,0.009863753792747882,-0.0265267879353996,0.04241748017038165,2,"0.01385,0.01901,0.01148,-0.00105,0.04242,-0.02653"
ret_min_20d,low,0.009738605736291591,-0.0261179056840114,0.07117969700682647,2,"0.00178,0.00950,-0.02612,0.00465,0.07118,-0.00255"
ret_min_20d_rank,low,0.009738605736291591,-0.0261179056840114,0.07117969700682647,2,"0.00178,0.00950,-0.02612,0.00465,0.07118,-0.00255"
vol_20d,low,0.009561672526925418,-0.024726824268374185,0.04302566614084154,3,"0.02320,0.04303,-0.01681,0.03385,-0.02473,-0.00117"
vol_20d_rank,low,0.009561672526925418,-0.024726824268374185,0.04302566614084154,3,"0.02320,0.04303,-0.01681,0.03385,-0.02473,-0.00117"
gap_mean_20d,high,0.009126428214781592,-0.01807422467801384,0.02683594302949227,1,"0.00572,0.01166,0.02111,0.00751,0.02684,-0.01807"
gap_mean_20d_rank,high,0.009126428214781592,-0.01807422467801384,0.02683594302949227,1,"0.00572,0.01166,0.02111,0.00751,0.02684,-0.01807"
close_pos_20d,high,0.0087845354891366,-0.017967837211831268,0.04746710292219806,2,"0.01308,-0.01456,0.01475,0.00994,-0.01797,0.04747"
close_pos_20d_rank,high,0.0087845354891366,-0.017967837211831268,0.04746710292219806,2,"0.01308,-0.01456,0.01475,0.00994,-0.01797,0.04747"
ret_120d,low,0.008244229345062344,-0.016569822344210013,0.044155558602956176,2,"0.00129,0.04416,0.02948,0.00684,-0.01573,-0.01657"
ret_120d_rank,low,0.008244229345062344,-0.016569822344210013,0.044155558602956176,2,"0.00129,0.04416,0.02948,0.00684,-0.01573,-0.01657"
volume_price_confirm_20d,high,0.007390030910301551,-0.027054696070384056,0.05190721321235735,3,"-0.02378,-0.00608,0.03619,-0.02705,0.05191,0.01315"
amount_z_20d,high,0.007053067061672983,-0.010141873741198203,0.03367657021488728,2,"0.03368,0.00042,0.01539,-0.01014,0.00991,-0.00693"
amount_z_20d_rank,high,0.007053067061672983,-0.010141873741198203,0.03367657021488728,2,"0.03368,0.00042,0.01539,-0.01014,0.00991,-0.00693"
intraday_vol_20d,low,0.0067747316723747045,-0.02630407620837525,0.04232214682296494,3,"0.02201,0.04232,-0.01686,0.02733,-0.02630,-0.00785"
intraday_vol_20d_rank,low,0.0067747316723747045,-0.02630407620837525,0.04232214682296494,3,"0.02201,0.04232,-0.01686,0.02733,-0.02630,-0.00785"
ma5_over_ma20,low,0.006688808536252577,-0.006524117192646707,0.029633446662031503,2,"-0.00384,0.00605,0.02963,-0.00652,0.00298,0.01184"
ma5_over_ma20_rank,low,0.006688808536252577,-0.006524117192646707,0.029633446662031503,2,"-0.00384,0.00605,0.02963,-0.00652,0.00298,0.01184"
close_over_ma20,low,0.00660604470937513,-0.008834176599460758,0.035575113632326474,3,"-0.00359,0.00933,0.03558,-0.00883,0.01129,-0.00413"
close_location_ma20,low,0.006600702902646705,-0.007640353623001094,0.018847223806576947,2,"0.01885,0.01825,-0.00764,0.00904,0.00356,-0.00245"
close_location_ma20_rank,low,0.006600702902646705,-0.007640353623001094,0.018847223806576947,2,"0.01885,0.01825,-0.00764,0.00904,0.00356,-0.00245"
amplitude_ma_20d,low,0.006324034698009411,-0.02336115481166366,0.0383671435718176,3,"0.02155,0.03837,-0.01924,0.02683,-0.02336,-0.00620"
amplitude_ma_20d_rank,low,0.006324034698009411,-0.02336115481166366,0.0383671435718176,3,"0.02155,0.03837,-0.01924,0.02683,-0.02336,-0.00620"
