as_of,start,end,final_route,factor,direction,active_layer,realized_target_excess_5d_rank_ic,top30_target_excess_5d_mean,universe_target_excess_5d_mean,top30_target_excess_5d_spread,trailing_target_excess_5d_ic_mean,trailing_target_excess_5d_ic_std,trailing_target_excess_5d_icir,trailing_target_excess_5d_ic_pos_rate,trailing_target_excess_5d_days,trailing_top30_target_excess_5d_spread_mean,realized_target_5d_rank_ic,top30_target_5d_mean,universe_target_5d_mean,top30_target_5d_spread,trailing_target_5d_ic_mean,trailing_target_5d_ic_std,trailing_target_5d_icir,trailing_target_5d_ic_pos_rate,trailing_target_5d_days,trailing_top30_target_5d_spread_mean
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,ret_60d,low,regime_alpha,0.29634310478172826,0.029125057237006882,0.010123917984313608,0.019001139252693276,0.014429485832300784,0.15994319931839934,0.09021631362753954,0.5166666666666667,60,-0.0003067351723572838,0.29634310478172826,0.0023516907078067343,-0.01664944854488654,0.019001139252693273,0.014429485832300784,0.15994319931839934,0.09021631362753954,0.5166666666666667,60,-0.0003067351723572846
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,amount_z_20d,low,liquidity_alpha,0.09227265058045296,0.03425939106901384,0.010123917984313608,0.024135473084700237,0.01977306305728169,0.1290857060821453,0.1531777890628638,0.45,60,-0.0018318350078122725,0.09227265058045296,0.007486024539813696,-0.01664944854488654,0.024135473084700237,0.01977306305728169,0.1290857060821453,0.1531777890628638,0.45,60,-0.0018318350078122727
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,close_over_ma60,low,tree_secondary_alpha,0.3484562714302135,0.0251558346500561,0.010123917984313608,0.015031916665742493,0.028265286409855414,0.1651341493476703,0.17116560397417385,0.5333333333333333,60,-0.0008458809761286017,0.3484562714302135,-0.001617531879144048,-0.01664944854488654,0.015031916665742492,0.028265286409855414,0.1651341493476703,0.17116560397417385,0.5333333333333333,60,-0.0008458809761286034
2026-02-06,2026-02-09,2026-02-13,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha_final_confidence_alpha,ret_20d,high,final_confidence_alpha,-0.09176792940071402,-0.009256626937674836,-0.006454230576468191,-0.002802396361206645,-0.048362113590185496,0.16896183665877754,-0.2862309888821459,0.45,60,0.0041090949862203855,-0.09176792940071402,0.009545758848560107,0.012348155209766752,-0.002802396361206645,-0.048362113590185496,0.16896183665877754,-0.2862309888821459,0.45,60,0.004109094986220385
2026-02-06,2026-02-09,2026-02-13,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha_final_confidence_alpha,amount_z_20d,low,liquidity_alpha,0.20191081978246098,0.008541770817250948,-0.006454230576468191,0.014996001393719139,0.03202228633078691,0.12736451589110284,0.2514223534454925,0.5333333333333333,60,0.00044703485109602223,0.20191081978246098,0.02734415660348589,0.012348155209766752,0.014996001393719139,0.03202228633078691,0.12736451589110284,0.2514223534454925,0.5333333333333333,60,0.0004470348510960218
2026-02-06,2026-02-09,2026-02-13,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha_final_confidence_alpha,intraday_ret,low,tree_secondary_alpha,-0.0898709259451696,-0.005520419384074634,-0.006454230576468191,0.0009338111923935574,0.0172012641922568,0.15607348516337394,0.11021259744569,0.5833333333333334,60,0.005744904654811981,-0.0898709259451696,0.01328196640216031,0.012348155209766752,0.0009338111923935574,0.0172012641922568,0.15607348516337394,0.11021259744569,0.5833333333333334,60,0.005744904654811981
2026-02-06,2026-02-09,2026-02-13,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha_final_confidence_alpha,overnight_ret,high,regime_alpha,-0.23037820144988738,-0.0239560359457409,-0.006454230576468191,-0.01750180536927271,0.0029691115622621877,0.1577098398168683,0.01882641923744201,0.5666666666666667,60,0.006160640039870335,-0.23037820144988738,-0.005153650159505955,0.012348155209766752,-0.01750180536927271,0.0029691115622621877,0.1577098398168683,0.01882641923744201,0.5666666666666667,60,0.006160640039870337
2026-02-13,2026-02-24,2026-03-02,factor_route,overnight_ret,low,factor_route,0.22780189790668656,0.10085407656638419,-0.007517840588446708,0.1083719171548309,0.011491238496174868,0.15430661152862638,0.07447016289410942,0.45,60,0.005976103054569127,0.22780189790668656,0.14407900889733835,0.03570709174250744,0.10837191715483091,0.011491238496174868,0.15430661152862638,0.07447016289410942,0.45,60,0.005976103054569127
2026-03-02,2026-03-03,2026-03-09,factor_route,downside_vol_20d,low,factor_route,0.3354096851710045,0.031459138512552054,0.007984007182281826,0.023475131330270228,-0.08564908127194712,0.21279769285466274,-0.4024906479152667,0.36666666666666664,60,-0.01244753335682219,0.3354096851710045,-0.01229673877284726,-0.035771870103117484,0.023475131330270224,-0.08564908127194712,0.21279769285466274,-0.4024906479152667,0.36666666666666664,60,-0.01244753335682219
2026-03-09,2026-03-10,2026-03-16,factor_route,turnover_ma_20d,low,factor_route,0.288753463755934,0.05385486735849072,0.009287163693739107,0.04456770366475161,-0.03644321680801994,0.22241811359748995,-0.1638500399925666,0.5,60,-0.006049129027764107,0.288753463755934,0.042461761921084716,-0.0021059417436669094,0.04456770366475163,-0.03644321680801994,0.22241811359748995,-0.1638500399925666,0.5,60,-0.006049129027764107
