file,pattern,count
stage2_weekly_consensus_ensemble.py,score_submission,0
stage2_weekly_consensus_ensemble.py,submissions/stage2/reports,0
stage2_weekly_consensus_ensemble.py,current_best,1
stage2_weekly_consensus_ensemble.py,archive_pre,0
stage2_weekly_consensus_ensemble.py,cache_dir,14
stage2_weekly_consensus_ensemble.py,meta_cache_dir,1
stage2_weekly_consensus_ensemble.py,shift(-,0
stage2_weekly_consensus_ensemble.py,target_excess,0
stage2_weekly_cycle_tree.py,score_submission,0
stage2_weekly_cycle_tree.py,submissions/stage2/reports,0
stage2_weekly_cycle_tree.py,current_best,1
stage2_weekly_cycle_tree.py,archive_pre,0
stage2_weekly_cycle_tree.py,cache_dir,0
stage2_weekly_cycle_tree.py,meta_cache_dir,0
stage2_weekly_cycle_tree.py,shift(-,0
stage2_weekly_cycle_tree.py,target_excess,2
stage2_weekly_alpha_overlay.py,score_submission,0
stage2_weekly_alpha_overlay.py,submissions/stage2/reports,0
stage2_weekly_alpha_overlay.py,current_best,1
stage2_weekly_alpha_overlay.py,archive_pre,0
stage2_weekly_alpha_overlay.py,cache_dir,11
stage2_weekly_alpha_overlay.py,meta_cache_dir,11
stage2_weekly_alpha_overlay.py,shift(-,0
stage2_weekly_alpha_overlay.py,target_excess,0
features.py,score_submission,0
features.py,submissions/stage2/reports,0
features.py,current_best,0
features.py,archive_pre,0
features.py,cache_dir,0
features.py,meta_cache_dir,0
features.py,shift(-,4
features.py,target_excess,2
