as_of,base,best_power,best,gain,curve
20260130,0.0379899999999999,3.0,0.037990514755667566,5.147556676673992e-07,"0.5:0.03309,1:0.03509,2:0.03763,3:0.03799,4:0.03747,6:0.03690,8:0.03619,10:0.03575,12:0.03538,16:0.03490,20:0.03465,24:0.03444,32:0.03415,48:0.03392,64:0.03387,96:0.03387"
20260206,0.06872,4.0,0.06864705898382843,-7.2941016171571e-05,"0.5:0.03577,1:0.04460,2:0.05999,3:0.06644,4:0.06865,6:0.06854,8:0.06806,10:0.06800,12:0.06809,16:0.06818,20:0.06804,24:0.06793,32:0.06778,48:0.06769,64:0.06771,96:0.06775"
20260213,0.16841,8.0,0.1684089211738471,-1.0788261529115495e-06,"0.5:0.10992,1:0.11953,2:0.13711,3:0.14920,4:0.15787,6:0.16674,8:0.16841,10:0.16719,12:0.16574,16:0.16388,20:0.16266,24:0.16161,32:0.15996,48:0.15792,64:0.15691,96:0.15620"
20260302,0.0409999999999999,6.0,0.040996288977364854,-3.7110226350431375e-06,"0.5:0.02612,1:0.02962,2:0.03670,3:0.03909,4:0.03838,6:0.04100,8:0.03810,10:0.03723,12:0.03681,16:0.03619,20:0.03565,24:0.03522,32:0.03457,48:0.03382,64:0.03345,96:0.03321"
20260309,0.04546,0.5,0.04553993353210724,7.993353210723753e-05,"0.5:0.04554,1:0.04503,2:0.04307,3:0.04225,4:0.04270,6:0.04157,8:0.04061,10:0.03992,12:0.03923,16:0.03817,20:0.03720,24:0.03691,32:0.03680,48:0.03652,64:0.03629,96:0.03604"
20260316,0.07761,6.0,0.07835083003196192,0.0007408300319619171,"0.5:0.03351,1:0.04345,2:0.06422,3:0.07593,4:0.07771,6:0.07835,8:0.07791,10:0.07722,12:0.07660,16:0.07587,20:0.07552,24:0.07527,32:0.07494,48:0.07459,64:0.07443,96:0.07431"
20260323,0.07291,96.0,0.07520903552714511,0.00229903552714511,"0.5:0.03599,1:0.04654,2:0.06194,3:0.06826,4:0.07014,6:0.07161,8:0.07143,10:0.07167,12:0.07178,16:0.07211,20:0.07291,24:0.07347,32:0.07419,48:0.07482,64:0.07506,96:0.07521"
20260330,0.08181,96.0,0.08574337954565626,0.003933379545656271,"0.5:0.04332,1:0.05304,2:0.06552,3:0.07125,4:0.07552,6:0.07945,8:0.08000,10:0.08046,12:0.08064,16:0.08101,20:0.08181,24:0.08245,32:0.08345,48:0.08469,64:0.08531,96:0.08574"
20260407,0.09959,96.0,0.10214694948571207,0.0025569494857120706,"0.5:0.04420,1:0.05682,2:0.07642,3:0.08706,4:0.08950,6:0.09239,8:0.09526,10:0.09683,12:0.09821,16:0.09962,20:0.09959,24:0.09972,32:0.10018,48:0.10113,64:0.10171,96:0.10215"
20260414,0.0936999999999999,12.0,0.09370039171380116,3.9171380127045463e-07,"0.5:0.05753,1:0.06765,2:0.08051,3:0.08864,4:0.09115,6:0.09166,8:0.09310,10:0.09359,12:0.09370,16:0.09359,20:0.09337,24:0.09304,32:0.09236,48:0.09139,64:0.09090,96:0.09057"
20260421,0.0814199999999999,96.0,0.08596208366345798,0.0045420836634580825,"0.5:0.05222,1:0.05964,2:0.06875,3:0.07103,4:0.07109,6:0.07469,8:0.07854,10:0.07951,12:0.07983,16:0.08049,20:0.08142,24:0.08221,32:0.08344,48:0.08486,64:0.08552,96:0.08596"
20260428,0.1030899999999999,96.0,0.10441875804362105,0.0013287580436211477,"0.5:0.05707,1:0.06634,2:0.07888,3:0.08607,4:0.08976,6:0.09630,8:0.09873,10:0.10014,12:0.10127,16:0.10261,20:0.10309,24:0.10342,32:0.10382,48:0.10417,64:0.10432,96:0.10442"
