factor,direction,top_k,power,mean,min,max,neg,vals
od_val_log_float_mv_z,high,30,24.0,0.008038793919707408,-0.062016405795977544,0.08603185056478124,6,"-0.06202,0.02428,0.08061,-0.04171,-0.02725,-0.02128,0.00559,-0.02364,0.05417,0.02914,-0.00746,0.08603"
od_val_log_total_mv_z,high,60,24.0,0.007350798006292191,-0.05394918604840135,0.07780607170765197,4,"-0.05395,0.01598,0.02151,0.00728,-0.01572,-0.01818,0.00786,-0.00434,0.03087,0.01678,0.00233,0.07781"
od_val_log_total_mv_z,high,50,16.0,0.00734696149132849,-0.05321192955986832,0.07808007059505023,4,"-0.05321,0.01620,0.02108,0.00626,-0.01447,-0.01814,0.00764,-0.00545,0.03044,0.01741,0.00233,0.07808"
od_val_log_total_mv_z,high,30,8.0,0.007278138191245943,-0.05352597307573331,0.07826851891606357,4,"-0.05353,0.01628,0.02166,0.00605,-0.01463,-0.01806,0.00730,-0.00539,0.03013,0.01735,0.00191,0.07827"
od_val_log_total_mv_z,high,40,16.0,0.007250477292717684,-0.054546657441630536,0.07758198384208945,4,"-0.05455,0.01573,0.02187,0.00761,-0.01658,-0.01828,0.00762,-0.00357,0.03087,0.01642,0.00227,0.07758"
od_val_log_float_mv_z,high,40,24.0,0.007219578115111886,-0.063269343664819,0.08600403384517413,6,"-0.06327,0.02255,0.07882,-0.04294,-0.02874,-0.02268,0.00574,-0.02405,0.05458,0.02914,-0.00853,0.08600"
od_val_log_float_mv_z,high,30,16.0,0.007215667400708591,-0.0632489314449446,0.08602356760247276,6,"-0.06325,0.02257,0.07880,-0.04295,-0.02873,-0.02267,0.00574,-0.02406,0.05457,0.02913,-0.00857,0.08602"
od_val_log_total_mv_z,high,50,24.0,0.007144939632638066,-0.054965830398518906,0.07712825575114979,4,"-0.05497,0.01542,0.02182,0.00802,-0.01753,-0.01855,0.00740,-0.00262,0.03096,0.01612,0.00255,0.07713"
od_val_log_total_mv_z,high,40,24.0,0.0069162560539605305,-0.05661341058437511,0.07651263424099891,4,"-0.05661,0.01469,0.02208,0.00916,-0.01867,-0.01877,0.00665,-0.00136,0.03127,0.01535,0.00270,0.07651"
od_val_float_ratio_z,low,30,24.0,0.006913948180358738,-0.02338260962987897,0.08251085166382288,6,"0.02201,-0.01681,-0.02338,0.00499,0.04248,-0.01813,-0.00798,-0.01781,0.08251,-0.00150,0.01630,0.00029"
od_val_log_total_mv_z,high,30,16.0,0.006910224513854066,-0.056645442041232646,0.07651200206178738,4,"-0.05665,0.01465,0.02213,0.00915,-0.01870,-0.01875,0.00665,-0.00135,0.03128,0.01532,0.00268,0.07651"
