lookback,top_n,top_k,power,max_weight,mean_excess,min_excess,max_excess,neg_windows,vals,choices
104,3,30,6,0.06,0.010375110895807074,-0.02863223258380388,0.040954803032861815,3,"-0.00162,0.02276,0.04095,-0.02863,0.02103,0.01052,0.00223,0.00185,0.01175,-0.01211,0.01804,0.03772",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,3,35,6,0.06,0.010142679193101106,-0.02873920270167752,0.03983920702061075,3,"-0.00371,0.02253,0.03984,-0.02874,0.02111,0.01063,0.00408,0.00127,0.01152,-0.01201,0.01791,0.03728",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,3,30,4,0.06,0.009889141049071064,-0.02889357114606449,0.038182055090473045,3,"-0.00395,0.02121,0.03818,-0.02889,0.02133,0.01036,0.00422,0.00129,0.01164,-0.01186,0.01835,0.03680",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
26,1,35,6,0.1,0.009681112853924262,-0.05327505607137288,0.06710159480353838,5,"-0.02039,0.02217,-0.05328,0.00360,0.01930,-0.00324,-0.01246,-0.00583,0.02033,0.01585,0.06301,0.06710",ret_3d:low / ret_3d:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_3d_rank:low / ret_3d_rank:low / ret_3d_rank:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
26,1,40,6,0.1,0.0096158969371293,-0.05064615189125944,0.06688250854786529,5,"-0.01914,0.02343,-0.05065,0.00277,0.01757,-0.00192,-0.01104,-0.00704,0.02008,0.01458,0.05986,0.06688",ret_3d:low / ret_3d:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_3d_rank:low / ret_3d_rank:low / ret_3d_rank:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
26,1,30,4,0.1,0.009612764950386056,-0.05090558882040716,0.06652721416769068,5,"-0.01921,0.02326,-0.05091,0.00253,0.01783,-0.00171,-0.01138,-0.00672,0.02073,0.01449,0.05990,0.06653",ret_3d:low / ret_3d:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_3d_rank:low / ret_3d_rank:low / ret_3d_rank:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
104,3,40,6,0.06,0.009478230027796256,-0.02897387663961168,0.036062267443998805,3,"-0.00454,0.01895,0.03556,-0.02897,0.02150,0.01009,0.00505,0.00074,0.01164,-0.01158,0.01925,0.03606",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
26,1,30,6,0.1,0.009456288377361018,-0.054959746355198354,0.06743906474911203,5,"-0.02202,0.02047,-0.05496,0.00444,0.02076,-0.00518,-0.01410,-0.00399,0.02249,0.01518,0.06296,0.06744",ret_3d:low / ret_3d:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_3d_rank:low / ret_3d_rank:low / ret_3d_rank:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
104,3,30,3,0.06,0.00927584483534822,-0.029145054754889876,0.03572448379084947,3,"-0.00583,0.01844,0.03414,-0.02915,0.02174,0.00979,0.00526,0.00095,0.01183,-0.01131,0.01972,0.03572",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
26,1,35,4,0.1,0.009273416797424671,-0.047115123895456315,0.06538543237477906,5,"-0.01725,0.02455,-0.04712,0.00123,0.01501,-0.00134,-0.01043,-0.00768,0.02072,0.01257,0.05563,0.06539",ret_3d:low / ret_3d:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_3d_rank:low / ret_3d_rank:low / ret_3d_rank:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
