model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
weekly_alpha_overlay,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_overlay_20260109.csv,ok,,0.01742,0.021840000000000002,-0.00442,30
weekly_alpha_current,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_current_20260109.csv,ok,,0.00322,0.021840000000000002,-0.01863,35
weekly_alpha_overlay,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_overlay_20260116.csv,ok,,0.09015000000000001,0.04341999999999999,0.04673,30
weekly_alpha_current,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_current_20260116.csv,ok,,0.08488,0.04341999999999999,0.041449999999999994,35
weekly_alpha_overlay,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_overlay_20260123.csv,ok,,-0.04809,-0.02557,-0.02252,30
weekly_alpha_current,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_current_20260123.csv,ok,,-0.03836,-0.02557,-0.01279,35
weekly_alpha_overlay,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_overlay_20260130.csv,ok,,0.00078,-0.026770000000000002,0.027549999999999998,30
weekly_alpha_current,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_current_20260130.csv,ok,,-0.00425,-0.026770000000000002,0.02253,35
weekly_alpha_overlay,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_overlay_20260206.csv,ok,,0.07867,0.018799999999999997,0.05986,30
weekly_alpha_current,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_current_20260206.csv,ok,,0.07223,0.018799999999999997,0.05343,35
weekly_alpha_overlay,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_overlay_20260227.csv,ok,,-0.03954,-0.03443,-0.0051,30
weekly_alpha_current,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_current_20260227.csv,ok,,-0.027160000000000004,-0.03443,0.0072699999999999996,35
weekly_alpha_overlay,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_overlay_20260306.csv,ok,,0.1209,-0.014419999999999999,0.13532,30
weekly_alpha_current,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_current_20260306.csv,ok,,0.06788,-0.014419999999999999,0.08228999999999999,35
weekly_alpha_overlay,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/full_week/stage2_weekly_alpha_overlay_12w_20260510/weekly_alpha_overlay_20260313.csv,ok,,-0.03961,-0.05822,0.01862,30
