model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
meta_portfolio_ensemble,2026-04-13,2026-04-14,2026-04-20,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260413.csv,ok,,0.09491,0.04045,0.054459999999999995,30
weekly_alpha_auto,2026-04-13,2026-04-14,2026-04-20,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260413.csv,ok,,0.09558,0.04045,0.055119999999999995,35
weekly_alpha_auto,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260414.csv,ok,,0.09871,0.02247,0.07624,35
meta_portfolio_ensemble,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260414.csv,ok,,0.11617000000000001,0.02247,0.09369999999999999,30
weekly_consensus,2026-04-13,2026-04-14,2026-04-20,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260413.csv,ok,,0.09606999999999999,0.04045,0.05561,30
weekly_consensus,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260414.csv,ok,,0.10635,0.02247,0.08388,30
weekly_alpha_auto,2026-04-15,2026-04-16,2026-04-22,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260415.csv,ok,,0.02068,0.04128999999999999,-0.0206,35
weekly_alpha_auto,2026-04-16,2026-04-17,2026-04-23,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260416.csv,ok,,-0.00909,0.014070000000000001,-0.02316,35
meta_portfolio_ensemble,2026-04-15,2026-04-16,2026-04-22,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260415.csv,ok,,0.02475,0.04128999999999999,-0.01653,30
meta_portfolio_ensemble,2026-04-16,2026-04-17,2026-04-23,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260416.csv,ok,,0.0001,0.014070000000000001,-0.01397,30
weekly_alpha_auto,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260417.csv,ok,,0.02497,0.0040999999999999995,0.020870000000000003,35
meta_portfolio_ensemble,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260417.csv,ok,,0.02811,0.0040999999999999995,0.024009999999999997,30
weekly_consensus,2026-04-16,2026-04-17,2026-04-23,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260416.csv,ok,,-0.00073,0.014070000000000001,-0.0148,30
weekly_consensus,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260417.csv,ok,,0.03274,0.0040999999999999995,0.02864,30
weekly_consensus,2026-04-15,2026-04-16,2026-04-22,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260415.csv,ok,,0.02388,0.04128999999999999,-0.017410000000000002,30
weekly_alpha_auto,2026-04-20,2026-04-21,2026-04-27,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260420.csv,ok,,0.04105,0.00109,0.03996,35
meta_portfolio_ensemble,2026-04-20,2026-04-21,2026-04-27,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260420.csv,ok,,0.043899999999999995,0.00109,0.042809999999999994,30
meta_portfolio_ensemble,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260421.csv,ok,,0.07339999999999999,-0.008020000000000001,0.08141999999999999,30
weekly_alpha_auto,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260421.csv,ok,,0.0689,-0.008020000000000001,0.07693,35
weekly_consensus,2026-04-20,2026-04-21,2026-04-27,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260420.csv,ok,,0.05819,0.00109,0.0571,30
weekly_alpha_auto,2026-04-22,2026-04-23,2026-04-29,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260422.csv,ok,,0.01733,-0.004030000000000001,0.02136,35
meta_portfolio_ensemble,2026-04-22,2026-04-23,2026-04-29,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260422.csv,ok,,0.0132,-0.004030000000000001,0.017230000000000002,30
weekly_consensus,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260421.csv,ok,,0.06291000000000001,-0.008020000000000001,0.07092999999999999,30
weekly_alpha_auto,2026-04-23,2026-04-24,2026-04-30,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260423.csv,ok,,0.06548,0.00655,0.058929999999999996,35
meta_portfolio_ensemble,2026-04-23,2026-04-24,2026-04-30,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260423.csv,ok,,0.06182000000000001,0.00655,0.055279999999999996,30
weekly_alpha_auto,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260424.csv,ok,,0.0347,0.04128999999999999,-0.00659,35
weekly_consensus,2026-04-22,2026-04-23,2026-04-29,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260422.csv,ok,,0.01662,-0.004030000000000001,0.020649999999999998,30
meta_portfolio_ensemble,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260424.csv,ok,,0.04173,0.04128999999999999,0.00043999999999999996,30
weekly_consensus,2026-04-23,2026-04-24,2026-04-30,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260423.csv,ok,,0.07014999999999999,0.00655,0.06361,30
meta_portfolio_ensemble,2026-04-27,2026-04-28,2026-05-07,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260427.csv,ok,,0.08664999999999999,0.04793,0.03872,30
weekly_alpha_auto,2026-04-27,2026-04-28,2026-05-07,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260427.csv,ok,,0.07915,0.04793,0.031219999999999998,35
weekly_consensus,2026-04-24,2026-04-27,2026-05-06,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260424.csv,ok,,0.04888,0.04128999999999999,0.00759,30
weekly_alpha_auto,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_alpha_auto_20260428.csv,ok,,0.15155,0.05975,0.09179,35
weekly_consensus,2026-04-27,2026-04-28,2026-05-07,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260427.csv,ok,,0.0724,0.04793,0.02448,30
meta_portfolio_ensemble,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/meta_portfolio_ensemble_20260428.csv,ok,,0.16283999999999998,0.05975,0.10308999999999999,30
weekly_consensus,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/weekly_cycle/rolling12_20260510/weekly_consensus_20260428.csv,ok,,0.15433,0.05975,0.09458,30
