model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
weekly_consensus,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260109.csv,ok,,0.022000000000000002,0.021840000000000002,0.00016,30
weekly_consensus,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260123.csv,ok,,-0.040510000000000004,-0.02557,-0.01494,30
weekly_consensus,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260130.csv,ok,,0.00063,-0.026770000000000002,0.02741,30
weekly_consensus,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260116.csv,ok,,0.10975,0.04341999999999999,0.06633,30
weekly_consensus,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260206.csv,ok,,0.08752,0.018799999999999997,0.06872,30
weekly_consensus,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260306.csv,ok,,0.10865999999999999,-0.014419999999999999,0.12308,30
weekly_consensus,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260313.csv,ok,,-0.056870000000000004,-0.05822,0.00136,30
weekly_consensus,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260227.csv,ok,,-0.04869,-0.03443,-0.01426,30
weekly_consensus,2026-03-20,2026-03-23,2026-03-27,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260320.csv,ok,,0.0011,-0.0028899999999999998,0.0039900000000000005,30
weekly_consensus,2026-04-10,2026-04-13,2026-04-17,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260410.csv,ok,,0.047599999999999996,0.03072,0.01688,30
weekly_consensus,2026-04-17,2026-04-20,2026-04-24,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260417.csv,ok,,0.03464,0.0040999999999999995,0.030539999999999998,30
weekly_consensus,2026-03-27,2026-03-30,2026-04-03,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_consensus_20260327.csv,ok,,-0.02276,-0.02619,0.0034300000000000003,30
