model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
weekly_alpha_auto,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260109.csv,ok,,0.012,0.021840000000000002,-0.00985,35
meta_portfolio_ensemble,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260116.csv,ok,,0.09262000000000001,0.04341999999999999,0.04919,30
meta_portfolio_ensemble,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260109.csv,ok,,0.02556,0.021840000000000002,0.0037199999999999998,30
weekly_alpha_auto,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260116.csv,ok,,0.08654999999999999,0.04341999999999999,0.043129999999999995,35
weekly_cycle_tree,2026-01-16,2026-01-19,2026-01-23,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_cycle_tree_20260116.csv,ok,,0.09226000000000001,0.04341999999999999,0.04884,40
weekly_cycle_tree,2026-01-09,2026-01-12,2026-01-16,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_cycle_tree_20260109.csv,ok,,0.05133,0.021840000000000002,0.02948,40
weekly_alpha_auto,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260123.csv,ok,,-0.03836,-0.02557,-0.01279,35
meta_portfolio_ensemble,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260123.csv,ok,,-0.05566,-0.02557,-0.03009,30
weekly_alpha_auto,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260130.csv,ok,,0.00183,-0.026770000000000002,0.0286,35
weekly_cycle_tree,2026-01-23,2026-01-26,2026-01-30,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_cycle_tree_20260123.csv,ok,,-0.04897,-0.02557,-0.023399999999999997,40
meta_portfolio_ensemble,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260130.csv,ok,,0.01122,-0.026770000000000002,0.037989999999999996,30
weekly_alpha_auto,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260206.csv,ok,,0.07844000000000001,0.018799999999999997,0.05963,35
weekly_cycle_tree,2026-01-30,2026-02-02,2026-02-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_cycle_tree_20260130.csv,ok,,-0.020259999999999997,-0.026770000000000002,0.006520000000000001,40
meta_portfolio_ensemble,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260227.csv,ok,,-0.04482,-0.03443,-0.01039,30
weekly_cycle_tree,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_cycle_tree_20260206.csv,ok,,0.0562,0.018799999999999997,0.0374,40
meta_portfolio_ensemble,2026-02-06,2026-02-09,2026-02-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260206.csv,ok,,0.08753,0.018799999999999997,0.06872,30
weekly_alpha_auto,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260227.csv,ok,,-0.03947,-0.03443,-0.00504,35
meta_portfolio_ensemble,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/meta_portfolio_ensemble_20260306.csv,ok,,0.01924,-0.014419999999999999,0.03366,40
weekly_alpha_auto,2026-03-06,2026-03-09,2026-03-13,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260306.csv,ok,,0.11662,-0.014419999999999999,0.13104,35
weekly_cycle_tree,2026-02-27,2026-03-02,2026-03-06,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_cycle_tree_20260227.csv,ok,,-0.03308,-0.03443,0.00135,40
weekly_alpha_auto,2026-03-13,2026-03-16,2026-03-20,submissions/stage2/backtests/weekly_cycle/fullweek12_20260510/weekly_alpha_auto_20260313.csv,ok,,-0.03893,-0.05822,0.019299999999999998,35
