k_sim,top_n,power,max_weight,penalty,mean_excess,min_excess,max_excess,neg_windows,vals,choices
30,1,6,0.1,0.5,0.020231898236812554,-0.054959746355198354,0.08483064603813921,3,"0.02975,0.00909,-0.05496,0.00444,-0.01703,0.03819,0.08483,-0.04190,0.02295,0.03704,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / ret_1d:high / vol_ratio_5_20:low / ret_1d:high / gap_mean_20d:high / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,1,4,0.1,0.5,0.019849854940483483,-0.05090558882040716,0.08443379157159368,3,"0.02830,0.00750,-0.05091,0.00253,-0.01453,0.03471,0.08443,-0.03723,0.02259,0.03438,0.05990,0.06653",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / ret_1d:high / vol_ratio_5_20:low / ret_1d:high / gap_mean_20d:high / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,1,4,0.08,0.5,0.017006623724813277,-0.04574129451800102,0.0784019616866562,4,"0.03414,0.00838,-0.04574,-0.00890,-0.01484,0.02192,0.07840,-0.02739,0.02257,0.03494,0.05019,0.05040",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / ret_1d:high / vol_ratio_5_20:low / ret_1d:high / gap_mean_20d:high / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,1,6,0.08,0.5,0.016770851802686,-0.04518554985715529,0.07788600101418196,4,"0.03699,0.01007,-0.04519,-0.00773,-0.01803,0.02004,0.07789,-0.02924,0.02415,0.03426,0.04871,0.04934",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / ret_1d:high / vol_ratio_5_20:low / ret_1d:high / gap_mean_20d:high / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,1,6,0.1,0.25,0.016386318713155403,-0.054959746355198354,0.06743906474911203,2,"0.02975,0.00909,-0.05496,0.00444,0.02076,0.03819,0.01451,-0.04190,0.00933,0.03704,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / vol_ratio_5_20:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,1,4,0.1,0.25,0.01571593316446161,-0.05090558882040716,0.06652721416769068,2,"0.02830,0.00750,-0.05091,0.00253,0.01783,0.03471,0.01463,-0.03723,0.01042,0.03438,0.05990,0.06653",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / vol_ratio_5_20:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high
999,1,6,0.1,0.25,0.0156614898466009,-0.054959746355198354,0.06743906474911203,2,"0.02975,0.00909,-0.05496,0.00444,0.02076,0.03819,0.01451,-0.04190,0.02249,0.01518,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
30,2,6,0.1,0.5,0.015547885032411552,-0.0578024304982145,0.06743906474911203,4,"0.03394,0.00909,-0.05780,0.01692,-0.02249,0.03246,0.04339,-0.00036,0.02446,-0.01588,0.05542,0.06744",ret_1d:high|ret_15d:low / ret_1d:high|ret_15d:low / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low / gap_mean_20d:high|vol_ratio_5_20:low / ret_1d:high|amount_z_20d:high / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|vol_ratio_5_20:low / gap_mean_20d:high|vol_ratio_5_20:low / overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low
999,1,4,0.1,0.25,0.014917674885086177,-0.05090558882040716,0.06652721416769068,2,"0.02830,0.00750,-0.05091,0.00253,0.01783,0.03471,0.01463,-0.03723,0.02073,0.01449,0.05990,0.06653",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
30,2,4,0.1,0.5,0.014375720972101541,-0.05663076392194593,0.06652721416769068,4,"0.03408,0.00750,-0.05663,0.01470,-0.02370,0.03254,0.04363,-0.00246,0.02284,-0.01684,0.05033,0.06653",ret_1d:high|ret_15d:low / ret_1d:high|ret_15d:low / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low / gap_mean_20d:high|vol_ratio_5_20:low / ret_1d:high|amount_z_20d:high / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|vol_ratio_5_20:low / gap_mean_20d:high|vol_ratio_5_20:low / overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low
