k_sim,top_n,top_k,power,max_weight,penalty,mean_excess,min_excess,max_excess,neg_windows,vals,choices
20,1,30,6,0.1,0.0,0.02614084017283873,-0.054959746355198354,0.06743906474911203,1,"0.02975,0.00909,-0.05496,0.02184,0.02076,0.03819,0.02090,0.03437,0.02919,0.03417,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,30,4,0.1,0.0,0.025093247714430125,-0.05090558882040716,0.06652721416769068,1,"0.02830,0.00750,-0.05091,0.02378,0.01783,0.03471,0.01947,0.03112,0.02885,0.03404,0.05990,0.06653",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,40,6,0.1,0.0,0.02500726053459794,-0.05064615189125944,0.06688250854786529,1,"0.02767,0.00707,-0.05065,0.02385,0.01757,0.03493,0.01958,0.03093,0.02857,0.03383,0.05986,0.06688",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,50,6,0.1,0.0,0.023293283537741658,-0.045109693527007166,0.06500969428284727,1,"0.02704,0.00557,-0.04511,0.02390,0.01392,0.03008,0.01626,0.02790,0.02782,0.03316,0.05396,0.06501",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,40,4,0.1,0.0,0.022677028784207215,-0.04284871529004257,0.06284562290104899,1,"0.02775,0.00513,-0.04285,0.02355,0.01347,0.02749,0.01523,0.02751,0.02762,0.03273,0.05165,0.06285",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,30,6,0.08,0.0,0.02240357861236215,-0.04518554985715529,0.04934445394228976,1,"0.03699,0.01007,-0.04519,0.01916,0.02101,0.02004,0.01153,0.03000,0.03271,0.03448,0.04871,0.04934",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,30,4,0.08,0.0,0.021982063173286093,-0.04574129451800102,0.050399590679578866,1,"0.03414,0.00838,-0.04574,0.01878,0.01984,0.02192,0.01229,0.03097,0.02927,0.03334,0.05019,0.05040",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,40,6,0.08,0.0,0.02187741897926827,-0.04570938803482311,0.05087027989725775,1,"0.03339,0.00787,-0.04571,0.01867,0.01961,0.02245,0.01251,0.03084,0.02887,0.03312,0.05004,0.05087",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,50,6,0.08,0.0,0.021220634347956985,-0.044929134860252226,0.05159415966941897,1,"0.02720,0.00698,-0.04493,0.01997,0.01838,0.02324,0.01308,0.02984,0.02725,0.03222,0.04983,0.05159",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,40,4,0.08,0.0,0.021005611499682806,-0.04424161457208186,0.05159975082010745,1,"0.02639,0.00626,-0.04424,0.02026,0.01776,0.02282,0.01293,0.02936,0.02703,0.03210,0.04980,0.05160",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
30,2,30,6,0.1,0.0,0.020889005197353316,-0.034094581722742615,0.06389390423546212,4,"0.02121,-0.00445,0.01607,-0.03409,-0.02248,0.04167,0.03332,-0.00070,0.03343,0.04408,0.06389,0.05870",ret_1d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / amount_trend_5_20:low|vol_ratio_5_20:low / ret_1d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high / ret_1d:high|drawdown_20d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
20,1,30,2,0.1,0.0,0.020849901091789746,-0.0397578404329726,0.05583976541014812,1,"0.02853,0.00450,-0.03976,0.02204,0.01408,0.02141,0.01243,0.02696,0.02709,0.03176,0.04531,0.05584",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,2,30,6,0.1,0.5,0.02062058441919994,-0.054959746355198354,0.06109821928689436,2,"0.02975,0.00909,-0.05496,0.02973,-0.02932,0.03904,0.02561,0.00382,0.03245,0.04351,0.05763,0.06110",ret_1d:high|amount_z_20d:high / ret_1d:high|ret_10d:low / ret_1d:high|volume_z_20d:high / ret_5d:low|ret_3d:low / overnight_vol_20d:low|range_vol_20d:low / ret_1d:high|drawdown_20d:high / range_vol_20d:low|intraday_mean_5d:low / amount_trend_5_20:low|vol_ratio_5_20:low / ret_5d:low|intraday_mean_5d:low / range_vol_20d:low|overnight_vol_20d:low / drawdown_20d:high|ret_1d:high / ret_1d:high|ret_2d:high
20,1,50,4,0.1,0.0,0.02041185905796468,-0.03717745017613305,0.0562013019709766,1,"0.02818,0.00301,-0.03718,0.02265,0.01297,0.02111,0.01168,0.02550,0.02677,0.03093,0.04311,0.05620",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,30,2,0.08,0.0,0.0199419185258573,-0.04119573454346583,0.050791327706095825,1,"0.02562,0.00557,-0.04120,0.02057,0.01541,0.01990,0.01138,0.02722,0.02633,0.03176,0.04594,0.05079",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
30,2,30,4,0.1,0.0,0.019659657586457054,-0.029615328550079787,0.06117871768897458,4,"0.01916,-0.00372,0.01180,-0.02962,-0.02067,0.03781,0.03326,-0.00245,0.03172,0.04278,0.06118,0.05467",ret_1d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / amount_trend_5_20:low|vol_ratio_5_20:low / ret_1d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high / ret_1d:high|drawdown_20d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
