alpha_lstm,long_weight,risk_penalty,top_k,rank_power,confidence_power,mode,as_of,start,end,portfolio_return,benchmark_return,excess_return,max_weight,n
0.85,0.0,0.0,35,1.35,1.5,legacy,20260422,20260423,20260427,0.019952391847624477,-0.009208492509891975,0.029160884357516452,0.08003808561539948,35
0.85,0.0,0.0,35,1.35,2.0,legacy,20260422,20260423,20260427,0.022333520138796182,-0.009208492509891975,0.03154201264868815,0.08485266089003494,35
0.85,0.0,0.0,35,1.35,2.5,legacy,20260422,20260423,20260427,0.02431104223591551,-0.009208492509891975,0.03351953474580749,0.08984215228442158,35
0.85,0.0,0.0,35,1.35,3.0,legacy,20260422,20260423,20260427,0.02592357583901371,-0.009208492509891975,0.035132068348905685,0.09750445016811794,35
0.85,0.0,0.0,35,1.6,1.5,legacy,20260422,20260423,20260427,0.019471232613108288,-0.009208492509891975,0.028679725123000262,0.08865503144998423,35
0.85,0.0,0.0,35,1.6,2.0,legacy,20260422,20260423,20260427,0.021999631636021873,-0.009208492509891975,0.031208124145913847,0.09234422343618692,35
0.85,0.0,0.0,35,1.6,2.5,legacy,20260422,20260423,20260427,0.024139173402523324,-0.009208492509891975,0.033347665912415295,0.0965689011005395,35
0.85,0.0,0.0,35,1.6,3.0,legacy,20260422,20260423,20260427,0.025700789321085434,-0.009208492509891975,0.03490928183097741,0.10000000000000003,35
0.85,0.0,0.0,35,2.0,1.5,legacy,20260422,20260423,20260427,0.018607736764676936,-0.009208492509891975,0.02781622927456891,0.1,35
0.85,0.0,0.0,35,2.0,2.0,legacy,20260422,20260423,20260427,0.021395535730717563,-0.009208492509891975,0.030604028240609538,0.1,35
0.85,0.0,0.0,35,2.0,2.5,legacy,20260422,20260423,20260427,0.023794587802390355,-0.009208492509891975,0.03300308031228233,0.10000000000000002,35
0.85,0.0,0.0,35,2.0,3.0,legacy,20260422,20260423,20260427,0.02459438738529894,-0.009208492509891975,0.033802879895190915,0.10000000000000003,35
0.85,0.0,0.0,40,1.35,1.5,legacy,20260422,20260423,20260427,0.020227502426294664,-0.009208492509891975,0.02943599493618664,0.07023403160286643,40
0.85,0.0,0.0,40,1.35,2.0,legacy,20260422,20260423,20260427,0.02245246901668288,-0.009208492509891975,0.031660961526574855,0.07456313240589771,40
0.85,0.0,0.0,40,1.35,2.5,legacy,20260422,20260423,20260427,0.02425019643808312,-0.009208492509891975,0.033458688947975095,0.08210661847148078,40
0.85,0.0,0.0,40,1.35,3.0,legacy,20260422,20260423,20260427,0.025666249089081716,-0.009208492509891975,0.03487474159897369,0.09133117533191594,40
0.85,0.0,0.0,40,1.6,1.5,legacy,20260422,20260423,20260427,0.019931761850564618,-0.009208492509891975,0.029140254360456593,0.07685735762312873,40
0.85,0.0,0.0,40,1.6,2.0,legacy,20260422,20260423,20260427,0.022275211183604256,-0.009208492509891975,0.031483703693496234,0.08108953659989056,40
0.85,0.0,0.0,40,1.6,2.5,legacy,20260422,20260423,20260427,0.024201502544618104,-0.009208492509891975,0.033409995054510075,0.08573819348150395,40
0.85,0.0,0.0,40,1.6,3.0,legacy,20260422,20260423,20260427,0.02575215431641831,-0.009208492509891975,0.03496064682631028,0.09290099484557736,40
0.85,0.0,0.0,40,2.0,1.5,legacy,20260422,20260423,20260427,0.019290585007910102,-0.009208492509891975,0.028499077517802077,0.08861899795105976,40
0.85,0.0,0.0,40,2.0,2.0,legacy,20260422,20260423,20260427,0.021814967904446054,-0.009208492509891975,0.03102346041433803,0.09130783324616366,40
0.85,0.0,0.0,40,2.0,2.5,legacy,20260422,20260423,20260427,0.023940959656114306,-0.009208492509891975,0.03314945216600628,0.0953183181255328,40
0.85,0.0,0.0,40,2.0,3.0,legacy,20260422,20260423,20260427,0.025704071934590775,-0.009208492509891975,0.03491256444448275,0.09829083623234132,40
0.85,0.0,0.05,35,1.35,1.5,legacy,20260422,20260423,20260427,0.02023141127026366,-0.009208492509891975,0.029439903780155634,0.07878057660649093,35
0.85,0.0,0.05,35,1.35,2.0,legacy,20260422,20260423,20260427,0.02249696885014274,-0.009208492509891975,0.031705461360034715,0.08349509298304,35
0.85,0.0,0.05,35,1.35,2.5,legacy,20260422,20260423,20260427,0.02439048844923125,-0.009208492509891975,0.033598980959123226,0.09244934598310929,35
0.85,0.0,0.05,35,1.35,3.0,legacy,20260422,20260423,20260427,0.025966532091132442,-0.009208492509891975,0.03517502460102442,0.10000000000000002,35
0.85,0.0,0.05,35,1.6,1.5,legacy,20260422,20260423,20260427,0.01982437087534994,-0.009208492509891975,0.029032863385241914,0.08761182283065583,35
0.85,0.0,0.05,35,1.6,2.0,legacy,20260422,20260423,20260427,0.022257979478423357,-0.009208492509891975,0.03146647198831533,0.08900411654694006,35
0.85,0.0,0.05,35,1.6,2.5,legacy,20260422,20260423,20260427,0.024335593544015398,-0.009208492509891975,0.03354408605390737,0.09621124090365164,35
0.85,0.0,0.05,35,1.6,3.0,legacy,20260422,20260423,20260427,0.025430924216457602,-0.009208492509891975,0.03463941672634958,0.09999999999999998,35
0.85,0.0,0.05,35,2.0,1.5,legacy,20260422,20260423,20260427,0.01905110553023883,-0.009208492509891975,0.028259598040130805,0.1,35
0.85,0.0,0.05,35,2.0,2.0,legacy,20260422,20260423,20260427,0.021778654841500395,-0.009208492509891975,0.03098714735139237,0.1,35
0.85,0.0,0.05,35,2.0,2.5,legacy,20260422,20260423,20260427,0.02397916253350735,-0.009208492509891975,0.03318765504339932,0.09999999999999998,35
0.85,0.0,0.05,35,2.0,3.0,legacy,20260422,20260423,20260427,0.02451574722957944,-0.009208492509891975,0.03372423973947142,0.1,35
0.85,0.0,0.05,40,1.35,1.5,legacy,20260422,20260423,20260427,0.020415806331880195,-0.009208492509891975,0.02962429884177217,0.0680189800081093,40
0.85,0.0,0.05,40,1.35,2.0,legacy,20260422,20260423,20260427,0.022510904614191446,-0.009208492509891975,0.03171939712408342,0.07637686375054258,40
0.85,0.0,0.05,40,1.35,2.5,legacy,20260422,20260423,20260427,0.024208229984146745,-0.009208492509891975,0.03341672249403872,0.08522271876391316,40
0.85,0.0,0.05,40,1.35,3.0,legacy,20260422,20260423,20260427,0.025557932189422327,-0.009208492509891975,0.034766424699314305,0.09584183001431001,40
0.85,0.0,0.05,40,1.6,1.5,legacy,20260422,20260423,20260427,0.020183803245602,-0.009208492509891975,0.029392295755493975,0.07553235762326503,40
0.85,0.0,0.05,40,1.6,2.0,legacy,20260422,20260423,20260427,0.02240936896911638,-0.009208492509891975,0.03161786147900836,0.07969149342822987,40
0.85,0.0,0.05,40,1.6,2.5,legacy,20260422,20260423,20260427,0.024247899261080123,-0.009208492509891975,0.033456391770972094,0.08808262034151101,40
0.85,0.0,0.05,40,1.6,3.0,legacy,20260422,20260423,20260427,0.02574553814495261,-0.009208492509891975,0.034954030654844585,0.0972688930329716,40
0.85,0.0,0.05,40,2.0,1.5,legacy,20260422,20260423,20260427,0.019637226271462353,-0.009208492509891975,0.028845718781354328,0.08755683152862605,40
0.85,0.0,0.05,40,2.0,2.0,legacy,20260422,20260423,20260427,0.02206668853095855,-0.009208492509891975,0.031275181040850523,0.08892287747089037,40
0.85,0.0,0.05,40,2.0,2.5,legacy,20260422,20260423,20260427,0.02412954974235093,-0.009208492509891975,0.033338042252242905,0.09316341398958644,40
0.85,0.0,0.05,40,2.0,3.0,legacy,20260422,20260423,20260427,0.025633933558387972,-0.009208492509891975,0.03484242606827995,0.10000000000000003,40
0.85,0.0,0.1,35,1.35,1.5,legacy,20260422,20260423,20260427,0.020293735649742083,-0.009208492509891975,0.029502228159634058,0.0765903956023382,35
0.85,0.0,0.1,35,1.35,2.0,legacy,20260422,20260423,20260427,0.02227871721078059,-0.009208492509891975,0.031487209720672565,0.08171704119704751,35
0.85,0.0,0.1,35,1.35,2.5,legacy,20260422,20260423,20260427,0.023893460365476685,-0.009208492509891975,0.033101952875368656,0.09294391174623938,35
0.85,0.0,0.1,35,1.35,3.0,legacy,20260422,20260423,20260427,0.025435927617095563,-0.009208492509891975,0.03464442012698754,0.10000000000000002,35
0.85,0.0,0.1,35,1.6,1.5,legacy,20260422,20260423,20260427,0.019932299283219466,-0.009208492509891975,0.02914079179311144,0.08546382515717749,35
0.85,0.0,0.1,35,1.6,2.0,legacy,20260422,20260423,20260427,0.022095171224302133,-0.009208492509891975,0.031303663734194104,0.08530315545937929,35
0.85,0.0,0.1,35,1.6,2.5,legacy,20260422,20260423,20260427,0.023903696520427554,-0.009208492509891975,0.033112189030319525,0.09348342930200292,35
0.85,0.0,0.1,35,1.6,3.0,legacy,20260422,20260423,20260427,0.025459601005485794,-0.009208492509891975,0.034668093515377765,0.1,35
0.85,0.0,0.1,35,2.0,1.5,legacy,20260422,20260423,20260427,0.019192946843472298,-0.009208492509891975,0.028401439353364272,0.0995576566246569,35
0.85,0.0,0.1,35,2.0,2.0,legacy,20260422,20260423,20260427,0.021620114014273942,-0.009208492509891975,0.030828606524165917,0.1,35
0.85,0.0,0.1,35,2.0,2.5,legacy,20260422,20260423,20260427,0.02370362355369491,-0.009208492509891975,0.032912116063586884,0.09867478027112482,35
0.85,0.0,0.1,35,2.0,3.0,legacy,20260422,20260423,20260427,0.024650421899995938,-0.009208492509891975,0.03385891440988791,0.1,35
