mode,alpha_lstm,risk_penalty,top_k,rank_power,confidence_power,mean_excess,min_excess,std_excess,sum_excess,mean_port,count,utility
legacy,0.95,0.3,40,1.35,3.0,0.033024624417450736,0.03246125346113601,0.0007374000388798143,0.0990738732523522,0.035802849137329125,3,0.047521578469129966
legacy,0.95,0.3,40,1.6,3.0,0.03248214405144257,0.03095882398267396,0.0015647286407483108,0.09744643215432772,0.035260368771320966,3,0.04617890554753361
legacy,0.95,0.45,40,1.35,3.0,0.03249953251319143,0.029333011899316308,0.004611680425066507,0.0974985975395743,0.03527775723306983,3,0.0450076358041238
legacy,0.9,0.3,40,1.35,3.0,0.031621913173347324,0.029961495836738117,0.0016695840293278902,0.09486573952004197,0.03440013789322572,3,0.044854148695480295
legacy,0.95,0.45,40,1.6,3.0,0.03209472269243008,0.02920925794959422,0.00379721941960469,0.09628416807729023,0.03487294741230847,3,0.04466930585680678
legacy,0.95,0.2,40,1.35,3.0,0.03251487276361394,0.02787908020990426,0.004139125145376445,0.09754461829084182,0.03529309748349233,3,0.04443959008626439
legacy,0.9,0.3,40,1.6,3.0,0.031203808570596375,0.029843612269761767,0.002181815420433825,0.09361142571178913,0.03398203329047477,3,0.0443061617789241
legacy,0.95,0.45,35,1.35,3.0,0.031181463955822174,0.029773537766844244,0.002043089539351474,0.09354439186746652,0.03395968867570057,3,0.04427309251999936
legacy,0.95,0.45,40,2.0,3.0,0.031172582426581122,0.028578045541909555,0.0027448121104452707,0.09351774727974337,0.03395080714645952,3,0.043620981103873635
legacy,0.95,0.3,35,1.35,3.0,0.03149089005968195,0.027755698728276282,0.003298441546480247,0.09447267017904584,0.03426911477956034,3,0.04348618825543423
legacy,0.95,0.3,40,2.0,3.0,0.03130298285238487,0.027903537424794102,0.0033203168311032104,0.09390894855715462,0.03408120757226327,3,0.043361527168876736
legacy,0.95,0.3,40,1.35,2.5,0.03072106296406103,0.028681788709501853,0.0019199864269419827,0.09216318889218308,0.03349928768393942,3,0.043339869919295566
legacy,0.95,0.45,35,1.6,3.0,0.030206867616502178,0.029189701899431677,0.0008808920746400421,0.09062060284950653,0.03298509233638058,3,0.043210099660050426
legacy,0.95,0.2,40,1.6,3.0,0.03178295015536183,0.02618101944463233,0.0050995866581782035,0.09534885046608549,0.03456117487524022,3,0.04279947090671965
legacy,0.95,0.45,40,1.35,2.5,0.030394321888108988,0.028426230270231972,0.002977648623989025,0.09118296566432696,0.03317254660798738,3,0.04273947821611502
legacy,0.95,0.45,40,1.6,2.5,0.030152544372686146,0.028215919744568232,0.002179335795702045,0.09045763311805843,0.03293076909256454,3,0.04252280788838654
legacy,0.95,0.45,35,1.35,2.5,0.029498400733333433,0.02871786122365287,0.0008235704077942176,0.0884952022000003,0.032276625453211825,3,0.04229790272280809
legacy,0.9,0.2,40,1.35,3.0,0.030885985664788725,0.026599907849403123,0.004081499686920216,0.09265795699436617,0.03366421038466712,3,0.0422437192439821
legacy,0.9,0.45,40,1.35,3.0,0.031066667663037197,0.026511198411916286,0.005381316503115626,0.09320000298911159,0.03384489238291559,3,0.042189509472932187
legacy,0.9,0.3,40,2.0,3.0,0.030426162759973355,0.027044355381492087,0.0035417197329673886,0.09127848827992006,0.03320438747985175,3,0.04206486472169969
legacy,0.9,0.45,40,1.6,3.0,0.03075404583886052,0.0265602466798541,0.004354351983513202,0.09226213751658156,0.03353227055873891,3,0.04205300404726789
legacy,0.95,0.3,40,1.6,2.5,0.030115120038574205,0.02729958406904029,0.002742346013702695,0.09034536011572261,0.0328933447584526,3,0.041988580967586925
legacy,0.9,0.3,35,1.35,3.0,0.030255925798325894,0.02689278644095624,0.003456702473969417,0.09076777739497768,0.03303415051820429,3,0.04183917432566079
legacy,0.85,0.45,40,1.35,3.0,0.02939145725081185,0.02795475589820693,0.002475096582992112,0.08817437175243555,0.03216968197069024,3,0.04159983291755616
legacy,0.95,0.45,40,2.0,2.5,0.02943170529963708,0.027484444547341853,0.0017346872738443688,0.08829511589891124,0.03220993001951547,3,0.04153950225486426
legacy,0.9,0.3,40,1.35,2.5,0.029346041214616463,0.027551941808333147,0.001876801478106777,0.08803812364384939,0.032124265934494856,3,0.041462894806650365
legacy,0.9,0.45,40,2.0,3.0,0.029806196097482144,0.02661670571749966,0.0028915666866066846,0.08941858829244644,0.032584420817360536,3,0.04134997866736599
legacy,0.85,0.45,40,1.6,3.0,0.028919738933177713,0.027930750793659753,0.00092614585312114,0.08675921679953313,0.031697963653056105,3,0.04134965491235643
legacy,0.85,0.3,40,1.35,3.0,0.029863214816114352,0.02636769966258036,0.00302894370978638,0.08958964444834305,0.032641439535992745,3,0.041274338107807555
legacy,0.95,0.45,35,1.6,2.5,0.028740677536459036,0.028038170244742915,0.0009945889655800597,0.08622203260937711,0.03151890225633743,3,0.04120866580175634
